Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,"6,293,859","7,258,958",,"7,238,000",,,,"9,363,520",,,,"13,781,713","15,701,905","17,427,603",,"21,976,068","21,970,597","23,376,656","24,944,549","29,402,804","31,491,397","35,621,141",,"40,272,468","43,337,224",Paid Up Capital,,"56,237,204","59,914,402",,62758043,"56,237,204","76,528,378",,"85,924,570","91,831,622",,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,"768,000","806,400",,"806,400",,,,"2,016,000",,,,"2,016,000","2,016,000","2,016,000",,"2,016,000","2,217,600","2,217,600","2,217,600","2,217,600","2,550,240","2,550,240",,"2,550,240","3,060,288",Reserve and Surplus,,"4,022,032","4,210,990",,5305872,"4,022,032","8,001,255",,"8,001,255","8,001,255",,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,"129,651","106,497",,"156,329",,,,"233,029",,,,"223,676","167,827","244,112",,"418,530","292,740","400,798","527,254","660,309","414,082","561,331",,"887,353","547,249",Debenture and Bond,,"1,419,930","1,015,640",,1767908,"1,419,930","1,437,106",,"2,274,572","3,288,277",,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,-,,,,,,,,,,,-,,,-,,-,-,,,,,-,,Borrowings,,"370,000","1,000",,"370,000","370,000","370,000",,"370,000","370,000",,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,"656,000","786,000",,"444,800",,,,"658,000",,,,"88,250","422,250","437,623",,"1,480,126","855,088","355,000","1,139,402","898,268","1,168,484","1,385,041",,"1,687,185","3,333,405",Deposits (a+b),,"3,281,940","3,281,940",,834971,"3,281,940","11,404",,"1,803,500","358,950",,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,"4,628,512","5,490,838",,"5,760,495",,,,"6,356,737",,,,"11,178,734",26.28,"14,470,732",,30.97,"18,102,641",22.54,21.05,"24,841,663","26,590,007","30,147,440",,22.32,"35,436,664",Price Earning  Ratio,,"46,344,181","48,691,269",,53320761,"46,344,181","64,132,106",,"71,515,213","79,183,347",,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,"4,080,500","4,967,208",,"5,541,427",,,,"6,287,791",,,,"11,126,467","12,614,135","14,321,555",,"17,597,223",,"19,091,084","19,230,462","23,499,402",,"28,163,387",,"31,784,223",,b. Foreign Currency,,"44,200,388",,,,"44,200,388",,,,"678,107",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,"548,012","523,630",,"219,069",,,,"68,947",,,,"52,267","131,924","149,177",,"185,493",,"798,850","1,130,429","1,342,261",,"1,984,052",,"2,261,094",,Income Tax Liability,,"2,143,793",,,,"2,143,793",,,,"85,705,143",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,"2,176",,"1,367",,,,,,,,,-,,,-,,-,-,,,,,-,,Other Liabilities,,"9,414",,,,"9,414",,,"4,541","4,041",,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,"67,046",,"69,975",,,,"99,753",,,,"275,052","349,770","259,136",,"278,695",,"513,324","699,402","784,963",,"977,089",,"1,102,373",,!= ljlQo ljj/0f,,"789,708",,,,"789,708",,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,"6,293,859","7,258,958",,,,,,,,,,,1.36,"17,427,603",,"1,090.08","21,970,597","1,054.14","1,124.84",,"31,491,397","35,621,141",,"1,579.16","43,337,224",Return on Equity (%)  (Annualized),,,"59,914,402",66829720,62758043,"56,237,204","76,528,378",,"85,924,570","92,558,086",,,,,,,,,,,,,,,,,,,,,,,
