Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Average Yield,,,,,,,,,,,,,,12.50%,12.42%,,,,,,,,12.02%,5.1,11.54%,11.43%,12.23%,11.35%,10.23%,9.40%,9.26%,9.18%,9.13%,,8.63%,5.1,8.26%,8.22%,8.69%,11.05%,11.19%,11.64%,11.39%,12.09%,12.29%,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,8.92%,4.6,9.72%,,7.88%,4.6,8.16%,7.59%,7.46%,4.6,7.30%,,7.27%,4.6,6.05%,7.02%,7.78%,10.03%,11.17%,10.72%,11.02%,11.15%,11.78%,11.47%,10.79%,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,"1,661,151","1,733,662","1,090,000","805,000","160,000","324,400","131,440","88,250","41,825","87,650",1.4,"336,175","823,200","1,319,000",1.4,"457,245","407,064","763,537",1.4,"902,000",,"548,357",1.4,"1,119,046","1,626,319","1,634,462","807,283","1,530,510","3,351,624","2,300,105","3,822,805","3,245,041","3,314,630","4,289,701",,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,"543,114","454,084",,,,"580,783",,"557,009",,"551,632",,"552,005","570,172","636,361",,"642,520","986,003",,,"1,064,077","1,089,279","997,099","963,532","845,256",,"936,481",,"1,342,331","1,340,473",,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,,10.49%,15.98%,,15.31%,16.30%,16.47%,16.33%,15.58%,13.30%,12.56%,4.1,13.33%,10.55%,13.69%,4.1,13.64%,12.49%,12.26%,4.1,13.45%,,12.39%,4.1,13.77%,13.42%,13.37%,13.83%,16.99%,16.11%,15.18%,15.80%,15.64%,15.67%,13.72%,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,"1,843,079","1,881,178",,"1,505,536","3,751,137","4,676,943","2,689,425","3,769,874","2,672,055","2,892,653",2.1,"4,630,990","3,916,328","3,805,716",2.1,"5,873,291","4,283,256","4,203,217",2.1,"5,685,919",,"4,452,654",2.1,"5,893,887","6,844,198","6,914,888","6,777,848","6,777,848","6,530,699","6,827,231","6,549,165","7,390,158",,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,8.80%,9.78%,,9.60%,9.56%,9.40%,8.62%,7.74%,6.44%,6.21%,4.4,6.72%,6.44%,5.64%,4.4,5.24%,4.58%,4.55%,4.4,5.00%,,4.45%,4.4,4.30%,4.34%,5.20%,7.10%,11.17%,8.02%,8.16%,8.35%,8.45%,8.74%,8.21%,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,89.67%,87.39%,,82.38%,72.08%,71.70%,,,79.79%,78.28%,4.5,72.05%,75.72%,75.46%,4.5,74.98%,76.61%,78.77%,4.5,74.74%,,76.92%,4.5,77.74%,77.40%,79.40%,67.19%,77.34%,76.55%,77.60%,78.38%,77.87%,79.62%,78.86%,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,-,-,,-,0,-,-,-,,,,,,"500,000",,"500,000","500,000",,1.3,"500,000",,"500,000",1.3,"500,000","500,000","500,000",,"5,000,000","500,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,89.67%,87.39%,"13,866,182",82.38%,"15,173,604",71.70%,"15,289,515",74.40%,"17,598,821","19,635,955",1.5,,"23,276,388","24,185,687",1.5,"27,963,455","29,609,038","30,918,050",1.5,"35,782,131",,"40,034,665",1.5,"47,392,945","50,318,041","52,579,499","55,539,002","52,702,876","54,616,078","58,216,344","60,176,047","61,391,104","65,299,116","64,962,038",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,"11,849,975","12,023,258",,"12,848,217","14,504,611","15,306,005","14,923,017","16,945,245","17,206,396","19,227,036","21,001,315","22,197,578","22,725,118","23,590,903","24,825,667","27,361,134","29,213,995","30,486,245","34,261,705","34,933,345",,"39,542,405","43,908,884","47,004,216","49,907,269","52,158,883","55,200,962","52,456,194","54,372,005",,"59,928,789","60,827,785",,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,"94,654",3.11,"94,654","7,422","7,422",3.11,"7,422","7,422",,3.11,"47,608",,"6,712",3.11,"6,712","278,228","419,136","387,535","348,657","80,355","410,100","5,711","11,006",,,,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,"22,755","43,971",,"32,533",,"39,213","61,733","40,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,"179,935","196,842",,"192,065","211,133","201,055","191,517","324,345","571,365","564,018",2.5,"554,950","550,385","548,290",2.5,"587,556","594,562","614,422",2.5,"899,603",,"981,566",2.5,"1,027,558","1,229,510","1,289,504","1,309,792","1,773,058","1,831,568","2,066,618","2,070,217","2,197,113",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,"543,396","499,879",,"630,114","668,992","282,447","366,498","409,290","392,425","408,919","419,413","527,041","551,270","594,784","218,550","602,321","395,043","431,805","537,948","848,786",,"492,260","464,617","388,730","410,772","420,616","338,040","246,682","244,073",,"247,258","563,319",,,,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,"3,784","8,508",,"13,283","7,494","12,263","16,544","23,092",350,"1,582",3.5,,"27,077","72,529",3.5,"75,727","14,943","36,493",3.5,"98,833",,"64,927",3.5,"143,294","49,405","97,447","141,972","143,294","72,535","131,839","198,714","268,598",,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,-,,-,-,-,,,"141,867",,"136,309",,"102,860","102,860","102,860",,0,"102,860",,,"234,000","232,500","231,000","229,000","227,000","1,110,000","223,000",,"218,000","215,500",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,"16,813","16,813",,-,"16,813",-,-,"6,828","6,523",,,"6,523","44,480","101,340",1.6,"130,310","47,290","119,945",1.6,,,,1.6,"4,009","136,411","7,641",0,,"136,411",,"37,245",95,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,"288,221","568,952",,"1,236,322","361,342","730,804","1,061,334","1,405,860","277,724","534,163",3.2,"1,176,910","361,432","695,125",3.2,"1,382,761","348,401","686,778",3.2,"1,499,682",,"896,380",3.2,"1,823,706","552,373","1,185,927","2,098,901","5,002,270","1,123,297","2,268,496","3,492,912","4,845,287","1,415,909","2,819,843",,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,"423,026","847,948",,"1,795,233","491,713","945,820","1,422,175","1,980,320","511,520","1,011,219",3.1,"2,211,709","589,361","1,202,136",3.1,"2,455,649","649,026","1,302,293",3.1,"2,767,425",,"1,612,493",3.1,"3,445,748","988,730","2,041,677","3,355,428","4,917,683","1,606,127","3,244,446","4,964,048","6,938,793","2,163,324","4,296,971",,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,"1,367,177","1,122,845","1,641,985","2,401,437","1,530,670","844,202","1,602,854","1,529,903","1,533,348","2,013,951",2.3,"2,722,491","2,589,819","3,302,279",2.3,"2,719,815","3,915,423","4,324,140",2.3,"5,661,836",,"7,153,230",2.3,"7,571,757","7,755,097","7,704,235","7,955,275","8,631,009","9,045,168","9,103,080","10,516,435","8,732,362","6,506,258","7,501,872",,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,22.48%,23.61%,,,,,,,5.5,31.00%,22.85%,25.18%,24.67%,29.59%,24.03%,23.87%,26.53%,28.43%,,26.10%,5.4,24.63%,24.44%,23.81%,25.56%,24.16%,23.71%,,22.15%,20.64%,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,"11,831,565","12,376,193",,14.49%,"12,102,652","12,616,380","13,526,517","14,415,393","15,597,219","16,894,930",2.4,,"19,335,380","20,417,312",,"23,173,657","24,972,046","26,556,077",,"29,200,383",,"33,556,523",,"40,567,277","43,730,750","46,782,081","47,794,093","48,071,445","50,057,645","53,316,112","55,817,335","57,952,196","59,883,631",,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,"281,019","291,598",,"157,211","71,740","64,236","53,839","102,941","93,309","123,675","94,457","93,482","122,570","186,112","507,038","757,073","771,250","777,533","941,973","893,005",,"1,608,576","2,326,131","2,882,123","3,231,061","3,310,285","3,233,132",,"3,142,145",,"2,714,747","2,817,552",,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,"460,731","1,047,115",,"226,837","232,200","193,750","192,321","21,100","18,500","14,500",2.2,"194,050","479,211","544,050",2.2,"121,251","121,251","8,004",2.2,"95,424",,,2.2,"247,448","537,139","302,776","1,152,308","102,000","1,625,209",50.0,"500,122","303,304",,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,,,,,,3.13.2,,,,3.13.2,3.13.2,3.13.2,,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,"913,900",3.13.2,3.13.2,"141,419","1,477,128",,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,,,,,,,,,,,,5.81%,5.2,4.82%,4.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,"59,123","110,359",,"198,354","52,745","72,237","100,437","222,974","67,057","100,975","228,585",,"103,787","236,461","304,056","561,269","110,343","279,872","457,883","723,890",,"418,483","728,893","1,101,302","340,651","611,993","869,120","1,208,652","320,215","616,412","988,971","1,405,557",,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,0,-,-,,,"36,550",2.6,,,,2.6,,,,2.6,,,,2.6,,,,,"1,911,807",,"36,214,084",,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,,-,"5,993",,"6,730",893,"1,213","10,104","10,470","2,963","3,480",3.9,,391,"9,284",3.9,"8,231","7,514","23,107",3.9,"32,663",,"100,739",3.9,"143,464","22,834","20,771","51,876","57,130","6,901","20,771","2,653","2,497",,0.0,,,,,,,,,,,,,,,,,,,,,
