Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Average Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,9.28,8.99,8.80,7.85,7.74,7.66,7.71,7.28,6.96,6.80,6.86,7.02,7.17,7.82,8.43,,,10.34,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87,7.78,8.63,7.33,7.05,7.32,7.78,5.98,5.20,5.48,5.68,5.45,6.00,7.93,9.57,,,9.42,,9.22,9.11,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,"688,450","192,500",-,"1,400,033",-,-,-,-,-,-,"1,000,000",-,"1,350,053",-,"40,000",,,-,"40,000",,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,12.21,11.21,11.58,11.03,11.06,11.02,11.45,11.09,11.26,10.95,10.91,11.27,11.25,11.74,12.23,,,12.44,13.03,12.24,11.36,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,063,753","5,961,787","5,542,590","9,677,431","5,515,239","8,333,843","8,387,412","11,544,680","8,212,740","8,387,086","7,874,984","10,217,696","8,270,827","10,076,868","8,915,386",,,"8,257,575","8,800,528",,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,4.42,4.26,3.53,3.42,3.38,3.36,2.79,2.45,2.26,2.27,2.62,2.71,3.25,3.99,,,6.35,6.42,6.14,6.73,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,69.51,70.56,70.67,75.99,76.30,79.12,73.51,73.46,71.52,78.81,77.27,78.16,79.22,,,,,,,78.77,78.45,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000","1,100,000","1,100,000","1,100,000","1,100,000","1,100,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000",,,"600,000","600,000",,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,69.51,70.56,70.67,75.99,76.30,79.12,73.51,73.46,71.52,78.81,77.27,78.16,79.22,"92,890,828","92,881,114",,,"96,324,191","99,743,045","102,459,114","106,107,324",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,435,033","54,922,521","55,935,740","56,916,946","58,793,075","58,785,055","64,510,023","67,863,149","71,289,461","71,186,936","77,266,842","80,528,253","81,566,656","83,401,006","84,096,096",,,"88,679,583","91,303,978",,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.02,32.09,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,461",,,,,,,,,,,,,,,,,,,,,,,
