Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,221,306","16,103,483","19,329,817","11,675,302","14,107,331","10,310,328","23,533,749","10,101,806","8,950,225","7,956,106","11,029,108","9,744,397","15,852,152","13,070,634","10,378,202",,,,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,280,810","5,474,725","6,527,589","5,371,159","4,871,000","14,321,971","14,322,187","8,520,359","6,708,338","7,405,490","5,528,729","5,218,249","6,500,699","5,637,282","8,013,004",,,,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,"316,720",-,-,-,"182,893",-,"54,439",-,-,"5,239",-,,,,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,641","110,351","82,042","85,273","70,533","82,187","58,474","68,030","74,594","92,076","70,494","83,105","80,599","73,387","65,866",,,,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,028,747","123,001,709","130,035,990","132,603,835","138,188,989","135,457,513","139,022,451","138,019,616","156,092,371","156,891,806","160,041,839","165,164,420","165,210,726","157,469,744","168,609,245",,,,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,604,982","17,369,604","16,965,800","18,117,984","19,280,909","24,395,731","27,682,155","38,125,441","29,500,503","36,784,782","34,930,059","31,667,159","31,933,163","45,410,697","39,801,990",,,,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"529,269","495,993","146,855","372,666","22,801","748,928","488,181","336,696","423,068","573,151","205,814","207,294","340,273","328,708",-,,,,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,559","214,090","214,090","214,090","214,090","265,983","265,983","616,378","743,938","601,848","576,250","938,186","923,413","923,413","923,413",,,,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,914,418","4,069,314","4,062,435","4,051,285","4,061,793","4,030,160","3,998,091","4,007,006","3,991,952","3,960,890","4,182,742","4,198,780","4,187,900","4,221,157","4,268,629",,,,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,100","92,519","144,137","136,512","131,737","126,106","116,233","107,605","105,936","114,436","103,994","93,918","86,526","77,256","68,136",,,,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
