Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34%,13.02,11.9,11.97,13.65,13.17,13.37,12.59,13.23,12.63,13.98,14.78,14.64,14.52,14.5,14.79,15.99,15.44,,,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03%,1.21,2.04,3.04,2.78,2.84,2.9,2.67,2.91,2.8,2.75,2.32,2.46,2.27,20.6,2.2,1.47,1.57,,,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.79%,168.23,116.17,93.18,118.86,121.09,121.97,134.18,150.08,166.45,167.18,168.34,165.59,174.61,185.11,174.7,211.72,196.48,,,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31%,,,6.48,6.31,6.34,6.37,6.38,5.85,5.48,4.69,4.31,4.04,4.89,5.84,6.64,7.06,7.68,,,,,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.01%,77.25,76.43,76.19,72.97,75.62,75.39,75.35,72.93,73.68,74.07,79.05,75.12,95.37,95.69,92.43,85.14,86.12,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02%,9.03,8.96,8.54,8.33,8.48,8.53,8.53,7.51,7.34,6.56,5.95,5.74,6.09,7.21,8.06,8.54,9.18,,,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,4.53,4.24,4.24,4.38,4.36,4.41,4.18,3.99,4.14,4.14,3.57,3.33,2.59,2.69,3.27,4,3.88,,,,,,
Market Share Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,,,,373,431,414,485,466,460,460,460,460,265,265,,,,,,
Return on Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.43,2.27,,,,,,,,,,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.13,16.18,16.11,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.21,248.36,195.66,200.85,,,,192,194,199.43,209.22,188.69,201.3,202.35,180.79,183.56,190,195.38,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.31,1651.45,1395.61,1424.16,,,,1381,1434,1578.14,1493.5,1342.97,1419.5,1448.82,1276.42,1306.24,1353.49,1388.73,,,,,,
