Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,638,781,580","2,573,502,549","2,710,886,991","2,685,956,378","3,327,685,069","3,065,698,210",,,,"4,148,084,416","4,954,961,350","5,700,131,836","5,935,386,698","6,884,176,645","10,311,551,082",,,,
Interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,589,714,008","1,694,248,122","1,714,743,951","1,663,982,564","1,775,951,286","1,803,499,357","2,010,173,303","1,869,409,522","1,786,366,341","2,007,253,008","2,458,175,205","2,803,666,306","3,143,574,215","3,732,388,715","3,951,477,921","4,599,377,586","7,055,107,490",,,,
Net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"716,030,104","793,653,430","924,037,629","909,519,986","934,935,705","882,457,021","1,317,511,766","1,196,288,688","1,330,006,772","1,409,759,771","1,291,610,557","1,344,418,111","1,811,387,135","1,967,743,121","1,983,908,777","2,284,799,059","3,256,443,592",,,,
Fee and commission expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,053,848","12,330,153","9,202,684","9,339,902","7,773,037","7,618,824","5,699,989","9,316,977","11,884,266","11,734,724","18,732,905","18,829,105","18,226,080","87,725,256","40,240,595","53,585,012","82,572,987",,,,
Net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,549,912","119,004,433","166,893,139","149,721,958","90,538,343","88,234,987","145,366,854","192,586,132","246,892,239","189,851,209","242,828,994","156,446,046","207,630,907","211,896,750","265,746,346","211,209,435","511,546,974",,,,
"Net interest, fee and commission income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"807,580,017",,"1,090,930,768","1,059,241,944","1,025,474,048","970,692,008","1,462,878,620","1,388,874,820","1,576,899,011",,"1,534,439,551","1,500,864,157","2,019,018,042","2,179,639,871","2,249,655,123","2,496,008,494","3,767,990,566",,,,
Net trading income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,169,643","44,878,858","73,724,796","63,642,689","97,758,485","120,197,720","94,159,446","94,097,985","106,929,690","97,296,447","106,372,632","100,125,128","94,405,163","78,981,062","55,383,768","86,598,693","101,982,505",,,,
Other operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"989,746","79,510,417","28,387,085","29,583,758","28,393,157","37,712,266","62,282,155","160,872,871","201,537,273","152,159,323","271,247,060","124,013,423","48,267,381","251,037,436","215,010,687","67,419,160","28,417,247",,,,
Total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,193,042,648","1,152,468,391","1,151,625,690","1,053,177,461","1,619,320,221","1,643,845,675",,,"1,912,059,243","1,725,002,708","2,161,690,587","2,509,658,369","2,520,049,578","2,650,026,347","3,898,390,317",,,,
Impairment charge/(reversal) for loans and other losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189,482,027","62,665,562","302,636,044",,,,,,,
Net operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"826,127,205","1,061,352,395","1,123,485,852","1,091,045,699","1,100,834,694","812,696,410","1,605,845,073","1,698,985,721","1,848,841,784","1,299,405,881","1,779,286,691","1,535,520,681","2,224,356,149","2,207,022,325","2,590,716,492","1,144,701,663","1,372,834,755",,,,
Operating expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,,,
Personnel expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"347,174,302","274,219,395","507,466,662","321,102,597","465,804,539","512,633,775",,,"692,716,364","588,422,477","689,088,584","389,991,056",,"651,072,201","568,170,071",,,,
Other operating expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152,949,412","152,379,017","161,698,026","195,538,133","195,177,812","156,562,415","197,344,424","210,465,946","212,681,191","279,750,518","211,560,194","235,415,186","225,365,609","283,938,000","214,408,215","267,038,207","199,429,987",,,,
Depreciation and Amortisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"462,193,778","504,900,897","578,788,921","580,377,778","349,819,037","281,746,948","873,142,150","906,412,455","912,234,730","324,447,660","804,174,972","641,350,084","1,236,545,039","1,453,068,983","1,557,785,013","169,506,891","307,693,388",,,,
Non-operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,213,132","3,962,520","848,217","7,805,834","5,646,326","588,782","1,387,875","3,693,338",,,,
Non-operating expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,459",-,-,"4,550","27,399","1,277,354","4,937,135","3,322",,,,
Profit before income tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"476,318,474","490,140,389","586,764,309","583,979,573","358,980,597","283,624,383","873,657,247","923,706,257","915,881,965","330,659,333","808,137,492","642,198,301","1,244,346,323","1,458,687,910","1,557,096,441","165,957,631","311,383,404",,,,
