Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,950,030,495","5,006,484,939","8,623,335,320","8,857,245,493","6,188,542,667","9,778,359,842","6,167,828,852","11,823,053,885","6,788,801,323","8,713,627,493","11,309,450,251","7,534,263,536","10,203,046,549","10,571,914,760","8,883,538,002","9,320,110,086","9,615,104,977",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,300,785,816","3,226,962,096","4,015,907,050","3,959,514,412","3,588,847,538","4,552,001,488","6,512,901,982","4,709,563,918","4,063,908,229","8,908,182,769","3,978,342,579","4,952,326,308","7,039,950,778","6,047,353,545","4,794,127,104","6,527,609,875","6,438,460,363",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,140,411,117","5,054,432,347","1,569,225,666","890,272,572","2,775,516,087","81,135,769","3,311,742,995","109,615,678","3,350,623,659","477,562,026","788,714,323",-,-,-,-,-,-,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"72,597,160",-,-,"184,440,010",-,-,-,"61,521,871",-,"20,002,292",-,"39,001,725","1,784,400","182,800","39,615,848","32,416,112",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"348,637,251","353,142,300","365,019,855","363,622,400","367,110,964","212,019,133","199,388,650","193,607,950","53,792,200","17,409,000","18,742,592","121,369,870","351,628,300","507,975,922","511,399,128","515,235,598","511,856,138",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,321,092,197","2,243,710,818","2,709,273,731","2,536,472,316","2,239,811,979","2,471,154,353","3,400,840,281","3,838,225,930","3,864,645,973","3,714,540,505","2,776,283,218","3,025,940,067","2,954,354,324","2,872,865,317","3,061,522,073","2,841,657,534","4,691,001,745",,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,984,076,030","75,297,273,964","83,630,808,051","87,546,618,576","92,496,967,768","92,336,302,537","97,807,009,798","103,928,638,704","112,574,996,130","113,571,049,308","127,149,908,121","131,990,726,602","131,172,797,863","128,562,254,560","133,540,888,304","132,735,491,009","128,498,944,580",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,748,208,092","11,151,647,083","10,702,273,469","10,840,591,227","11,256,029,283","11,939,913,270","11,948,857,800","14,484,444,132","16,921,065,890","19,698,548,909","20,890,168,945","20,490,215,413","22,682,428,079","26,024,164,427","27,401,090,157","27,054,677,911","30,076,971,869",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"263,840,838","198,044,514","28,692,681","158,958,297",-,"277,885,831","118,350,292","184,732,060","216,064,418","432,903,428","171,067,981","367,374,999","421,805,027","393,404,739","192,884,458","411,084,426","530,247,096",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,870,824","78,457,743","91,057,459","168,823,173","174,947,305","174,947,305","161,237,305","253,698,495","315,898,495","273,910,573","347,577,138","333,544,947","333,544,947","244,182,570","249,412,570","331,096,960","391,691,193",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,006,502,294","1,128,170,562","1,171,708,435","1,222,734,481","1,260,275,685","1,344,551,049","1,391,259,688","1,388,836,293","1,395,771,509","1,479,427,615","1,497,951,220","1,497,786,226","1,517,822,338","1,586,471,709","1,579,512,118","1,579,485,132","1,590,080,759",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,919,036","43,769,092","48,624,792","44,609,616","64,592,268","65,705,984","62,793,121","64,554,863","60,659,303","127,033,453","123,330,949","104,648,108","122,103,418","128,094,188","124,119,263","120,079,673","118,961,947",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"17,529,469","36,406,125","49,625,480","61,582,997","35,021,247","47,548,603","55,760,878","62,544,538","36,781,770","40,355,834","59,518,157","88,478,511","106,658,522","126,997,758","107,260,908","137,790,934",,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,154,359,570","8,657,550,414","1,298,390,688","1,231,105,408","1,311,994,663","1,021,318,774","1,244,986,755","985,565,275","767,428,091","707,289,257","1,818,155,462","3,576,646,238","1,403,229,372","1,681,542,699","2,464,391,268","3,506,063,463","3,302,475,697",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,369,273,234","112,457,175,341","114,307,925,627","117,931,736,970","121,786,219,204","124,357,732,130","132,374,746,121","142,085,526,451","150,436,199,759","158,180,114,937","170,910,048,612","174,063,687,667","178,291,189,508","178,726,882,958","182,929,882,202","185,049,852,574","185,903,587,299",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,309,812,815","5,561,345,014","4,936,030,567","4,091,761,262","2,083,610,600","2,649,482,101","2,387,083,718","4,047,731,659","2,209,659,709","2,863,541,338","7,053,838,433","5,767,830,137","3,238,059,133","5,071,832,173","6,200,724,259","2,908,785,999","6,565,748,209",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,158,323,522","1,820,524,291","3,016,665,113","735,461,823","1,608,743,908","13,723,693","19,753,693","1,566,393,773","3,852,065,246","4,159,288,073","10,878,047,811","7,784,245,862","10,237,864,768","3,612,515,768","6,886,340,768","5,514,906,000","274,651,000",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,963,151,872","84,991,104,699","91,063,536,211","97,316,686,366","99,654,683,595","103,900,036,875","111,688,703,936","118,051,723,449","125,307,438,740","131,449,765,974","130,542,831,029","137,397,426,324","140,982,622,948","144,927,851,207","144,807,170,069","150,468,769,789","150,836,803,422",,,,
