Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,944,234,751","10,420,849,044.65","7,092,139,645.63","6,801,855,685","5,443,907,926","4,965,060,653                    10,418,969,105","5,772,299,021","8,583,598,797","8,322,889,081","6,528,388,522","10,168,043,324","13,503,715,142                                       6,528,388,522","6,687,550,056","6,418,943,689","9,548,993,323                                       6,418,943,689","8,212,024,470","13,941,953,618",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,292,505,021","10,178,321,130.70","8,103,344,708.81","3,999,667,905","3,234,235,126","2,472,897,959                    10,178,321,131","9,406,860,090","11,405,487,570","6,887,751,254","6,803,871,032","5,749,046,509","5,244,527,077                                       6,803,871,032","5,823,114,708","6,841,253,290","8,320,630,143                                       6,841,253,290","12,122,033,693","9,321,608,814",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,912,800,000","5,427,675,000.00","6,264,500,000.00","6,384,500,000","6,518,242,200","6,117,450,000                      5,427,675,000","5,682,507,188","5,347,150,000","4,833,091,400","4,319,424,975","4,305,674,279","1,578,057,866                                       4,319,424,975","2,230,409,925","491,033,317","506,432,245                                          491,033,317","1,109,122,215","606,652,546",,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,"53,324,800.00","6,700,615,345","6,871,551,374","6,419,102,503                      5,504,430,000","7,379,184,987","7,493,902,217","7,317,310,774","8,474,686,154","7,945,022,444","4,948,451,144                                       8,474,686,154","1,365,774,821","508,072,543","2,669,298                                          508,072,543","108,881,485","8,152,000",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-                                           -,-,-,-,-,"151,793,139","146,765,641                                          101,204,596","146,557,661","127,684,427","80,001,206                                          127,684,427","100,392,570","98,035,300",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,147,417,956","3,303,280,249.74","4,286,718,544.12","4,096,541,990","4,161,207,733","3,223,295,833                      3,303,280,250","5,353,619,906","3,465,516,282","5,160,437,481","6,558,466,579","6,737,534,706","6,801,817,555                                       6,538,592,437","6,622,804,609","6,159,622,876","6,086,580,235                                       6,159,622,876","7,372,223,170","5,717,674,446",,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,336,005,812","16,475,160,470.62","16,257,542,582.61","14,250,882,765","14,377,203,448","32,083,785,766                    16,425,733,171","29,101,173,913","34,146,698,316","25,755,287,920","30,109,328,082","28,544,323,936","27,083,320,962                                     30,009,312,731","29,305,607,111","42,737,711,342","35,728,781,276                                     42,737,711,342","38,051,683,711","50,286,415,916",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"876,721,982","980,408,966.97","824,398,633.13","1,296,974,709","1,128,932,039","1,522,344,597                         991,499,066","1,320,732,073","1,518,467,228","1,475,223,327","1,615,663,492","1,392,762,369","1,541,342,225                                       1,642,235,420","1,765,011,987","1,818,798,367","1,582,230,295                                       1,818,798,367","1,896,894,681","2,238,798,232",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-                                           -,-,-,-,-,-,-                                                             -,-,-,-                                                             -,-,-,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-                                           -,-,-,-,-,-,-                                                             -,-,-,-                                                             -,-,-,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,975,963","97,398,638.92","94,913,389.08","108,990,935","106,599,851","103,105,851                         113,306,614","102,379,098","105,392,347","136,876,692","111,028,379","110,728,379","108,357,379                                          111,028,379","108,357,379","108,545,596","160,952,008                                          108,545,596","164,246,654","183,402,147",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,723,622,262","11,828,044,162.15","11,865,164,630.47","11,954,287,979","11,955,088,850","12,007,753,799                    11,828,221,794","12,044,311,988","12,077,259,755","12,185,208,114","12,239,945,223","12,309,733,254","12,347,262,976                                     12,240,078,095","12,363,071,611","12,503,588,833","13,209,257,288                                     12,503,588,833","13,266,360,929","13,248,044,839",,,,
