Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,443,256","79,521,488","82,740,974","86,386,830","86,359,835","91,365,061","102,054,600","108,368,920","111,945,331","106,284,193",,"112,705,481","121,082,821","113,023,503","114,132,958","138,604,351","138,246,998","146,673,911",,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,465,002","6,465,002","6,465,002","6,465,002","6,465,002","6,465,002","6,465,002","6,465,002","6,499,478","6,499,478",,"8,042,662","8,042,662","8,042,662","8,042,662","8,042,662","9,808,192","9,811,148",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,329,754","2,730,452","2,757,255","2,591,791","2,147,425","1,543,601","949,041","384,716","1,534,512","2,263,504",,"3,510,758","4,759,372","5,047,550","5,976,684","24,072,518","19,606,058","19,650,014",,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-                                    -                                  -,-                                     -                                   -,"300,031                                    -                                   -",,"12,495                         428,225","16,162","30,772                             16,162","3,410,668                             30,772","109,500","43,163",-,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.40%,61.87%,68.75%,65.38%,65.05%,64.97%,68.08%,66.16%,66.16%,75.89%,,70.79%,69.84%,75.30%,76.48%,69.63%,71.09%,71.47%,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,574,758","69,001,603","68,418,885","77,768,651","77,307,962","79,938,261","82,353,935","89,169,122                   82,353,935                 77,760,208","85,922,741                    89,169,122                  77,307,962","84,554,157                     85,922,741                   79,938,261",,"93,633,398                    83,644,324                       89,169,014","92,378,051                         93,633,398                        85,922,741","91,548,314                      92,378,051                     84,554,157","90,402,287                      91,548,314                     83,644,324","99,525,782",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"249,949","269,664","277,856","238,568","234,554","282,562","277,266","240,896                        277,266                      238,568","301,031                         240,896                       234,554","279,806                          301,031                        282,562",,"310,616                         310,376","342,688                              310,616                             301,031","350,376                           342,688","410,988                           350,376","305,596",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-                                    -                                  -,-                                     -                                   -,-                                      -                                   -,,-                                     -,-                                          -                                         -,-                                       -,-                                       -,-,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,483,302","6,515,672","10,336,487","4,506,401","4,499,742","6,222,837","13,907,438","12,109,183                   13,907,438                   8,998,622","17,687,569                    12,109,183                    4,499,742","12,387,216                     17,687,569                     6,222,837",,"7,195,552                    11,545,307","15,543,886                           7,195,552                        17,687,569","8,003,828                      15,543,886","5,889,668                        8,003,828","6,548,293",,"11,534,463",,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,443,256","79,521,488","82,740,974","86,386,830","86,359,835","91,365,061","102,054,600","108,368,920","111,945,331","106,284,193",,"112,705,481","121,082,821","113,023,503","114,132,958","78,004,405","79,049,145","146,673,911",,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,731,947","7,290,863","8,805,679","3,593,766","8,712,716","9,263,966","12,149,320","15,614,245                   12,149,320                   9,011,306","13,836,455                    15,614,245                    8,712,716","7,306,265                     13,836,455                     9,263,966",,"17,951,012                    10,754,769","11,700,339                         17,951,012                        13,836,455","11,339,603                      11,700,339","12,559,028                      11,339,603","10,923,563",,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,550,000","1,150,000","350,009","750,009","300,000",-,-,"-                                    -                        250,009","-                                     -                         300,000",-                                      -                                   -,,"1,200,000                                   -","3,800,000                           1,200,000                                       -","3,300,000                        3,800,000","200,000                        3,300,000","1,100,000",,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,589,423","15,517,348","13,094,847","16,902,243","11,781,895","17,376,411","17,595,391","17,739,389                   17,595,391                 16,902,243","17,549,061                    17,739,389                  11,781,895","13,680,842                     17,549,061                   17,376,411",,"12,163,503                      9,728,672","17,979,491                         12,163,503                        17,549,061","12,594,586                      17,979,491","11,306,648                      12,594,586","465,844",7.,7.,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,137,910","45,001,497","49,584,194","53,374,544","53,095,999","55,131,915","59,820,475","63,527,264                   59,820,475                 53,388,388","66,031,270                    63,527,264                  53,095,999","70,815,546                     66,031,270                   55,131,915",,"74,372,887                    74,209,486","73,695,712","78,710,279                      73,695,712","79,705,932                      78,710,279","79,632,495",,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"916,034","895,138","905,887","692,158","1,394,062","1,445,748","1,596,478","2,576,222                     1,596,478                      926,488","269,567                         268,506                       188,715","259,940                          269,567                        246,529",,"2,592,244                      2,658,712","2,514,985","2,501,141                        2,514,985","2,561,549","3,519,207",,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,585","114,023","96,158","98,268","188,715","246,529","251,385",,"269,567                         268,506                       188,715","259,940                          269,567                        246,529",,"247,106                         253,442","163,738","162,837                           163,738","192,845",,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"512,349","534,807","509,278","402,309","509,278",,"523,226","415,774                        523,226                      291,656","347,623                         415,774                       509,278","335,208                          347,623                        400,744",,"318,657                         326,828","583,936","580,722                           583,936","371,478",,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333,302","360,556","360,556","355,093","360,556","358,286","357,375","182,157                        357,375                      336,804","169,722                         182,157                       360,556","163,660                          169,722                        358,286",,"155,579                         159,568","569,433","566,298                           569,433","474,165","450,457",,,,,,,,,,,,,,,,,,,,,,,
