Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,445,916,102","20,200,055,268","13,864,942,030",,"12,529,881,230","12,661,266,837","19,396,125,649","17,703,176,456","25,751,151,869","28,446,273,848","39,401,025,607","22,697,579,112","10,993,488,170","32,029,869,045","32,497,468,618","21,635,291,732","26,404,843,480",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,441,144,297","16,097,915,246","10,075,620,979",,"6,899,221,455","18,721,482,611","22,013,200,732","28,377,184,020","12,091,979,926","9,072,897,671","17,854,280,963","8,255,716,067","9,380,482,072","12,521,711,192","12,612,195,029","16,274,842,549","13,453,963,086",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,333,140,000",,"3,368,981,398",-,-,-,-,,,,-,-,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,912,929,899",,"6,892,443,089","5,601,039,423","4,440,546,120","4,640,820,000","5,240,857,500",,,,,,,,,,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"26,552,467","37,467,994",,"25,019,198","177,251,810","9,440,000","12,929,668","312,846,947","12,815,074","10,511,704","7,851,704","6,711,704","162,822,000","1,920,000","1,920,000","14,060,000",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,235,556,729",,"11,751,163,408","11,070,985,723","9,649,875,259","7,693,341,400","7,935,947,101",,,,"13,394,059,140","10,849,444,435",,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145,734,307,341","147,059,184,288","158,617,523,994",,"168,488,201,614","167,145,046,556","197,515,317,109","229,788,827,149","263,527,706,132","265,080,442,297","286,373,523,533","284,057,143,086","280,676,324,117","274,290,848,447","280,605,353,924","277,304,964,134","285,594,876,611",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,322,672,624",,"20,706,386,240","29,544,449,034","31,008,470,963","28,885,754,777","29,259,635,080",,,,"46,828,619,944","39,834,507,956",,,,,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,345,414,141",-,-,,"74,193,649","4,963,423,066",-,-,"28,297,575","277,536,859",-,-,-,"8,931,004",-,-,-,,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,,,,-,-,,,,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,,,,-,-,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,898,112",,"436,987,108","496,064,382","824,215,484","1,076,080,229","1,302,234,855",,,,"982,891,295","722,531,322",,,,,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,354,675,862","2,620,458,235","2,837,477,722",,"3,027,191,885","3,272,187,181","3,202,693,486","3,135,194,426","3,172,190,084","3,172,498,089","3,168,767,132","3,109,226,597","3,117,494,895","3,200,832,990","3,262,575,499","3,257,251,669","3,523,996,235",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,253,345",,"114,943,929","115,836,335","109,798,581","99,510,873","102,222,735",,,,"121,576,572","172,472,618",,,,,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234,898",-,-,,"3,232,381",-,-,-,-,-,-,-,-,-,-,-,-,,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,074,748,130","2,246,312,618","2,309,071,172",,"2,751,290,296","3,046,652,775","4,812,621,612","6,203,121,252","6,527,832,440","5,590,028,795","5,160,633,749","4,441,133,262","4,593,793,051","7,179,702,306","8,594,089,400","9,335,555,633","9,207,880,260",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"230,108,527,166","220,181,542,637","227,005,143,634",,"237,259,892,043","256,850,893,017","293,034,013,155","327,687,607,691","355,182,218,344","361,961,849,719","397,141,745,447","368,126,643,775","370,682,440,800","380,973,673,314","381,155,876,926","379,269,317,169","384,275,926,730",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"731,087,470","314,541,457","1,051,717,231",,"587,138,515",-,-,"3,646,290,826","3,680,478,610","3,238,618,707","19,476,075,205","5,388,250,119","7,227,764,978","19,727,764,978","4,990,308,480","659,920,000",-,,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154,519,008,494","177,368,823,075","178,927,637,856",,"187,505,935,858","201,350,720,884","232,242,107,898","268,718,602,199","277,504,706,823","289,293,739,732","280,705,644,416","297,752,715,212","299,110,673,649","292,756,561,319","307,709,846,201","308,613,448,922","317,280,569,336",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,289,592,202",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"975,849,756","249,608,133","905,018,029",,"830,257,057","1,343,404,139","438,953,025","226,018,266",-,-,"277,587,594","177,346,801","278,722,419",-,"720,204,930","417,711,313","101,038,507",,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,211,180",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,814,629","209,168,622","159,279,865",,"161,490,447","294,901,015","375,609,789","309,879,958","342,661,760","336,889,823","406,035,917","380,201,848","285,113,727","267,772,251","214,568,565","302,591,656","227,817,658",,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,406,275,955",,"2,626,692,148","7,071,166,733","5,006,997,066","5,958,290,758","6,503,372,499","5,777,781,152","6,412,507,417","4,792,985,783","5,108,065,301","7,468,232,689","6,226,921,292","7,765,355,439","7,019,447,002",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,868,453,058","7,710,097,099","9,655,694,331",,"9,673,873,498","9,655,637,044","9,645,964,196","9,643,539,254","9,643,501,459","10,740,937,282","10,786,568,152","11,041,287,298","10,804,393,835","10,726,356,675","10,728,385,574","10,728,862,536","10,730,115,467",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"215,727,652,433","205,088,286,291","211,883,018,458",,"220,475,049,987","238,792,878,339","273,690,180,906","307,499,374,782","333,355,798,576","339,481,711,053","373,397,774,889","343,007,463,180","344,224,172,436","353,529,006,578","352,086,092,355","348,695,544,708","353,551,113,633",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,834,228,698","8,834,228,698","9,717,651,568",,"9,717,651,568","9,717,651,568","9,717,651,568","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,489,049,907","2,376,358,144","871,525,462",,"968,363,285","1,876,298,625","2,267,419,905","1,041,390,342","1,669,246,527","2,334,872,101","2,547,332,428","3,284,073,473","3,590,638,222","4,541,663,248","4,864,869,054","4,467,020,276","3,503,711,221",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,057,596,128","3,882,669,504","4,532,948,146",,"6,098,827,203","5,891,675,303","6,762,681,603","6,965,917,080","7,522,200,598","7,451,172,524","8,475,793,904","9,033,120,691","10,014,484,575","10,008,774,512","11,280,717,719","13,161,879,500","14,458,293,743",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,-,"572,389,181","596,079,172.17","616,920,120.9","1,070,967,277","1,130,088,676","1,156,838,861","1,237,981,065","1,289,140,201","1,330,223,610","1,360,192,432","1,380,867,319","1,198,802,767",,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,380,874,734","15,093,256,346","15,122,125,176",,"16,784,842,056","18,058,014,677","19,343,832,248","20,188,232,909","21,826,419,768","22,480,138,666","23,743,970,558","25,119,180,595","26,458,268,364","27,444,666,736","29,069,784,571","30,573,772,461","30,724,813,097",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227,005,143,634",,"237,259,892,043","256,850,893,017","293,034,013,155","327,687,607,691","355,182,218,344","361,961,849,719","397,141,745,447","368,126,643,775","370,682,440,800","380,973,673,314","381,155,876,926","379,269,317,169","384,275,926,730",,,,
