Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,319,195,443",,"5,357,679,873","5,646,942,771","5,376,821,894","5,683,925,493","7,051,638,561",,,,"9,269,599,475","10,530,466,940",,,,,,,
Interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,231,359,288","3,298,879,751","3,353,944,024",,"3,450,657,916","3,312,680,141","3,214,196,994","3,490,945,418","3,866,560,788","4,349,689,490","4,799,127,620","5,690,320,737","5,909,253,309","6,617,619,629","6,960,791,677","6,977,331,156","6,866,512,809",,,,
Net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,809,081,636","1,825,887,233","1,965,251,418",,"1,907,021,957","2,334,262,630","2,162,624,900","2,192,980,075","3,185,077,772","3,050,340,451","3,147,237,278","2,911,148,594","3,360,346,166","3,912,847,311","3,705,859,811","3,167,818,689","3,156,134,843",,,,
Fee and commission expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,911,744","163,877,283",,,,,,,,"124,087,936","99,685,133","34,174,512",,,"52,518,295","94,114,920","95,683,175",,,,
Net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"663,496,982","630,913,119","707,488,701",,"596,913,158","633,468,783","447,558,575","550,645,998","625,841,631","441,411,057","648,799,885","500,119,817","528,898,050","839,824,836","673,720,602","533,243,149","914,318,348",,,,
"Net interest, fee and commission income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,472,578,618","2,456,800,352","2,672,740,119",,"2,503,935,114","2,967,731,414","2,610,183,474","2,743,626,073","3,810,919,403","3,491,751,508","3,796,037,164","3,411,268,411","3,889,244,216","4,752,672,147","4,379,580,413","3,701,061,838","4,070,453,191",,,,
Net trading income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108,424,211","85,844,075","98,982,509",,"110,021,759","54,321,761","67,961,579","78,137,775","80,160,291","100,657,488","73,660,148","76,163,262","14,622,873","39,969,617","29,388,956","45,416,137","50,027,401",,,,
Other operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,487,654","23,146,298","10,135,154",,"327,526,927","41,708,655","74,355,772","63,734,304","21,951,405","66,816,191","203,813,544","31,553,933","86,612,580","14,553,847","158,460,683","67,321,851","28,282,525",,,,
Total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,781,857,782",,"2,941,483,801","2,980,344,519","2,752,500,825","2,885,498,152","3,913,031,099","3,659,225,187","4,073,510,856","3,518,985,607","3,990,479,669","4,778,087,917","4,567,430,052","3,813,799,826","4,148,763,117",,,,
Impairment charge/(reversal) for loans and other losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"171,826,452",,,,,,,,,,,,,,,,,,
