Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,747,225,960",,"5,936,503,411","7,051,364,674","10,681,642,412","10,379,968,108","9,986,114,277","9,922,300,549",,"7,864,971,018",,,,,,,,,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,810,307,625",,"4,914,009,395","4,097,379,630","6,298,911,914","8,716,147,441","7,661,229,130","7,526,777,770",,"10,497,986,812",,,,,,,,,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,191,252,224",,"1,228,842,745","1,619,398,857","1,877,448,666","2,260,117,991","2,329,777,869","2,331,726,246",,"4,766,883,849",,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,,-,,,,,,,,,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,,-,,,,,,,,,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,863,986,029",,"79,137,218,746","80,915,442,917","111,004,604,808","110,454,295,534","113,447,296,157","119,274,468,073",,"135,376,649,719",,,,,,,,,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,153,332,404",,"10,225,252,444","10,565,720,043","13,227,758,346","13,684,280,894","15,029,377,110","15,604,092,048",,"23,426,854,321",,,,,,,,,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,013,246",,-,"13,314,547",-,"172,838,831",-,"25,915,236",,"331,561,840",,,,,,,,,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,,-,,,,,,,,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,000,000",,"51,023,000","51,023,000","51,023,000","60,023,000","60,023,000","60,023,000",,"46,023,000",,,,,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,711,813",,"224,593,387","224,593,387","225,599,357","495,844,517","496,489,981","494,328,098",,"365,775,958",,,,,,,,,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"628,266,351",,"791,462,417","812,817,794","1,092,181,375","1,065,435,431","1,045,406,998","1,018,527,688",,"1,014,001,256",,,,,,,,,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,456,857",,"11,175,826","10,736,072","18,515,048","15,995,335","17,345,586","21,834,638",,"22,781,269",,,,,,,,,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,712,568",,"61,518,522","55,856,222","66,442,336","48,826,751","39,719,905",-,,-,,,,,,,,,,,
