Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54,12.17,12.68,12.13,12.78,12.75,13.23,12.98,13.4,14.08,14.24,14.07,15.1,14.56,12.97,13.2,13.33,13.11,12.49,12.46,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,1.41,1.58,1.58,0.92,1.14,1.45,0.97,1.54,1.37,1.08,0.86,1.45,0.62,0.78,0.94,1.4,1.8,2.81,3.06,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.4,126.14,131.28,132.43,175.36,159.92,136.7,170.75,140.42,169.38,197.64,218.65,157.05,338.55,259.05,219.74,158.39,137.64,115.01,112.8,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04,7.8,8.29,8.29,7.9,7.67,7.65,8.03,7.14,6.26,6.05,5.5,5.74,6.62,7.29,7.89,8.31,8.9,9.25,9.09,,,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.22,79.8,78.55,78.43,77,77.86,77.86,76.55,74.54,80.03,81.37,82.31,79.6,90.25,94.83,99.62,87.2,88.47,88.89,89.13,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47,10.39,10.17,10.2,10.03,9.67,9.45,9.85,8.62,8.12,7.85,7.14,7.21,8.27,8.98,9.68,9.99,10.91,11.34,11.01,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.18,5.11,4.64,4.22,4.4,4.27,4.38,4.09,3.08,3.46,4.1,4.37,4.31,4.33,4.19,,,,
Market Share Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,1.66,1.8,1.76,1.69,1.56,1.54,,,,
Return on Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.68,13.14,13.64,13.36,12.29,11.9,11.5,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
