Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,751,271,104","5,488,796,975","8,912,616,022","8,090,007,661","9,181,470,755","5,962,454,404","8,936,768,205","11,881,240,279","16,471,992,030","6,079,927,016","10,772,276,615","8,419,657,360","9,109,134,172","7,902,526,046","8,515,489,244","6,268,640,481","11,802,661,509",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,746,594,883","6,037,591,370","5,994,450,992","5,434,706,591","5,736,290,702","9,507,945,122","11,729,341,483","8,571,409,366","5,956,169,355","7,740,641,992","5,284,804,411","8,337,950,402","6,110,466,303","5,730,448,535","6,553,094,831","9,889,239,323","7,775,570,067",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,"12,589,682,693","9,192,409,018","12,082,206,822","11,862,128,229","14,812,141,902","13,814,793,550","13,869,500,076","16,347,184,255","19,232,781",-,"28,225,129","19,359,606","10,496,156","12,259,692","4,863,049",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,240,858","110,711,362","103,325,209","124,774,414","145,178,276","178,081,148","314,890,800","325,004,996","300,875,722","253,950,104","194,491,646","213,012,025","179,736,650","158,762,749","135,648,669","132,375,472","159,326,147",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,167,325,182","3,395,452,086",,,,,,,,,,,,,,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,384,798,782","104,769,776,371","108,691,611,300","118,370,914,755","124,394,651,654","123,454,315,433","127,052,658,431","138,377,248,381","153,066,309,255","158,550,906,036","173,183,089,824","176,890,898,412","177,383,238,356","178,764,609,157","179,945,174,576","177,613,550,833","181,502,125,045",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,039,473,449","19,160,536,218","17,213,176,024","19,905,981,756","20,254,262,416","22,827,665,018","26,210,776,273","26,486,336,592","27,352,220,398","41,761,121,395","38,614,701,072","32,353,114,259","42,973,492,346","57,591,637,732","50,725,127,461","47,926,509,734","57,619,465,229",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"171,172,996","178,416,114",-,"265,061,324","167,785,303","315,020,547","100,513,515","359,755,583","309,636,974","275,154,560",-,"197,565,177","424,689,706","249,216,582","21,753,464","405,863,581","567,804,948",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154,637,535","123,350,704","123,350,704","136,607,745","136,607,745","136,607,745","136,607,745","136,607,745","165,057,745","291,042,098","291,042,098","339,291,965","216,284,527","213,307,612","213,307,612","218,938,434","312,871,374",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,206,707,371","1,303,844,846","1,316,568,168","1,325,169,109","1,344,693,491","1,390,737,623","1,425,408,445","1,430,065,302","1,438,530,373","1,466,037,615","1,516,693,824","1,527,352,153","1,695,549,578","3,084,304,509","3,136,618,649","3,245,466,056","3,275,948,377",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,741,493","34,537,435","32,273,657","30,673,516","79,313,940","102,314,936","95,999,031","85,272,983","79,574,021","81,767,169","76,337,470","70,371,300","66,747,067","73,722,349","66,799,360","150,822,000","149,522,704",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"939,895",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"528,873,326","1,858,264,648","1,665,578,579","1,866,648,473","2,454,975,089","2,114,076,693","1,785,639,458","1,810,520,007","2,963,794,675","3,297,360,103","2,724,920,760","2,308,430,682","2,708,385,663","4,242,441,253","3,533,280,884","4,640,151,109","3,877,376,166",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,787,700,773","144,836,238,443","160,565,355,454","169,479,015,569","179,700,953,697","183,033,448,585","198,489,400,421","211,171,481,466","230,276,144,041","245,534,085,965","242,427,000,908","238,502,778,106","247,760,352,271","264,754,378,244","259,360,764,972","257,641,200,275","274,307,967,423",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,174,679,369","8,422,830,375","6,079,550,632","9,549,281,566","12,456,771,879","6,759,236,798","4,955,074,688","4,727,755,377","3,833,858,461","7,717,011,244","9,708,935,111","5,507,590,110","4,082,715,143","7,234,641,506","8,978,928,823","6,132,319,639","9,200,983,615",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"807,281,968","984,061,065","359,697,114","950,216,637","933,547,530","20,054,195","15,806,114","4,027,481,042","6,417,262,383","5,859,906,910","14,152,646,809","9,094,934,166","19,752,194,753","24,965,102,753","17,820,667,435","4,401,361,474","4,613,071,417",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,221,140,969","114,537,392,939","117,901,449,457","126,020,101,140","129,894,504,620","139,172,356,368","149,250,939,242","157,518,951,016","172,053,126,359","180,438,924,523","183,236,565,251","188,525,694,174","188,871,195,175","191,156,475,501","192,818,491,324","204,731,982,624","212,134,246,223",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,"963,600,000","949,600,000","975,200,000","1,022,800,000",-,-,"7,202,250,000",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,"69,971,327",-,-,-,-,-,-,-,"92,720,296",-,-,-,-,-,-,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,737,556","81,873,344","6,434,590","100,479,843","85,161,048","130,430,588","442,146,299","766,626,535","1,095,014,653","897,542,147","621,298,103","784,163,724","620,208,895","243,985,287","131,263,036","370,241,775","228,896,444",,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,298,259,544","2,411,961,514","2,335,194,630","3,117,519,115","3,421,476,394","3,597,901,132","3,285,862,926","3,476,006,179","4,526,903,396","5,444,130,834","4,492,414,378","3,653,561,981","3,822,539,539","6,151,830,764","5,408,076,854","6,955,363,751","5,883,940,245",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,366,079,000","2,966,079,000","5,466,079,000","5,466,079,000","5,466,079,000","5,162,559,000","8,162,559,000","8,162,559,000","8,162,559,000","8,162,559,000","8,162,559,000","8,162,559,000","7,662,559,000","11,662,559,000","11,662,559,000","11,662,559,000","11,662,559,000",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,000,178,406","129,404,198,237","144,808,059,443","154,396,086,319","164,339,747,293","166,704,666,310","180,924,530,171","192,494,172,699","209,958,224,328","224,867,258,913","221,449,971,729","216,678,103,155","225,814,837,634","242,456,754,417","236,830,482,629","234,266,087,955","250,930,809,994",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,887,604,540","8,887,604,540","8,887,604,540","9,787,767,142","9,787,767,142","9,787,767,142","9,787,767,142","9,787,767,142","10,962,299,199","10,962,299,199","10,962,299,199","12,524,426,835","12,524,426,835","12,524,426,835","12,524,426,835","14,089,980,190","14,089,980,190",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,091,505","122,091,505","122,091,505",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,501,867,809","1,743,423,903","2,308,829,391","1,177,559,381","482,642,448","1,026,378,825","1,825,055,021","1,203,687,545","1,018,244,443","1,370,398,864","1,709,048,284","937,859,356","1,102,651,175","1,694,559,205","1,292,635,744","174,767,870","376,418,238",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,092,931,260","4,485,440,235","4,238,588,132","3,930,449,060","4,897,686,088","5,316,694,335","5,743,470,740","7,487,124,283","8,126,971,148","8,112,231,772","8,107,319,372","8,152,911,173","8,110,393,122","7,866,394,278","8,519,889,657","8,905,548,579","9,456,595,462",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"183,027,253","193,480,023","200,182,443","187,153,667","193,110,726","197,941,973","208,577,348","198,729,796","210,404,923","221,897,217","198,362,323","209,477,587","208,043,505","212,243,509","193,330,107","204,815,680","207,000,016",,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,787,522,367","15,432,040,206","15,757,296,011","15,082,929,250","15,361,206,404","16,328,782,275","17,564,870,251","18,677,308,766","20,317,919,713","20,666,827,052","20,977,029,178","21,824,674,951","21,945,514,637","22,297,623,827","22,530,282,343","23,375,112,320","23,377,157,429",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,787,700,773","144,836,238,443","160,565,355,454","169,479,015,569","179,700,953,697","183,033,448,585","198,489,400,421","211,171,481,466","230,276,144,041","245,534,085,965","242,427,000,908","238,502,778,106","247,760,352,271","264,754,378,244","259,360,764,972","257,641,200,275","274,307,967,423",,,,
