Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,873,434,143","6,356,761,783","6,131,728,072","6,500,833,465","7,676,157,172","8,011,838,788","4,280,922,909","5,691,195,069","4,198,554,088","4,269,319,451","7,692,962,378","6,403,384,689","6,595,250,284","9,470,995,312","6,022,244,423","8,150,414,242","6,446,329,988",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,190,018,352","3,241,044,764","3,879,004,890","4,036,673,988","3,873,697,315","7,806,295,521","5,393,340,380","5,093,943,720","3,390,500,682","2,980,810,427","3,522,701,966","5,648,449,132","3,798,895,187","4,897,685,330","6,014,719,115","4,906,822,302","5,286,039,140",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,"146,017,027",-,-,-,"69,705,499","10,469,725","10,322,409",-,-,-,-,"40,000,103","64,935,620",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"86,859,603","96,340,439","97,641,621","77,333,197","68,213,842","74,992,986","50,129,022","55,554,785","31,105,270","84,291,163","76,781,189","88,481,894","64,780,191","63,555,002","36,886,843","33,548,685",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,042,533,806","1,149,493,530","1,263,442,502","1,498,208,254","2,718,872,383","2,395,067,484","2,473,076,113","2,021,945,687","1,877,895,501","1,906,576,647","4,200,090,460","4,130,156,040","3,212,838,233","2,979,430,579","2,831,106,739","2,616,849,328","2,638,163,953",,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,361,820,023","11,824,371,900","11,696,539,956","11,963,761,792","12,197,264,202","13,282,987,906","14,580,480,578","15,581,847,184","22,093,291,856","20,860,092,464","23,654,003,005","24,922,110,966","22,480,736,568","28,328,940,594","25,080,370,375","25,607,166,445","24,582,725,978",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,252,229","79,115,835",-,"42,352,727","55,612,972","209,674,884","51,474,046","170,211,549","370,744,620","275,259,304","130,076,361","361,095,340","428,056,692","394,132,721","393,278,801","496,393,796","526,294,480",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,233,132","398,180,042","396,963,723","422,379,640","422,379,640","433,358,795","404,267,928","406,371,492","404,263,743","404,263,743","366,993,547","368,759,547","511,331,855","844,096,900","852,130,369","846,101,108","918,929,675",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"841,139,597","922,005,163","988,510,582","1,037,830,478","1,059,978,158","1,067,232,963","1,053,703,529","1,045,196,976","1,039,947,776","1,029,036,716","864,915,640","846,947,562","835,234,570","821,775,932","814,582,326","803,160,968","790,483,223",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,083,948","68,761,626","65,949,012","60,567,344","55,301,136","48,770,990","42,310,545","36,913,076","31,939,583","26,547,107","19,300,555","12,997,065","9,613,281","8,645,506","8,226,040","7,519,345","6,668,280",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,146,995","53,146,995","358,692","358,692","358,692","13,007,230",-,"4,752,513","4,752,512","4,752,512","4,130,168","4,130,167","4,130,167","4,130,167","13,324,174",-,-,,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104,053,512","287,760,703","317,756,459","448,657,641","1,124,170,879","1,080,624,910","739,444,296","901,854,781","522,829,581","753,296,751","784,981,285","609,960,960","746,241,272","1,075,030,965","1,704,269,846","1,634,817,331","1,866,348,305",,,,
