Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Average Yield,,,,,,,,,,,,,,,,,,14.44%,,12.63%,12.77%,11.21%,10.63%,10.51%,11.15%,9.98%,10.41%,9.99%,10.06%,9.45%,9.47%,8.74%,9.14%,8.78,8.84,8.60,8.67,8.79,8.78,9.33,10.01,11.691,11.68,11.61,11.77,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,9.50%,10.21%,10.29%,9.85%,8.98%,8.72%,8.62%,8.30%,7.48%,7.87%,8.36%,7.99,7.45,6.86,6.86,6.79,7.57,9.47,11.19,10.821,10.96,11.34,11.39,10.97,10.63,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,"39,100",,-,-,-,-,-,-,-,-,-,-,-,"1,300,000","6,321",-,,"80,000","100,000","100,000",,"80,000",,"60,936,564",,"85,703","986,920","523,733","524,620","624,696",,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,"1,290,183",,"981,850","1,339,775","1,268,739","1,353,485","1,307,742","1,404,443","1,480,987","1,429,630","1,263,655","1,140,020","1,150,044","1,080,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.64,77.90,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,,,,,,13.57%,,12.87%,12.75%,10.55%,11.16%,11.30%,11.89%,10.68%,11.28%,11.32%,11.71%,11.75%,11.39%,10.76%,11.18%,10.77,11.27,11.00,11.98,11.91,12.17,12.89,15.23,14.32,14.42,14.57,14.42,12.99,13.04,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,"3,438,506",,"3,630,259","4,408,290","3,997,440","3,902,039","2,877,717","4,690,927","4,440,763","4,172,637","4,549,027","5,928,770","3,474,332","2,446,751","5,410,739","3,058,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,9.99%,,9.53%,9.34%,7.16%,6.68%,6.48%,6.49%,6.47%,6.03%,5.74%,5.61%,4.82%,4.68%,4.71%,5.15%,5.09,4.92,4.68,4.52,4.36,4.60,5.22,6.00,7.30,7.32,7.40,7.47,7.70,,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.54,76.74,,,75.47,77.56,76.02,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,,,"15,524,374",,"17,655,939","18,756,490","20,582,722","22,157,741","22,170,577","23,270,617","26,010,545","25,329,557","26,093,309","26,616,403","27,724,468","29,210,859","29,843,111","33,486,669","35,263,661","37,224,577","41,282,795","51,650,280","54,083,006","57,300,456","57,779,907","59,201,928","58,705,000",,"63,309,430","67,986,527","74,128,689","74,831,187",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,,,"15,038,840",,"17,032,697","18,100,054","19,871,025","21,175,014","21,211,423","22,194,651","24,869,296","24,264,817","25,035,642","25,633,590","26,799,009","28,384,965","29,411,508","32,641,339","34,323,429","36,247,986","40,275,814","50,390,677","52,712,186","55,734,110","56,299,213",,,"61,477,604",,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.11,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,528","155,338","133,535","141,981",,,,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,,,,"367,752",,"340,281","348,597","341,097","327,703","315,316","312,767","308,215","301,269","296,747","291,870","286,768","270,523","271,670","309,656","304,890","303,554","304,062","409,792","447,280","466,133","551,403","950,021","602,297","625,871","688,793","733,022",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,,,"485,534",,"623,242","656,436","711,697","982,727","959,154","1,075,966","1,141,249","1,064,739","1,057,667","982,813","925,459","825,894","431,603","845,330","940,232","976,591","1,006,981","1,259,603","1,370,820","1,566,346","1,480,694",,,"1,687,595",,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,,,,,"5,724",,"26,530","38,864","13,717","40,592","51,396","50,511","15,267","33,482","50,997","63,213","17,088","35,796","56,922","80,316","28,354","54,783","82,164","115,336","34,027","68,188","68,188",,,"88,582","151,095","214,022",,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"412,041","89,115",,,"570,495",,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,,,,,"319,074",,"1,030,725","1,410,696","315,045","619,311","923,908","1,251,304","369,859","703,475","1,015,004","1,328,712","306,461","595,348","909,579","1,296,357","409,073","798,726","1,177,626","1,591,977","544,135","1,150,673",,"3,107,907","1,163,849","2,284,711","3,467,675","4,758,259","1,365,199","2,759,201",,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,,,,,"169,968",,"362,508","574,635","160,535","395,229","643,876","988,899","222,257","521,539","788,947","1,095,135","235,526","552,624","829,883","1,106,300","280,665","1,446,717","2,198,173","3,095,549","1,059,793","2,253,853","2,253,853","5,323,149","1,687,295","3,575,501","5,417,325","7,573,097","2,202,284","4,520,171",,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,"1,105,511",,"1,566,772","1,808,961","1,577,267","2,598,304","2,013,494","2,453,581","2,996,185","2,978,595","3,940,058","3,054,741","5,419,493","7,569,128","3,607,668","7,259,794","5,201,994","6,694,047","7,478,161","8,172,422","7,989,489","9,211,217","7,720,517","7,337,394","12,841,937","11,994,188","12,496,751","13,537,418","9,092,015","9,137,971",,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,,,,,"12,445,520",,"14,002,985","14,380,599","16,955,638","17,257,301","17,790,267","17,730,592","20,569,760","20,129,919","20,132,179","20,030,432","21,522,355","23,353,006","24,463,699","26,381,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,,,,"126,294",,"45,821","14,695","18,667","47,066","30,766","46,817","72,362","80,929","77,974","68,790","141,715","197,675","306,076","477,845","853,397","956,642","1,139,876","1,730,266","2,028,741","2,298,768","2,282,140","469,00","2,526,132","2,114,369","1,834,684","1,916,943",,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,,,"242,764",,"408,380","100,626","130,221","540,241","1,648,551","679,557","319,683","558,497",-,"113,394","100,000",-,-,-,"100,000","100,000",,,"100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
