Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,320,963","3,194,561","3,504,515","3,644,846","3,340,210","3,652,226","3,846,306","4,185,782","3,261,974","3,779,076","4,375,384","4,813,778","4,002,759","4,633,125","5,274,461",5686669,4696945,"5,202,468","6,085,632",6869602,6066040,5190960.075,5325987.259,5796006.031,6116985.95,6790001.798,5670966.635,6080706.759,5986630.811,6198834.933,6588789.341,6952623.632,7154346.379,7544894.397,6472136.45,7353753.114,7426425.805,13457609.7,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000","1,100,000","1,100,000","1,100,000","1,100,000","1,100,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000",600000,600000,"600,000","600,000",606428,627374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,"688,450","192,500",-,"1,400,033",-,-,-,-,-,-,"1,000,000",-,"1,350,053",-,"40,000",311405,1404500,-,"40,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2090265.961,,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,767,196","62,917,185","64,674,848","68,912,484","67,025,508","68,307,233","73,523,334","77,529,981","81,137,740","80,877,838","87,323,146","93,226,213","91,098,628","92,890,828","92,881,114",96136781,92972795,"96,324,191","99,743,045","102,459,114","106,107,324",108582107.1,109390482.2,115354807.5,112679085,116274482.6,125096979.3,128720746.5,129717593.5,132208163.9,140848614.8,142122886.1,165391999,165122544.8,168177158.5,170398206.9,175843875.9,264080419.5,,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,702",-,-,"92,551",-,-,-,"40,942","10,266",-,-,"130,293","18,642",-,-,92945,13962,-,-,-,-,126353.02,119344.357,167107.334,94312.58,270364.565,96016.544,100478.165,95362.284,109459.221,101754.246,104991.988,109229.927,104467.905,88759.997,41156.753,43497.127,28093.736,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,476,402","3,451,171","2,815,559","2,931,477","3,297,058","3,057,707","3,610,648","3,609,990","3,569,671","3,987,007","3,382,423","3,290,081","3,251,567","3,297,543","3,210,023",3852708,3512730,"3,488,907","3,413,374",5588057,8028416,2785105.278,2698182.324,2909460.164,3726389.021,3357343.036,3644360.056,3442622.983,3484216.313,3707990.235,3278372.724,3900373.787,4578958.325,4466150.377,5192330.623,5632895.309,6011156.042,8860198.251,,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,114,713","73,753,417","74,992,922","80,979,391","78,095,476","79,449,866","84,912,988","89,299,395","93,078,796","93,743,066","101,180,098","107,024,722","106,797,969","107,913,120","108,497,222",113172132,111315061,"113,730,095",117956580,123656730,129349410,132459875.5,133295794.2,144318003.6,142495930.1,147752172.1,156687158.9,162367083,165830015.8,172754542.5,179645363,190827854.1,209050305,219526002.6,217380413.6,213408793.8,215888088,336926047.9,,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,957,460","45,715,752","46,449,329","50,548,652","52,944,631","55,500,982","55,428,007","57,494,720","58,997,068","65,288,179","69,100,890","72,183,928","75,567,818","78,083,492","77,654,974",80788349,82757606,"85,456,212",86846646,"94,240,786","98,836,632",97857944.05,97593660.14,102447740,102450971.2,110963619.7,106651426.7,104380091.7,114541099.2,127129314.7,132060348.6,145224919.4,158475379.7,158267080,155805724.8,160418223.2,161274939,253491710.7,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,372,978","3,528,870","4,744,599","1,087,063","2,226,787","3,384,674","4,626,793","1,149,115","2,371,728","3,596,250","4,974,339","1,334,006","2,865,154","4,692,774","6,936,742","2,137,024","4,506,780","6,871,036","9,630,075","2,811,404","5,572,143",2979258.613,3084971.678,3146490.296,3030662.471,3076757.231,2867639.182,2775235.002,2368442.048,2515028.9,2725758.074,2950864.75,3535167.328,4714544.729,5501644.878,5676937.291,5651742.308,8088334.864,,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,195,824","1,733,624","2,248,798","496,686","970,284","1,450,691","1,956,513","451,865","816,326","1,152,812","1,565,896","507,824","1,060,478","1,923,181","3,173,334",1361566,2637273,"3,960,452","5,403,047","1,498,599","3,078,705",1719260.589,1796059.933,1823558.193,1769285.515,1807846.711,1945741.303,1831626.557,1543701.093,1558772.133,1642616.701,1833816.518,2723564.558,3262460.227,3732211.626,3862527.716,3802747.963,5209149.293,,,,
