Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,"498,566","591,883","662,588","757,975","800,532","635,167","696,001","885,658","905,506","982,658","941,520","828,374","1,112,426","1,127,739","1,258,353","1,169,283","567,761","716,598","786,272","887,658","974,325","1,139,907","1,003,133","1,388,260","1,501,686","1,643,566","1,143,499","2,112,466","2,740,780","2,590,947","2,812,200","1,794,861.10","3,954,897","4,332,841",2163705.93,2149711.011,"2,241,780,679",2241780.679,3050049.312,3823882.514,3595456.281,3503963.068,3805164.192,3890352.246,3942438.078,4271992.994,4678323.122,4617917.392,5036566.462,12066549.81,10486558.04,,,,
debenture and bond,,,,,,,,,,,,,,"400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
borrowings,,,,,,,,,,,,,,"490,900","972,350","748,985","660,925","520,557","78,126","26,945","5,403",-,-,-,-,-,-,"288,000","201,952","122,570","160,387","2,456","328,000",-,"350,000","292,910",-,"184,200","1,107,335","1,076,648","7,217","352,655","323,776","1,467,594",-,"2,524,741","1,140,405",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
deposits,,,,,,,,,,,,,,"16,784,422","16,042,037","16,636,573","16,986,279","18,006,627","20,091,092","20,665,627","21,985,198","22,542,701","23,423,356","23,923,568","25,318,569","25,899,464","27,401,862","27,424,123","27,578,376","29,640,596","29,884,768","31,224,317","33,421,911","34,738,471","34,531,231","34,821,620","37,950,525","40,356,967","39,946,389","39,035,512","52,071,282","54,648,930","57,680,957","61,841,742","59,546,335.52","72,498,235","75,309,867",68854311.4,73201353.71,"78,302,898,866",78302898.87,85506710,116547033.2,117026018,122728828.1,127696585.9,148694070.8,155182644.2,159821637.2,165403677.6,176767665.6,173976523,299691753.5,303286788.3,,,,
income tax liability,,,,,,,,,,,,,,-,-,-,-,"1,541",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"20,755.15",-,-,12887.84,#VALUE!,"109,673,028",109673.028,100205.915,#VALUE!,#VALUE!,23334.642,47493.496,48416.79,69010.879,59902.878,123949.371,108346.98,62977.487,140898.549,96183.062,,,,
other liabilities,,,,,,,,,,,,,,"699,663","288,420","383,974","311,084","239,920","276,355","785,732","735,106","965,630","994,161","1,068,730","997,766","1,060,511","1,205,081","1,341,941","1,154,490","1,306,348","1,181,786","1,344,964","1,117,472","1,153,332","1,148,436","1,116,931","1,003,823","1,370,777","1,536,520","1,192,845","2,478,802","2,301,740","1,824,693","2,385,387","1,963,702.05","1,164,902","920,715",1054735.336,1585598.313,"1,012,278,039",1012278.039,2109018.435,2114966.127,1473417.749,1923028.127,1830950.659,2702994.416,2268822.498,2654928.669,2656555.26,2174199.641,4209802.498,8952067.672,6602897.136,,,,
total assets,,,,,,,,,,,,,,"20,180,351","19,601,491","20,317,119","20,601,262","21,454,176","23,084,539","24,178,104","25,615,166","26,417,638","27,403,974","27,937,617","28,973,041","29,676,201","31,338,482","31,916,218","31,932,433","34,068,956","34,375,221","35,789,691","38,186,723","39,297,809","39,601,255","39,933,760","43,041,775","46,112,797","46,932,977","45,714,495","62,639,263","66,013,600","68,389,870","74,476,420","100,289,643.74","87,305,831","88,867,223",92590817.72,100289643.7,"110,103,984,663",110103984.7,124415905.4,153916672.2,162031072.2,168123087.7,183906017.1,199752350.7,201720187,203656636,207681515.1,211131474.5,214566486.2,371182706.5,369838666.6,,,,
loan and advancements,,,,,,,,,,,,,,"14,855,630","14,935,380","15,113,710","14,666,309","15,569,380","16,211,290","16,822,933","17,877,540","19,015,383","19,175,278","19,761,617","20,119,789","20,864,133","21,510,540","22,331,275","22,808,503","23,846,139","25,289,247","26,699,294","27,070,390","27,467,481","27,505,974","28,695,897","30,111,445","32,411,102","33,659,893","34,486,276","45,195,171","47,471,234","50,924,405","56,849,368",62375510.4,"67,824,218","70,772,203",72239404.3,76186364.69,80567642257,80567642.26,92756722.13,114888918.6,115194086,119968046.7,134734347.4,143122253.4,157381204.8,161801337.5,161650428.4,159216074.8,161457624.7,285230842.1,285777054.2,,,,
interest income,,,,,,,,,,,,,,"495,643","1,067,297","456,470","2,251,469","557,249","1,129,900","1,740,570","2,441,571","603,838","1,175,406","1,788,145","2,464,307","583,183","1,167,345","1,779,860","2,410,762","545,070","1,148,213","1,742,797","2,405,354","607,161","1,271,620","1,897,429","2,692,489","674,901","1,441,067","2,334,466","3,596,442","1,416,602","2,932,188","4,686,942",2068916.088,"2,247,788","4,429,156",2305744.112,2487901.552,"2,638,781,580",2638781.58,2710886.991,2685956.378,3327685.069,3065698.21,3116373.113,3417012.779,3749785.761,4148084.416,4954961.35,5700131.836,5935386.698,6884176.645,10311551.08,,,,
interest expense,,,,,,,,,,,,,,"397,438","777,794","1,159,497","1,566,552","390,412","795,060","1,193,633","1,622,492","392,036","743,917","1,094,530","1,486,282","425,549","815,550","1,192,733","1,575,312","365,292","714,103","1,072,107","1,507,365","429,247","806,914","1,146,949","1,517,056","412,377","886,024","1,520,680","3,596,442","1,059,856","2,110,517","3,345,250","1,426,083.72","1,419,599","2,891,607",1589714.008,1694248.122,"1,714,743,951",1714743.951,1775951.286,1803499.357,2010173.303,1869409.522,1786366.341,2007253.008,2458175.205,2803666.306,3143574.215,3732388.715,3951477.921,4599377.586,7055107.49,,,,
