Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,"410,399","255,683","268,797",281830,272755,390325,430871,531846,"634,979",904568,633716,"745,552",871090,"1,231,563","716,255",856781,"976,833","1,110,021","2,085,017","2,431,693","2,536,484",4196960,"4,634,512","4,070,986","4,437,572","4,769,307","9,341,777","9,162,112","8,848,972","8,932,320","9,379,327","2,451,341","3,547,043","4,738,877","5,280,661","6,365,740","5,873,676","5,460,741","5,191,165","4,549,537","5,474,935","5,443,141","5,334,258","5,517,827","6,587,714","7,006,381","7,731,022","8,095,154",,,,
debenture and bond,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500000,"500,000","500,000","500,000",500000,"500,000",500000,"500,000",500000,500000,"500,000","500,000","500,000","500,000",500000,500000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
borrowings,,,,,,,,,,,,,,,,,497200,"10,000",-,-,-,-,-,100000,-,-,-,"100,000",-,-,-,70000,"438,000",-,-,"773,013","2,148,503",1531657,"1,140,337","2,474,370","2,351,489","4,057,788","1,879,502","2,400,977","2,344,056","7,067,635","6,795,532","2,937,060","3,758,194","355,867","615,885","322,729","274,129","389,009","35,796","2,804,148","4,862,876","1,982,847","632,470","2,646,293","5,790,718","3,067,191","2,219,552","1,543,983",,,,
deposits,,,,,,,,,,,,,,,,,12799494,13460620,"14,129,405",14913361,15965434,15957123,17049764,19492079,"21,949,115",20016500,22093653,"23,954,389",26271819,"25,554,185","28,988,050",33401578,"35,361,443","36,461,852","50,368,320","57,560,043","64,941,496",65585352,"67,725,304","70,657,334","72,315,155","72,001,150","80,954,914","85,761,770","85,045,772","86,484,363","88,773,299","94,766,302","99,210,426","123,504,238","127,916,039","130,329,335","133,248,271","142,193,605","144,361,328","157,299,463","166,165,008","175,453,447","183,817,071","187,234,974","186,883,072","182,190,322","193,730,976","198,957,049",,,,
income tax liability,,,,,,,,,,,,,,,,,-,18391,26060,32034,27934,42785,75126,117819,"117,819",45237,6320,6320,6320,14477,14477,14477,24136,24439,28181,30610,33843,-,-,52889,51424,"72,143",80399,87325,"83,744",-,-,725911,1023404,92222,33902,72023,53565,284472,150264,232561,"23,026",368831,67927,"29,154",169062,397733,179735,294934,,,,
other liabilities,,,,,,,,,,,,,,,,,422460,604469,"871,407",629401,780158,676394,834595,956830,"316,378",2091107,1790012,1671071,1466847,2310320,"404,409",478771,"3,404,642","784,143","23,991,218","1,045,157","995,902",1518986,"6,507,410","13,211,936","1,868,688","1,928,181","3,382,532","3,406,483","3,278,549","3,229,120","4,519,412","4,840,359","2,185,565","3,082,705","2,313,532","3,595,581","3,388,690","2,980,577","2,902,418","3,517,226","3,934,459","3,957,051","4,148,274","4,741,729","6,598,545","5,718,204","6,354,844","5,816,990",,,,
total assets,,,,,,,,,,,,,,,,,"16,129,553","16,349,165","17,115,744",17856626,19046281,19066627,20390356,23198574,"25,134,941",25057413,26523701,"28,377,332",30616076,"30,217,350","32,570,030",37721608,43105055,"41,280,455","82,035,745","66,527,488","75,682,182",78763017,"86,438,067","97,510,838","88,093,203","89,901,790","98,716,405","104,648,608","107,827,487","115,091,546","118,838,276","138,754,159","139,615,339","172,142,811","177,864,705","180,019,938","183,277,942","192,100,723","205,398,067","227,951,214","236,360,107","240,742,615","249,842,300","252,293,762","261,346,541","265,093,498","274,726,323","279,784,079",,,,
loan and advancements,,,,,,,,,,,,,,,,,11343092,11429933,"14,429,333",12356273,12468479,14295718,14771461,15894233,"15,894,233",16187398,17413134,19603616,20467041,"21,167,598","21,116,511",26587254,"27,288,891","27,652,154","43,362,120","49,083,045","93,001,774",56060407,"59,979,361","61,620,005","62,716,177","64,430,302","72,550,081","75,750,859","77,313,408","84,452,778",87130580,92607093,94296896,117113456,121370466,123294234,123050641,136157681,146587863,157829600,160304892,175928112,182657897,188535483,186298831,190171835,194366712,196456468,,,,
interest income,,,,,,,,,,,,,,,,,1492385,"418,249","536,388",1265179,1720201,436179,862062,1329677,"1,837,998",482113,976796,"1,484,660",2014295,"577,541","1,074,672",1665759,"2,329,233","640,286","2,563,140","2,899,893","4,178,700",1274777,"2,695,213","4,392,378","6,364,668","2,050,561","4,252,557","445,270,047","9,197,319","2,713,162","5,481,040","2,901,096","3,179,634","3,377,895","3,924,125","4,005,522","3,692,634","3,651,656","3,551,065","3,691,424","3,811,826","4,135,640","4,451,531","5,305,719","6,272,331","6,549,455","6,848,428","7,027,842",,,,
interest expense,,,,,,,,,,,,,,,,,1048253,"319,313","319,319",940512,1255186,265766,506414,766953,"1,075,648",307979,606983,"902,911",1205082,"319,313","552,325",883029,"1,341,441","393,035","1,757,050","1,460,704","2,072,152",641485,"1,353,707","2,387,634","3,576,452","1,372,525","2,751,265","443,005,376","6,004,379","1,679,211","3,365,508","1,735,396","1,923,038","2,075,836","2,313,278","2,355,137","2,404,390","2,191,480","1,910,249","2,108,707","2,297,990","2,569,813","3,021,594","3,470,879","4,023,750","4,373,563","4,523,748","4,696,073",,,,
