Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"419,775","178,886",256390,476296,705392,909087,177743,366323,554723,1412287,1892548,2064590,2837160,3112685,3410230,3429864,4965829,,3706749.943,"3,878,366","4,392,132","3,854,931","4,533,724","4,181,191","4,304,612","4,186,130","4,273,538","4,457,816","4,717,543","4,883,354","5,385,874","5,610,378","6,070,830","9,079,770","10,269,584",,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"328,406","19,440",19399,24831,"8,700","47,453","24,383","15,243","20,529","51,860",76497,"252,387","1,223,501",1042875,"1,353,861","702,209",2244525,,-,"1,100,399",-,-,-,"495,180","5,180","85,693","201,400","219,720","714,900",-,-,-,-,"1,300,000","1,300,000",,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,676,480","33,160,326",36571329,42145236,"45,667,823",47981888,54542498,"60,940,868",65296259,70216567,71602950,"81,291,139","82,757,069",85993221,"87,602,624","97,141,898",102990463,,107435341.3,"112,329,446","106,462,253","115,493,058","118,049,177","128,447,657","133,275,976","161,918,136","163,756,413","164,759,895","165,436,085","163,593,433","166,983,764","178,637,989","170,288,650","270,475,665","277,119,785",,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"96,468",17316,-,-,-,-,-,-,-,-,-,556,151,1887,2371,-,,420319.487,"417,761","214,926","28,535","217,008","14,954","161,901","195,074","274,905",-,98658,182667,97716,68335,"415,155",-,-,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,658,690","3,280,771",3498941,2784798,2807741,"2,805,352","5,923,638","5,476,191","5,427,949","4,831,738",4424573,"4,386,269","4,153,933",4369279,"4,203,012","5,249,305",2621831,,3825477.23,"4,743,989","5,076,253","4,076,495","6,442,793","4,370,236","4,026,763","4,245,965","4,823,165","5,535,052","6,149,308","4,400,898","4,800,808","5,984,675","6,550,543","11,053,238","9,208,342",,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,452,687","39,944,775",43572259,48640677,52398542,54952665,65552401,72680028,77180862,82393853,83887971,93922630,96955836,101159887,104683763,"114,870,697",121056607,,126814953.9,"134,080,744","144,270,349","144,835,972","150,779,461","168,341,140","178,097,996","209,065,216","213,759,009","217,330,629","215,890,510","220,078,551","225,324,327","232,830,400","225,070,942","344,471,063","342,766,966",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,978,538","27,202,700",28678202,29704724,"30,034,975",31795653,44357408,"48,212,758",51745689,56529040,59594614,"61,979,529","66,767,951",71637856,"73,070,388","75,980,565",86018093,,89936760.24,90347750,95781128,98498319,102972587,103589769,119006909,129764251,142397610,142556011,146926983,149788964,150642518,152575013,156960367,253076639,249750519,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"609,495","1,359,425","2,054,550","2,813,459","785,734","1,529,773","2,425,073","3,590,924","957,769","2,435,018","3,758,041","5,492,530","1,856,244","3,813,852","5,838,816","8,411,243","2,673,578",,2796441.32,"2,918,383","3,140,490","2,853,626","2,961,880","2,972,539","3,399,065","3,085,837","3,192,991","3,247,379","3,676,353","3,999,789","4,490,666","5,290,376","5,756,359","5,441,444","9,409,432",,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"362,373","668,044",985491,1270986,"440,890","822,443","1,202,829","1,622,497","489,551","992,312",1806363,"2,950,338","1,341,974",2604509,"3,931,671","5,419,739","1,536,342",,1568438.303,"1,724,641","1,731,986","1,800,716","1,820,142","1,921,624","1,702,681","2,073,989","2,050,382","2,048,511","2,245,361","2,590,610","2,982,864","3,420,075","3,770,425","3,992,673","6,101,125",,,,
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"247,122","691,381",1069059,1542473,"344,844","707,330","1,222,244","1,968,427","468,218","1,442,706",1951678,"2,542,192",514270,1209343,1907145,2991504,1137236,,1228003.017,"1,193,742","1,408,504","1,052,910","1,141,738","1,050,915","1,696,384","1,011,848","1,142,609","1,198,868","1,430,992","1,409,179","1,507,802","1,870,301","1,985,934","1,448,771","3,308,307",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,074","34,102",51649,70339,16944,40861,72752,108963,48731,86991,128546,191928,76892,122626,182981,241878,186218,,122650.668,"177,688","243,315","198,188","142,057","124,811","318,515","263,460","238,811","254,517","425,908","298,774","234,617","418,045","467,529","313,614","386,904",,,,
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"329,726","858,114",1332231,1891556,"456,737","928,705","1,582,841","2,524,295","660,848","1,820,226",2534104,"3,380,176","770,060",1677975,"2,623,211","3,983,349",1462116,,1516788.345,"1,553,774","1,820,489","1,414,069","1,463,832","1,269,309","2,367,158","1,972,996","1,854,810","1,541,633","1,923,669","1,878,890","1,805,708","2,297,719","2,513,002","1,972,848","3,802,447",,,,
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,220","267,835",393219,495229,164580,293312,450125,703683,205726,366051,533920,"820,012","264,069",479556,"759,172","1,145,688",440770,,451386.555,"544,823","571,285","436,149","534,782","561,187","763,011","556,089","581,571","629,735","864,515","613,147","675,763","773,965","851,693","716,745","956,402",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"323,130","152,697",83531,183939,159019,319844,526368,876204,199673,934476,1172608,1391011,238438,595862,970676,1391677,818956,,605147.878,"781,077","890,918","616,566","583,784","12,320","1,267,976","1,308,803","1,170,375","78,793","842,318","1,033,294","615,186","1,250,343","1,016,608","693,309","1,081,506",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,463","33,184",33101,24787,52,"63,703","96,433","1,125,182","2,178","35,291",38665,"41,570","8,541",12871,"29,926","28,638",-,,5615.998,-1999,48,-16702,-9940,1104,-68828,-25,466,-79018,307,-27167,-4045,"-74,944",-2665,-19496,-19139,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116,832","540,211",694450,1035967,"261,701","405,644","757,830","1,147,840","282,464","1,112,328",1445860,"1,765,423","251,590",634962,"867,224","1,132,849",599701,,414657.901,"602,911","628,419","459,642","383,011","95,564","861,404","959,251","884,510","109,592","624,329","658,106","442,021","803,698","696,180","553,964","758,155",,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27%,11.14,10.94,11.2,10.66,10.55,10.79,12.13,10.51,11.1,11.06,11.05,11.02,11.24,12.68,12.66,11.78,,11.44,11.58%,11.03%,11.90%,11.56%,11.59%,11.63%,11.40%,11.53,13.07%,12.92%,12.89%,13.08%,13.16%,12.67%,12.84%,11.63%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65,10.86,10.78,7.39,5.71,5.53,10.04,8.38,7.54,4.88,4.32,4.29,4.23,4.12,3.9,3.55,2.51,,2.42,2.31,3.32%,3.12%,2.95%,2.81,2.67,2.06,1.48,1.68,1.61%,1.23%,1.21%,1.20%,1.68%,1.98%,3.48%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.85%,91.25%,85.04,89.55,99.86,99.65,102.09,101.56,101.47,105.11,107.27,94.14,89.06,79.63,75.53,92.81,113.87,,130.79,122.54%,96.54%,103.05%,106.89%,112.60%,114.64%,126.14,147.41,153.53,148.96%,189.84%,199.47%,220.42%,135.74%,153.53%,101.99%,,,,
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23%,3.98%,4.18,4.14,4.14,3.66,3.57,3.28,3.05,3.1,3.65,4.33,6.55,6.38,6.39,6.41,6.18,,6.18,6.16,6.15,6.29,6.18,6.06,4.89,5.01,4.96,4.7,5.23,6.16,6.77,6.44,7.58,8.6,8.4,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22%,7.79%,7.95,7.63,7.7,6.6,6.04,6.31,6.07,6.35,8.26,10.51,9.8,9.71,10.17,10.62,9.49,,9.16%,9.36%,9.24%,9.45%,8.98%,8.32,7.39%,7.24%,7.06,6.88,7.63%,8.68%,9.29%,9.24%,10.51%,11.44%,11.07%,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14%,5.46%,5.14,4.84,4.57,5.27,5.78,5.09,4.83,4.87,3.74,3.27,3.83,4.1,4.41,4.72,,,4.88,4.7,5.15,4.83,5.32,3.57,4.37,3.64,3.5,3.65,3.38,3.27,3.87,4.32,3.98,4.34,5.16,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,,,220,187,241,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19%,15.95%,20.04,28.11,6.69,9.85,19.96,18.37,17.55,30.5,24.8,22.22,11.54,13.17,10.13,9.69,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.35,1.59,2.13,0.5,0.74,1.54,1.58,1.46,2.7,2.3,1.88,1.04,1.26,1.11,0.98,1.98,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.24%,76.97%,73.95,66.09,61.63,62.33,76.39,73.54,74.02,75.1,71.81,71.1,75.05,75.24,74.49,69,75.68,,75.82%,74.25%,77.81%,74.70%,73.74%,66.96,72.79%,66.43%,74.42,73.21,82.64%,81.90%,82.11%,78.35%,84.32%,88.30%,84.80%,,,,
