Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,"924,913","1,040,176","793,653","888,421","891,429","791,485","955,844","1,103,455","1,199,440","981,028","1,047,069","1,203,692","1,370,300","1,223,576","1,391,129","1,617,711","1,371,549","1,607,795","1,823,465","2,071,736","2,327,943","2,284,798","2,393,823","2,631,312","2,933,382","3,255,238","2,712,480","3,094,174","3,448,585","3,852,966","3,114,233","3,525,065","4,366,274","3,709,644",,"4,744,607","5,286,255","4,499,689",3571663.272,3832654.137,3869090.104,4117099.003,,4387774.452,4594494.176,4847588.421,4820992.003,5008808.748,5391380.666,5584765.684,5528316.046,5851124.801,6199940.299,6434445.497,6799140.938,,,,
debenture and bond,,,,,,,,,,"200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","600,000","600,000","600,000","600,000","1,000,000","800,000","800,000","800,000","800,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000",1000000,"1,000,000",,"1,000,000","1,000,000","1,000,000",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,
borrowings,,,,,,,,,,"1,421,099","2,668,659","1,518,054","108,174",-,"130,426","370,965",-,-,-,-,-,"1,750,027",-,"4,375",-,-,"28,313","7,552",-,"702,778",-,"30,017",-,"403,038","3,168,855","2,500,400","4,184,700","5,807,200","8,584,160","4,843,350","5,309,655",5668000,"4,324,000",,"2,709,590","2,510,080","2,662,550",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,
deposits,,,,,,,,,,"29,442,188","28,882,481","31,355,709","34,896,424","38,744,164","39,801,807","40,492,187","42,415,443","46,117,245","50,753,565","52,234,858","53,337,264","51,697,952","54,099,710","53,667,025","58,920,456","56,373,068","56,445,871","51,436,871","54,492,994","55,066,641","57,258,331","54,773,623","51,628,222","53,953,575","58,359,796","63,416,783","65,113,317","68,797,453","77,504,132","85,372,230","81,566,093","86,513,072","85,061,910",,"84,025,321","94,276,139","97,643,039",99886806.46,97673629.51,99503824.93,104441032.4,,110236300.5,112151849.6,103069947.9,100986167,106053882,108552189.5,112644558.6,114335299.1,119451954.7,127158417.8,133700519.7,140080788.5,,,,
income tax liability,,,,,,,,,,"35,968",-,-,-,-,-,-,-,-,-,-,-,"72,812.18",51179,-,-,57168,-,-,-,50486,-,-,-,94285,-,-,-,73829,-,-,-,-,-,,332,-,-,136.692,27.502,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,
other liabilities,,,,,,,,,,"389,828","821,933",915721,"923,367","1,424,806","1,097,739","1,129,575","500,032","622,951","918,032","539,528","816,177",784646,"641,272","1,186,250","1,100,059","1,375,824",950037,"1,742,882","868,037","1,013,651",912067,"1,051,822","959,697","1,221,713","1,136,041","1,548,781","1,159,460","1,283,809",2053233,"1,571,888","1,426,665","1,453,946","1,395,958",,"1,797,033","1,909,725","2,782,879",2611801.52,2361702.652,2369360.577,2632309.064,,2271950.728,2156888.372,3036027.682,2280200.664,2648498.613,3293324.801,2650325.475,2549425.269,3985378.998,4174210.795,4735575.711,3837460.197,,,,
total assets,,,,,,,,,,"33,288,525","34,487,777","36,436,760","38,670,010","42,914,023","43,882,781","45,017,875","46,088,234","50,008,939","54,955,592","56,515,445","58,051,122","58,369,726","58,971,475","59,604,517","64,793,964","62,627,815","62,482,222","58,460,976","61,082,973","62,811,705","64,513,255","62,307,344","59,277,291","62,664,052","69,977,989","75,062,180","78,435,387","84,294,612","96,878,227","100,881,557","99,752,371","105,973,090","103,538,417",,"102,323,788","113,029,104","117,037,408",119812004.5,118142021.8,122779516.4,126691761.1,,132212154.4,136731828.5,134259083.7,136145466.5,137572237.2,141985003,146926878.4,151236003.8,152897264.2,162331185.8,168566797.4,177559164.3,,,,
loan and advancements,,,,,,,,,,"16,054,679","18,426,314","17,760,741","18,031,772","18,952,687","19,926,161","21,390,418","21,365,771","21,117,826","22,831,194","25,025,655","26,142,094","27,976,206","28,096,357","28,550,425","28,788,147","30,052,657","32,325,616","33,592,705","35,279,583","37,211,127","38,941,956","39,749,865","39,979,173","39,854,032","41,818,188","46,204,589","46,995,416","52,378,948","59,772,328","61,715,242","63,025,023","68,170,343","71,341,293",,"74,502,222","84,625,841","90,923,707",90758043.23,88558971.13,95647273.2,98908301.56,,94435193.01,92060201.22,93994667.56,102849085.4,101417369.1,110621337.1,114132136.1,113872413.3,110517755.2,117287588.2,125891728.2,125439405.8,,,,
interest income,,,,,,,,,,"473,296","976,422","1,577,045","2,269,779","665,555","1,390,689","2,193,717","3,104,231","860,048","1,748,916","2,688,579","3,767,515","1,041,132","2,049,520","3,049,766","4,110,514","1,019,498","2,031,615","3,006,937","3,976,648","955,839","1,898,374","2,845,667","3,821,326","967,001","1,917,785","2,888,449","3,981,262","1,153,764","2,449,199","4,034,770","5,911,370","2,078,731","4,244,967",,"8,990,620","2,630,642","5,362,495",2807899.853,3149612.35,2857806.361,2858600.98,,3079202.099,2456530.795,2078055.614,2094722.849,2373434.073,2414227.498,2704268.084,3253536.055,3993332.395,3969271.725,4255491.313,4586193.188,,,,
interest expense,,,,,,,,,,"299,832","618,175","994,788","1,452,701","473,959","985,497","1,512,381","2,096,038","614,002","1,278,747","1,993,419","2,770,799","674,050","1,280,110","1,863,342","2,486,979","620,858","1,198,181","1,730,581","2,231,604","487,196","931,311","1,341,132","1,773,842","400,031","776,328","1,149,165","1,564,730","460,349","996,409","1,835,601","2,989,082","1,174,544","2,355,467",,"4,911,242","1,565,155","3,163,516",1634237.6,1754090.598,1816635.882,1787694.219,,1963980.994,1852773.761,1491673.776,1312643.239,1460465.749,1564902.094,1830312.182,2107417.683,2433638.229,2664697.947,2873611.437,3121424.4,,,,
