Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,"42,209,189","43,205,466","46,840,364","49,147,657",,"51,976,282","56,518,986","57,179,198","56,944,600","60,236,671","66,545,726","67,011,138","68,498,053","72,175,693","71,323,363",,"85,164,098","86,533,073","100,033,860",,,,,,,,,,,,"146,162,965",,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital *,,,,,,,,,,,,,,,"1,279,607","1,279,607",,"1,391,570",,"1,391,570","1,391,636","1,761,126","1,761,126","1,761,126","1,761,126","1,921,239","1,921,239","1,921,239","1,921,239",,"2,137,388","2,137,388","2,137,388",,,,,,,,,,,,"8,106,863",,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,"1,909,350","2,177,952",,"1,966,602",,"2,508,390","2,805,114","2,743,823","3,058,640","3,450,511","3,875,708","3,257,700","3,585,724","3,987,554","4,447,904",,"4,090,986","4,513,643","4,885,712",,,,,,,,,,,,"7,805,466",,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,"300,000","300,000",,"300,000",,"300,000",,,,,"468,845","468,845","468,845","468,845","468,845",,"468,845","468,845","1,068,845",,,,,,,,,,,,"1,068,845",,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,"82,250",,,,,"402,360",,,,,,,,,,,,,,,,,,,,"26,713",,,,,,,,,,,,,,,,"2,556,000","81,000","46,000","66,000",,,,
Deposits,,,,,,,,,,,,,,,79.70%,76.34%,,70.62%,,,32.86,32.01,24.7,25.98,30.84,29.3,24.83,24.92,25.31,,34.7,37.86,40.56,,,,,,,,,,,,"4,608,136",,,,,,,"140,062,709",,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,"36,322,188","37,531,946",.,"42,903,446",,"44,225,950","47,671,249","48,147,626","46,648,760","46,924,147","54,228,551","54,232,407","54,279,939","57,099,987","56,337,892",,"61,605,618","63,319,957","70,962,372",.,,,,,,,,,,,"106,227,483",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,"817,340","700,909",,"1,052,423",,"1,757,058","2,334,852","1,903,234","2,573,987","4,369,294","3,491,914","4,460,869","5,642,343","5,664,397","5,770,244",,"8,414,175","7,736,871","12,131,418",,,,,,,,,,,,"8,624,979",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,"22,634","17,749",,"103,570",,"86,985","9,297","139,579","64,113","71,916","23,933","174,236","18,942","9,000",,,"31,222","57,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,"1,558,070","1,197,304","1,279,609","1,430,046",,"1,798,049","2,306,839","2,483,810","2,837,975","3,659,677","2,293,289","2,495,841","2,581,020","3,042,672","2,377,239",,"8,415,865","8,414,183","8,848,125",,,,,,,,,,,,"14,302,616",,,"4,150,457","7,373,410","12,826,435","7,881,768","24,528,862",,"13,695,008","3,106,330","1,702,907","6,650,662","15,414,875","8,900,361","7,201,257","5,880,840","13,347,452","13,570,900","3,666,825",,,,
