Particulars, Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,"39,028,477",,"38,974,189","41,982,805","42,242,959","42,209,189","43,205,466","46,840,364","49,147,657","50,320,056","51,976,282","56,518,986","57,179,198","56,944,600","60,236,671","66,545,726","67,011,138","68,498,053","72,175,693","71,323,363",,"85,164,098","86,533,073","100,033,860",,"94,644,424","97,867,615","114,841,637","109,780,409","112,657,152","114,031,664","117,507,740","123,176,848","134,930,717",,"146,162,965","145,562,639","160,716,612",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,"1,556,878",,"1,686,878","1,909,350","2,177,952",,"1,966,602","2,209,004","2,508,390","2,805,114","2,743,823","3,058,640","3,450,511","3,875,708","3,257,700","3,585,724","3,987,554","4,447,904",,"4,090,986","4,513,643","4,885,712",,"4,901,548","5,086,835",,"6,383,001","4,607,236","5,433,543","5,883,759","6,678,253","5,190,410",,"7,805,466",,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,"300,000",,"1,300,000","500,000","300,000","300,000","300,000",,"300,000","300,000","300,000",,,,,"468,845","468,845","468,845","468,845","468,845",,"468,845","468,845","1,068,845",,"1,060,045","468,845","1,060,045","1,060,045","1,068,844","1,068,845","1,068,845","1,068,845","1,068,845",,"1,068,845",,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,"318,800","404,600","404,600",,,,,,"82,250",,,,,"402,360",,,,,,,,,,,,"2,500","5,000","7,500","12,500","12,500","16,676","23,176",,"26,713","745,359","762,497",,,,,,,,,,,,,,"2,556,000","81,000","46,000","66,000",,,,
Deposits,,,,,,,,,,"33,457,506",,"34,333,197","36,932,310","37,101,355",79.70%,76.34%,,70.62%,"45,066,483",,32.86,32.01,24.7,25.98,30.84,29.3,24.83,24.92,25.31,,34.7,37.86,40.56,,"76,045,765","79,818,425","93,735,481","89,155,098","90,436,607","92,811,441","95,094,461","99,371,205","103,299,183",,"4,608,136","120,339,181","124,177,926",,,,,"140,062,709",,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,"33,457,506",,"33,555,703","35,009,777","36,822,260","36,322,188","37,531,946",.,"42,903,446","44,132,225","44,225,950","47,671,249","48,147,626","46,648,760","46,924,147","54,228,551","54,232,407","54,279,939","57,099,987","56,337,892",,"61,605,618","63,319,957","70,962,372",.,"74,040,764","77,320,877","61,025,542","80,615,270","84,194,931","86,195,606","89,015,404","92,347,331","96,300,730",,"106,227,483",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,"33,179",,"777,494","1,922,533","279,095","817,340","700,909",,"1,052,423","934,258","1,757,058","2,334,852","1,903,234","2,573,987","4,369,294","3,491,914","4,460,869","5,642,343","5,664,397","5,770,244",,"8,414,175","7,736,871","12,131,418",,"8,204,801",,"32,709,939","8,541,821","6,312,376","6,615,835","6,079,058","7,023,874","6,998,454",,"8,624,979",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,"20,012",,"11,130","22,634","17,749",,"103,570","27,845","86,985","9,297","139,579","64,113","71,916","23,933","174,236","18,942","9,000",,,"31,222","57,813",,,"54,402","39,333","39,333","197,403","6,440","13,803","13,803","214,276","70,622",,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,"1,861,766",,"1,484,883","1,587,894","1,382,810","1,558,070","1,197,304","1,279,609","1,430,046","1,380,843","1,798,049","2,306,839","2,483,810","2,837,975","3,659,677","2,293,289","2,495,841","2,581,020","3,042,672","2,377,239",,"8,415,865","8,414,183","8,848,125",,"9,831,260","8,841,583","11,422,593","10,220,450","11,652,097","10,085,105","9,707,079","9,712,359","17,171,618",,"14,302,616",,,"4,150,457","7,373,410","12,826,435","7,881,768","24,528,862",,"13,695,008","3,106,330","1,702,907","6,650,662","15,414,875","8,900,361","7,201,257","5,880,840","13,347,452","13,570,900","3,666,825",,,,
Cash and Bank Balance,,,,,,,,,,,,,,,"2,711,925","3,789,249",,"7,548,917",,"6,661,011","10,363,306","9,328,139","4,665,162","4,416,042","11,215,794","8,329,974","7,544,821","7,968,553","13,172,783",,"14,537,733","15,767,938","25,116,482",,,,,,,,,,,,"28,036,598",,,,,,,,,,,,,,,,,,,,,,,
