Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Average Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74%,9.74%,,,8.40,8.50,8.84,8.32,7.56,7.21,,8.46,10.23,,10.28,10.71,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22%,7.79%,,,7.70,6.60,6.04,6.31,6.07,6.35,,10.51,9.80,,10.17,10.62,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"328,406","19,440",,,"8,700","47,453","24,383","15,243","20,529","51,860",,"252,387","1,223,501",,"1,353,861","702,209",,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"831,604","722,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27%,11.14,,,10.66,10.55,10.79,12.13,10.51,11.10,,11.05,11.02,,12.68,12.66,,,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,844,604","4,761,990",,,"5,225,719","7,682,409","8,537,518","12,377,709","9,917,131","9,004,965",,"13,510,046","8,840,355",,"10,055,351","10,823,478",,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23%,3.98%,,,4.14,3.66,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.63,62.33,76.39,73.54,74.02,75.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.24%,76.97%,,,,,,,,,,71.10,75.05,,74.49,69.00,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.24%,76.97%,,,"45,667,823",,,"60,940,868",,,,"81,291,139","82,757,069",,"87,602,624","97,141,898",,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,480,396","32,079,333",,,"45,102,261","47,206,195","53,055,958","59,434,502","65,296,259","68,599,095",,"79,699,038","81,158,408",,"85,647,633","95,755,314",,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"467,356",45,525,"38,606","26,107","266,910",,"349,352",,,"385,957","393,556",,,,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,074","34,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,604,429","1,578,827",,,"1,723,394","1,613,137","2,168,599","2,136,067","2,118,323","2,096,700",,"2,163,027","2,150,761",,"2,116,125","2,129,433",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196,085","1,080,993",,,"565,562","775,693","1,486,540","1,506,367","1,036,965","1,617,472",,"1,592,102","1,598,662",,"1,954,991","1,386,584",,,,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,129","38,245",,,,,,,,,,"190,461","71,350",,"175,026","258,614",,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,999",,"184,885","185,190",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"362,373","668,044",,,"440,890","822,443","1,202,829","1,622,497","489,551","992,312",,"2,950,338","1,341,974",,"3,931,671","5,419,739","81,154",,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"609,496","691,381",,,"785,735","1,529,773","2,425,073","3,590,924","957,768","2,435,018",,"5,492,530","1,856,244",,"3,838,816","8,411,243","51,695",,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,406,189","2,861,892",,,"10,902,464","8,911,214","5,811,373","5,660,578","7,965,916","7,575,574",,"11,719,177","12,914,951",,"11,724,791","18,053,574",,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,978,538","27,202,700",,,"30,034,975",,,"48,212,758",,,,"61,979,529","66,767,951",,"73,070,388","75,980,565",,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"772,072","972,268",,,"847,547","1,034,715","1,892,088","2,207,132","2,109,426","2,099,354",,"2,361,264","2,343,321",,"2,346,048","2,388,587",,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750,000","1,007,508",,,"1,800,000","1,870,000","1,050,000","1,750,000","2,390,000","3,509,100",,"900,000","300,000",,"1,500,000","1,600,000",,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"691,381",,,"344,844","707,330","1,222,244","1,968,427","468,218","1,442,706",,"2,542,192",3.13.2,,3.13.2,3.13.2,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14%,5.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"540,211",,,"261,701","405,644","757,830","1,147,840","282,464","1,112,328",,"1,765,423","251,590",,"867,224","1,132,849",,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,463","33,184",,,"247,711","63,703","96,433","1,125,182","2,178","35,291",,"41,570","8,541",,"29,926","28,638",,,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65%,10.86%,,,4.2,5.53,10.04,8.38,7.54,4.88,,4.29,4.23,,3.90,3.55,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"352,045",,,"167,558","373,567","715,402","1,146,862","300,041","1,119,783",,"1,740,910","349,594",,"1,314,635","1,945,587",,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,868,926","2,440,217",,,"2,605,274","2,947,160","3,503,031","2,424,226","2,925,111","3,100,408",,"3,132,551","5,499,927",,"5,734,196","5,815,117",,,,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,658,690","3,280,771",,,,"2,805,352","5,923,638","5,476,191","5,427,949","4,831,738",,"4,386,269","4,153,933",,"4,203,012","5,249,305",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,742","238,234",,,,,,,,,,"819,254","156,396",,"549,404","892,074",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,401","94,386",,,,,,,,,,"455,596","107,547",,"358,059","491,353",,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,198,077","949,896",,,,,,,,,,,"3,496,814",,"3,690,894","3,426,483",,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,742","238,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
