,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,854,931","4,533,724","4,181,191","4,304,612",,,"4,457,816","4,717,543","4,883,354","5,385,874","5,610,378","6,070,830","9,079,770","10,269,584",,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"328,406","19,440",,,"8,700","47,453","24,383","15,243","20,529","51,860",,"252,387","1,223,501",,"1,353,861","702,209",,,,"1,100,399",,,,"495,180","5,180","85,693","201,400","219,720","714,900",,,,,"1,300,000","1,300,000",,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.24%,76.97%,,,"45,667,823",,,"60,940,868",,,,"81,291,139","82,757,069",,"87,602,624","97,141,898",,,,,,,,,,,,,,,,,,,,,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,658,690","3,280,771",,,,"2,805,352","5,923,638","5,476,191","5,427,949","4,831,738",,"4,386,269","4,153,933",,"4,203,012","5,249,305",,,"3,825,477,230","4,743,989","5,076,253","4,076,495","6,442,793","4,370,236","4,026,763","4,245,965","4,823,165","5,535,052","6,149,308","4,400,898","4,800,808","5,984,675","6,550,543","11,053,238","9,208,342",,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,452,687","39,944,775",,,,,,,,,,,,,,"114,870,697",,,"126,814,953,879","134,080,744","144,270,349","144,835,972","150,779,461","168,341,140","178,097,996","209,065,216","213,759,009","217,330,629","215,890,510","220,078,551","225,324,327","232,830,400","225,070,942","344,471,063","342,766,966",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"609,496","691,381",,,"785,735","1,529,773","2,425,073","3,590,924","957,768","2,435,018",,"5,492,530","1,856,244",,"3,838,816","8,411,243","51,695",,"2,796,441,320","2,918,384","3,140,489","2,853,626","2,961,880","2,972,539","3,399,065","3,085,837","3,192,991","3,247,379","3,676,353","3,999,790","4,490,666","5,290,376","5,756,359","5,441,444","9,409,432",,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"362,373","668,044",,,"440,890","822,443","1,202,829","1,622,497","489,551","992,312",,"2,950,338","1,341,974",,"3,931,671","5,419,739","81,154",,"1,568,438,303","1,724,641","1,731,986","1,800,716","1,820,142","1,921,624","1,702,681","2,073,989","2,050,382","2,048,511","2,245,361","2,590,610","2,982,864","3,420,075","3,770,425","3,992,673","6,101,125",,,,
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"691,381",,,"344,844","707,330","1,222,244","1,968,427","468,218","1,442,706",,"2,542,192",3.13.2,,3.13.2,3.13.2,,,"1,228,003,017","1,193,742","1,408,504","1,052,910","1,141,738","1,050,915","1,696,384","1,011,848","1,142,609","1,198,868","1,430,992","1,409,179","1,507,802","1,870,301","1,985,934","1,448,771","3,308,307",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"858,114",,,"456,737","928,705","1,582,841","2,524,295","660,848","1,820,226",,"3,380,176","770,060",,"2,623,211","3,983,349",,,"1,516,788,345","1,553,774","1,820,489","1,414,069","1,463,832","1,269,309","2,367,158","1,972,996","1,854,810","1,541,633","1,923,669","1,878,890","1,805,708","2,297,719","2,513,002","1,972,848","3,802,447",,,,
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,220","267,835",,,,,,,,,,"820,012","264,069",,"759,172","1,145,688",,,"451,386,555","544,823","571,285","436,149","534,782","561,187","763,011","556,089","581,571","629,735","864,515","613,147","675,763","773,965","851,693","716,745","956,402",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"605,147,878",,"890,918","616,566","583,784","12,320","1,267,976","1,308,803","1,170,375","78,793","842,318","1,033,294","615,186","1,250,343","1,016,608","693,309","1,081,506",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"540,211",,,"261,701","405,644","757,830","1,147,840","282,464","1,112,328",,"1,765,423","251,590",,"867,224","1,132,849",,,,,,,,,,,,,,,,,,,,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27%,11.14,,,10.66,10.55,10.79,12.13,10.51,11.10,,11.05,11.02,,12.68,12.66,,,,11.58%,11.03%,11.90%,11.56%,11.59%,11.63%,11.40%,,13.07%,12.92%,12.89%,13.08%,13.16%,12.67%,12.84%,11.63%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32%,3.12%,2.95%,,,,,,1.61%,1.23%,1.21%,1.20%,1.68%,1.98%,3.48%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23%,3.98%,,,4.14,3.66,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22%,7.79%,,,7.70,6.60,6.04,6.31,6.07,6.35,,10.51,9.80,,10.17,10.62,,,9.16%,9.36%,9.24%,9.45%,8.98%,,7.39%,7.24%,,,7.63%,8.68%,9.29%,9.24%,10.51%,11.44%,11.07%,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14%,5.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19%,15.95%,,,6.69,9.85,19.96,18.37,17.55,30.50,,22.22,11.54,,10.13,9.69,29.13,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.24%,76.97%,,,,,,,,,,71.10,75.05,,74.49,69.00,,,75.82%,74.25%,77.81%,74.70%,73.74%,,72.79%,66.43%,,,82.64%,81.90%,82.11%,78.35%,84.32%,88.30%,84.80%,,,,
