Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,634,880,954","2,950,501,696","2,964,796,766","2,812,691,177","2,924,879,139","2,806,971,159","2,663,267,832","2,493,006,680","2,711,205,738","2,901,103,209","3,061,937,076","3,350,747,112","3,932,526,982","4,631,978,939","5,109,322,161","5,313,959,931","5,530,573,022",,,,
Interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,622,484,240","1,764,306,929","1,814,456,121","1,785,231,107","1,845,694,299","1,829,846,778","1,682,756,323","1,471,091,406","1,431,082,988","1,647,745,471","1,897,708,550","2,322,409,648","2,748,582,941","3,213,082,396","3,501,905,019","3,692,710,431","3,788,809,352",,,,
Net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,012,396,714","1,186,194,767","1,150,340,645","1,027,460,070","1,079,184,840","977,124,382","980,511,509","1,021,915,274","1,280,122,750","1,253,357,738","1,164,228,526","1,028,337,464","1,183,944,041","1,418,896,543","1,607,417,142","1,621,249,500","1,741,763,669",,,,
Fee and commission expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,028,129","39,246,469","22,141,501","32,304,026","12,580,858","10,195,006","11,715,563","16,186,465","20,165,200","14,727,944","24,628,719","33,089,890","51,356,078","45,246,494","87,212,726","72,171,556","47,613,682",,,,
Net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178,928,063","164,604,006","194,597,759","180,070,252","190,653,801","86,394,919","207,769,233","257,043,116","250,080,099","173,633,118","251,896,142","249,361,530","219,499,006","222,811,219","241,041,001","193,554,864","211,245,734",,,,
"Net interest, fee and commission income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,191,324,777","1,350,798,773","1,344,938,404","1,207,530,322","1,269,838,641","1,063,519,300","1,188,280,742","1,278,958,389","1,530,202,849","1,426,990,857","1,416,124,668","1,277,698,994","1,403,443,047","1,641,707,762","1,848,458,143","1,814,804,364","1,953,009,404",,,,
Net trading income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,683,593","109,935,062","100,812,334","138,155,680","90,456,196","58,575,463","89,987,995","181,071,351","145,268,418","85,033,124","110,395,782","91,486,044","89,975,379","43,647,813","74,060,733","115,164,993","15,553,814",,,,
Other operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,223,177","5,403,958","18,713,653","2,275,697","9,527,702","1,732,055","5,280,168","16,955,449","5,868,635","5,748,514","92,944,582","9,715,465","4,760,368","8,735,853","24,695,668","8,457,122","8,376,264",,,,
Total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,295,231,547","1,466,137,794","1,464,464,390","1,347,961,700","1,369,822,539","1,120,362,708","1,283,548,905","1,476,985,189","1,681,339,902","1,517,772,494","1,619,465,031","1,378,900,503","1,488,658,058","1,694,091,428","1,947,214,544","1,938,426,479","1,976,939,481",,,,
Impairment charge/(reversal) for loans and other losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,550,308","45,272,404","110,195,542","108,092,610","170,930,691","494,239,784","202,463,202","84,820,397","108,065,713","280,266,773","231,480,483","11,093,841","59,602,435","15,462,901","478,271,136","94,885,640","572,683,840",,,,
Net operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,299,781,855","1,511,410,198","1,354,268,848","1,239,869,090","1,198,891,848","626,122,924","1,081,085,703","1,561,805,586","1,789,405,615","1,237,505,721","1,387,984,548","1,389,994,345","1,429,055,623","1,709,554,328","1,468,943,408","1,843,540,838","1,404,255,641",,,,
Operating expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personnel expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270,245,966","337,439,352","374,758,375","254,555,376","326,105,066","310,334,400","328,737,494","354,411,103","389,955,277","393,880,332","390,212,150","410,180,222","441,978,535","439,315,024","429,560,074","480,360,609","437,604,330",,,,
Other operating expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,426,156","145,248,991","135,596,591","148,735,707","159,376,973","134,194,021","143,839,440","170,629,255","170,939,791","175,934,186","178,069,918","199,760,816","194,791,492","62,296,995","244,091,692","227,249,593","237,349,353",,,,
Depreciation and Amortisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,831,618","42,568,561","34,085,932","35,821,321","37,286,550","50,623,981","38,197,862",,,,,,,,,,,,,,
Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"858,278,115","986,153,293","809,827,950","800,756,686","676,123,259","130,970,523","570,310,908","996,278,249","1,184,595,962","624,935,124","770,524,897","728,000,781","737,862,321","1,016,206,202","747,014,035","1,084,701,391","673,613,958",,,,
Non-operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-operating expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before income tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"858,324,350","981,474,858","810,275,179","800,616,653","675,415,350","131,012,998","570,316,502","996,311,679","1,185,267,967","622,500,364","770,053,752","741,117,501","733,518,838","1,016,595,234","747,271,339","1,084,217,534","623,261,021",,,,
Income tax expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"258,440,707","296,918,901","243,082,553","239,023,912","202,624,443","40,954,130","171,094,950","296,126,497","357,789,029","159,446,567","234,677,601","225,701,030","226,595,428","390,977,993","228,177,001","320,257,415","190,960,645",,,,
Deferred Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156,580",,,,"30,052,708","3,661,538","4,554,899","6,543,489","88,380,224","2,862,206","4,349,135","4,724,477",,,,
Condensed Statement of Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599,883,643","684,555,958","567,192,625","561,592,741","472,790,907","90,215,448","399,221,552","700,185,182","827,478,938","433,001,089","539,037,688","519,971,370","513,466,899","713,997,465","521,956,544","759,610,984","437,024,853",,,,
Other Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,272,686",,,,"7,889,524",,,"70,445,843","66,777,138",,,,"71,283,723","26,858,707",,,,,
Total Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"565,919,940",,,,"407,111,076",,,"503,446,932","472,260,550",,,,"450,672,821","786,469,691",,,,,
Basic earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.29,,,,17.80,22.77,26.71,24.38,,,,,,,,,,,
Diluted earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.29,,,,17.80,22.77,26.71,24.38,,,,,,,,,,,
