Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.91,12.49,,13.3,13.11,12.61,12.78,12.46,12.97,12.54,15.04,13.99,13.54,13.45,13.28,13.51,13.75,13.03,13.39,13.45,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.08,,0.12,0.08,0.24,0.41,0.36,0.48,0.4,0.58,0.21,0.16,0.11,0.31,0.38,0.35,0.91,0.77,2.27,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4082.07,1536.63,,1094.49,1544.8,551.97,335.62,417.55,425.19,527.32,321.63,753.84,1103.58,1609.91,531.7,437.71,465.33,206.39,252.54,103.3,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42,7.48,,7.29,7.39,7.22,7.33,7.29,6.66,5.99,5.16,4.71,4.75,5.84,6.41,7.26,7.63,8.47,8.92,8.7,,,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.99,79.14,,78.58,77.91,78.84,78.05,78.64,74.72,78.23,81.6,82.73,82.31,85.25,86.85,87.22,86.36,86.11,83.03,82.29,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.66,10.55,,9.31,9.45,9.21,9.29,9.25,8.62,7.73,6.83,6.23,6.34,7.45,8.08,9,9.71,10.5,10.86,10.63,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,4.44,,4.64,4.35,4.44,4.17,5.08,3.47,3.61,4.21,4.07,3.73,2.69,2.91,3.2,3.86,3.91,4.39,4.2,,,,
Market Share Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,2.07,,2.06,2.07,1.93,1.88,1.73,1.34,1.19,1.64,1.73,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76,18.01,,21.95,23.36,20,20.34,19.41,15.27,12.2,17.57,20.56,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.31,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.72,,,,,,,,,,,,,,,,,,,,,,,
