,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,"129,651","106,497",,"156,329",,,,"233,029",,,,"223,676","167,827","244,112",,"418,530","292,740","400,798","527,254","660,309","414,082","561,331",,"887,353","547,249",,,"1,419,930","1,015,640",,1767908,"1,419,930","1,437,106",,"2,274,572","3,288,277",,,"2,096,682,826","2,255,429,121","2,546,948,667","2,417,602,349","3,246,275,273","2,827,536,929","3,304,173,099","3,020,364,667","3,328,524,400","3,530,060,794","3,810,015,632","3,981,895,193","4,319,204,400","4,336,376,122","4,315,401,568","4,646,138,217","4,798,071,243",,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"370,000","1,000",,"370,000","370,000","370,000",,"370,000","370,000",,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,"656,000","786,000",,"444,800",,,,"658,000",,,,"88,250","422,250","437,623",,"1,480,126","855,088","355,000","1,139,402","898,268","1,168,484","1,385,041",,"1,687,185","3,333,405",,,"3,281,940","3,281,940",,834971,"3,281,940","11,404",,"1,803,500","358,950",,,,,,,,,,,,"1,787,250,000","18,750,000","9,750,000","41,250,000","508,250,000","2,675,000,000","2,627,000,000","2,654,000,000",,,,
deposits,,,,,,,,,,"4,628,512","5,490,838",,"5,760,495",,,,"6,356,737",,,,"11,178,734",26.28,"14,470,732",,30.97,"18,102,641",22.54,21.05,"24,841,663","26,590,007","30,147,440",,22.32,"35,436,664",,,"46,344,181","48,691,269",,53320761,"46,344,181","64,132,106",,"71,515,213","79,183,347",,,"85,195,054,931","89,230,136,270","95,499,545,325","99,135,488,180","100,640,586,076","106,661,758,563","108,066,168,974","110,018,974,008","122,542,510,271","128,226,612,165","140,339,496,975","144,256,959,200","146,579,732,918","157,345,663,047","152,021,743,983","158,645,162,713","163,902,636,408",,,,
income tax liability,,,,,,,,,,,"2,176",,"1,367",,,,,,,,,,,,,,,,,,,,,,,,"9,414",,,,"9,414",,,"4,541","4,041",,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,"67,046",,"69,975",,,,"99,753",,,,"275,052","349,770","259,136",,"278,695",,"513,324","699,402","784,963",,"977,089",,"1,102,373",,,,"789,708",,,,"789,708",,,,,,,"1,241,252,893","1,421,290,624","1,467,261,445","1,402,921,564","1,409,912,257","1,193,648,065","2,453,406,045","2,112,401,061","2,912,737,416","2,231,938,397","2,634,017,087","2,118,279,357","2,109,321,061","3,039,956,005","3,072,055,875","3,327,204,520","3,326,970,561",,,,
total assets,,,,,,,,,,"6,293,859","7,258,958",,,,,,,,,,,1.36,"17,427,603",,"1,090.08","21,970,597","1,054.14","1,124.84",,"31,491,397","35,621,141",,"1,579.16","43,337,224",,,,"59,914,402",66829720.0,62758043,"56,237,204","76,528,378",,"85,924,570","92,558,086",,,"103,252,157,550","109,076,640,868","115,049,371,416","120,268,997,660","124,795,114,825","126,163,349,562","131,542,934,232","134,468,789,672","149,097,506,538","160,724,601,136","173,030,023,276","177,115,594,421","181,638,712,940","192,578,543,497","195,196,739,717","195,900,413,651","205,054,038,078",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,"121,831","93,787",,"615,526",,,,"1,038,060",,,,"1,172,145","138,623","759,574",,"655,532","476,888","362,785","579,121","2,018,506","560,718","1,159,513",,"1,139,390","324,533",",",,"3,273,293","1,013,137",,3498996,"3,273,293","1,769,073",,"5,704,188","5,060,299",,,"2,634,880,954","2,950,501,696","2,964,796,766","2,812,691,177","2,924,879,139","2,806,971,159","2,663,267,832","2,493,006,680","2,711,205,738","2,901,103,209","3,061,937,076","3,350,747,112","3,932,526,982","4,631,978,939","5,109,322,161","5,313,959,931","5,530,573,022",,,,
interest expense,,,,,,,,,,"77,971","166,235",,"399,298",,,,"683,000",,,,"753,562","230,095","463,491",,"1,023,257","309,337","608,677","890,369","1,199,788","315,726","621,891",,"1,409,494","200,098",.,,"1,550,408","478,745",,1799145,"1,550,408","1,174,494",,"3,609,931","2,194,000",,,"1,622,484,240","1,764,306,929","1,814,456,121","1,785,231,107","1,845,694,299","1,829,846,778","1,682,756,323","1,471,091,406","1,431,082,988","1,647,745,471","1,897,708,550","2,322,409,648","2,748,582,941","3,213,082,396","3,501,905,019","3,692,710,431","3,788,809,352",,,,
