,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,"129,651","106,497",129120,"156,329",98580,118191,173323,"233,029",133043,161830,181027,"223,676","167,827","244,112",325126,"418,530","292,740","400,798","527,254","660,309","414,082","561,331",706369,"887,353","547,249","778,431",1040821,"1,419,930","1,015,640",1417507,1767908,"2,190,699","1,437,106",1893252,"2,274,572","3,288,277",3314409,,2096682.826,2255429.121,2546948.667,2417602.349,3246275.273,2827536.929,3304173.099,3020364.667,3328524.4,3530060.794,3810015.632,3981895.193,4319204.4,4336376.122,4315401.568,4646138.217,4798071.243,,,,
debenture and bond,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,"370,000",370000,"370,000","1,000",370000,"370,000","370,000","370,000",370000,"370,000","370,000",370000,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
borrowings,,,,,,,,,,"656,000","786,000",376000,"444,800",857340,895000,928000,"658,000",15000,65000,-,"88,250","422,250","437,623",1511028,"1,480,126","855,088","355,000","1,139,402","898,268","1,168,484","1,385,041",1948358,"1,687,185","3,333,405","1,348,057",1447010,"3,281,940","3,281,940",2635494,834971,"611,009","11,404",448517,"1,803,500","358,950",870996,,-,-,-,-,-,-,-,-,-,1787250,18750,9750,41250,508250,2675000,2627000,2654000,,,,
deposits,,,,,,,,,,"4,628,512","5,490,838",5291191,"5,760,495",6198412,6729824,6643341,"6,356,737",6843704,7324244,9131282,"11,178,734","12,746,059","14,470,732",16178206,"17,782,716","18,102,641",19889934,20360891,"24,841,663","26,590,007","30,147,440",32259467,"34,045,316","35,436,664","39,096,257",43441963,"46,344,181","48,691,269",50131059,53320761,"57,754,054","64,132,106",67780995,"71,515,213","79,183,347",84153196,,85195054.93,89230136.27,95499545.33,99135488.18,100640586.1,106661758.6,108066169,110018974,122542510.3,128226612.2,140339497,144256959.2,146579732.9,157345663,152021744,158645162.7,163902636.4,,,,
income tax liability,,,,,,,,,,-,"2,176",1367,"1,367",9071,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"23,393",-,"9,414",103866,19533,-,-,-,48181,"4,541",,-,,12632.608,25019.84,225379.966,43039.681,241485.967,-,147238.465,48299.584,166535.007,101070.919,255659.253,71822.24,45613.385,67594.039,185203.182,21305.496,-,,,,
other liabilities,,,,,,,,,,111696,"67,046",89885,"69,975",233864,823079,147467,"99,753",213389,140361,152456,"275,052","349,770","259,136",391055,"278,695",502528,"513,324","699,402","784,963",768584,"977,089",1565472,"1,102,373",589619,"625,485",595459,"789,708",1526728,6950255,1158530,"2,155,565",2341999,2428486,1955489,1173008,1487781,,1241252.893,1421290.624,1467261.445,1402921.564,1409912.257,1193648.065,2453406.045,2112401.061,2912737.416,2231938.397,2634017.087,2118279.357,2109321.061,3039956.005,3072055.875,3327204.52,3326970.561,,,,
total assets,,,,,,,,,,"6,293,859","7,258,958",6693962,7238000,8203667,9372494,9908131,9363520,9229143,9707435,11480765,13781713,"15,701,905","17,427,603",20421415,"21,976,068.00","21,970,597","513,324.00",24944549,29402804,"31,491,397","35,621,141",39029906,"40,272,468.00","43,337,224","45,301,912",49955541,56237204,"59,914,402",66829720,62758043,"69,978,960","76,528,378",80970686,"85,924,570","92,558,086",98197638,,103252157.6,109076640.9,115049371.4,120268997.7,124795114.8,126163349.6,131542934.2,134468789.7,149097506.5,160724601.1,173030023.3,177115594.4,181638712.9,192578543.5,195196739.7,195900413.7,205054038.1,,,,
loan and advancements,,,,,,,,,,"4,488,099","5,010,239",4892287,"5,092,099",5504342,6216702,6904083,"6,371,324",6209999,6765551,8324314,"9,530,238","11,636,960","12,993,467",14201738,"15,093,073","15,456,492","17,170,783","18,251,411","20,411,444","22,833,968","25,893,543",27555583,"28,229,003","30,333,380","33,290,739",36469545,"40,441,857","44,608,156",46921795,48596841,"51,265,494","57,288,532",60520178,"64,322,096","68,663,692",75083851,,81026552.94,83270159.58,85988669.18,91585918.08,94986304.07,93222034.1,98283278.49,104974408.3,117431708,123082730.4,133190802.5,141433493.9,142354312.4,142329560.7,149600006.1,148365378,148409982.2,,,,
interest income,,,,,,,,,,"121,831","93,787",425912,"615,526",212007,438730,729039,"1,038,060",280158,539153,819750,"1,172,145","138,623","759,574",1186163,"655,532","476,888","362,785","579,121","2,018,506","560,718","1,159,513",1810938,"1,139,390","324,533","1,510,925",2330920,"3,273,293","1,013,137",2139831,3498996,"5,089,077","1,775,109",3681858,"5,704,188","5,060,299",2531738,,2634880.954,2950501.696,2964796.766,2812691.177,2924879.139,2806971.159,2663267.832,2493006.68,2711205.738,2901103.209,3061937.076,3350747.112,3932526.982,4631978.939,5109322.161,5313959.931,5530573.022,,,,
interest expense,,,,,,,,,,"77,971","166,235",270266,"399,298",153783,311346,490739,"683,000",179583,353418,533161,"753,562","230,095","463,491",720665,"1,023,257","309,337","608,677","890,369","1,199,788","315,726","621,891",989144,"1,409,494","200,098","774,197",1122299,"1,550,408","478,745",1046746,1799145,"2,794,577","1,773,378",2337220,"3,609,931","2,194,000",1549120,,1622484.24,1764306.929,1814456.121,1785231.107,1845694.299,1829846.778,1682756.323,1471091.406,1431082.988,1647745.471,1897708.55,2322409.648,2748582.941,3213082.396,3501905.019,3692710.431,3788809.352,,,,
