,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,"131,007","249,569",,"342,645","184,864","204,305","232,505","355,093","246,972","280,890",1.2,"567,149","381,673","514,346",,"839,154","488,078",,1.2,"1,215,990",,"1,093,131",1.2,"1,729,807","1,650,601","1,907,454",,"2,531,540","1,744,249",,,,,,"2,829,624,193","2,778,423,499","2,955,050,293.28","2,884,858,402","3,496,269,366","3,402,172,411","3,912,038,156","3,446,630,432","4,100,947,658","4,429,391,918","5,240,719,731","4,731,224,631","4,847,090,511","4,860,668,005","5,271,075,902","5,492,861,646","5,831,246,311",,,,
debenture and bond,,,,,,,,,,,,,,,,,,0,,,,,,,,,"500,000",,"500,000","500,000",,1.3,"500,000",,"500,000",1.3,"500,000","500,000","500,000",,"5,000,000","500,000",,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,"1,661,151","1,733,662","1,090,000","805,000","160,000","324,400","131,440","88,250","41,825","87,650",1.4,"336,175","823,200","1,319,000",1.4,"457,245","407,064","763,537",1.4,"902,000",,"548,357",1.4,"1,119,046","1,626,319","1,634,462","807,283","1,530,510","3,351,624","2,300,105","3,822,805","3,245,041","3,314,630","4,289,701","2,799,466","2,799,481",,,,,,,,,,"45,500,000","45,500,000","45,500,000","67,500,000","91,000,000","23,500,000",,,,
deposits,,,,,,,,,,,,,,89.67%,87.39%,"13,866,182",82.38%,"15,173,604",71.70%,"15,289,515",74.40%,"17,598,821","19,635,955",1.5,,"23,276,388","24,185,687",1.5,"27,963,455","29,609,038","30,918,050",1.5,"35,782,131",,"40,034,665",1.5,"47,392,945","50,318,041","52,579,499","55,539,002","52,702,876","54,616,078","58,216,344","60,176,047","61,391,104","65,299,116","64,962,038",4.20,"70,355,483,176",4.20,"75,165,777,080","77,438,853,151","88,193,854,886",4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,,,,
income tax liability,,,,,,,,,,,,,,"16,813","16,813",,,"16,813",,,"6,828","6,523",,,"6,523","44,480","101,340",1.6,"130,310","47,290","119,945",1.6,,,,1.6,"4,009","136,411","7,641",0,,"136,411",,"37,245",95,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,"763,036","613,806",,"431,466",,"842,590","1,043,009","447,753",,,,"768,571",,,1.7,,,,,,,,,,,,,"3,021,955",,"4,377,609","2,711,636",,,"2,750,366","1,581,664,612","1,478,644,780","1,624,250,724","1,441,894,470","1,711,156,450","1,505,385,951","1,799,118,698","2,528,730,136","2,007,744,358","2,117,790,024","2,832,125,350","2,175,410,993","2,348,990,974","3,491,516,795","2,448,898,812","2,849,997,847","2,793,291,507",,,,
total assets,,,,,,,,,,,,,,"16,172,328","17,013,656",,"17,057,443",,"19,061,587","18,798,308","20,354,298",,"22,776,991",,,"29,325,516","29,455,484","29,811,067","32,936,568",,"36,531,823","40,672,291",,,"46,835,342","54,257,336",,,"65,130,852","66,967,548","67,257,779","71,372,658","75,470,544","77,691,023","78,688,346",,,"86,941,110,968","90,031,604,935","94,926,325,350","97,540,314,597","104,194,623,713","110,438,338,023","118,851,351,214","128,165,426,486","154,498,475,904","167,991,453,329","174,757,848,672","176,064,599,380","184,034,069,901","194,496,996,462","192,175,143,262","192,844,814,071","190,446,577,269",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,"423,026","847,948",,"1,795,233","491,713","945,820","1,422,175","1,980,320","511,520","1,011,219",3.1,"2,211,709","589,361","1,202,136",3.1,"2,455,649","649,026","1,302,293",3.1,"2,767,425",,"1,612,493",3.1,"3,445,748","988,730","2,041,677","3,355,428","4,917,683","1,606,127","3,244,446","4,964,048","6,938,793","2,163,324","4,296,971","2,037,238,936","2,330,836,033","2,354,356,815","2,327,462,991","2,466,354,888","2,341,816,317","2,581,210,461","2,482,048,297","2,617,797,821",4.29,"3,536,625,950","3,636,515,694","4,085,619,535","4,841,422,439","5,097,497,392","5,180,657,468","5,251,608,540",,,,
interest expense,,,,,,,,,,,,,,"288,221","568,952",,"1,236,322","361,342","730,804","1,061,334","1,405,860","277,724","534,163",3.2,"1,176,910","361,432","695,125",3.2,"1,382,761","348,401","686,778",3.2,"1,499,682",,"896,380",3.2,"1,823,706","552,373","1,185,927","2,098,901","5,002,270","1,123,297","2,268,496","3,492,912","4,845,287","1,415,909","2,819,843","1,419,081,985","1,597,174,965","1,640,883,772","1,591,970,747","1,649,668,357","1,703,874,117","1,737,241,196","1,700,524,292","1,689,109,463",4.30,"2,330,150,507","2,440,859,930","2,793,416,689","3,394,652,867","3,635,914,753","3,775,667,659","3,686,652,970",,,,
net interest income,,,,,,,,,,,,,,,,,,3.13.2,,,,3.13.2,3.13.2,3.13.2,,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,"913,900",3.13.2,3.13.2,"141,419","1,477,128","618,156,951","733,661,069","713,473,043","735,492,244","816,686,531","637,942,200","843,969,265","781,524,005","928,688,358","1,071,689,460","1,206,475,443","1,195,655,765","1,292,202,846","1,446,769,571","1,461,582,639","1,404,989,809","1,564,955,569",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"128,839,132","151,235,884","153,074,137","151,234,689","124,317,857","120,759,550","177,610,973","180,618,475","222,369,382","205,139,666","305,419,493","200,401,731","213,151,848","183,562,718","234,771,208","201,680,487","225,994,866",,,,
