Particulars,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079
reserves,"131,007","249,569","139,962","342,645","184,864","204,305","232,505","355,093","246,972","280,890",408502,"567,149","381,673","514,346",581941,"839,154","488,078",657606,835618,"1,215,990",817429.0,"1,093,131",1401365,"1,729,807","1,650,601","1,907,454",2172379,"2,531,540","1,744,249",1991275,2362881,2768758,3327248,3358622,2829624.193,2778423.499,2955050.293,2884858.402,3496269.366,3402172.411,3912038.156,3446630.432,4100947.658,4429391.918,5240719.731,4731224.631,4847090.511,4860668.005,5271075.902,5492861.646,5831246.311
debenture and bond,-,-,-,-,-,-,-,-,-,-,-,-,-,"500,000",500000,"500,000","500,000",500000,500000,"500,000",500000.0,"500,000",500000,"500,000","500,000","500,000",500000,"500,000","500,000",500000,500000,500000,499053,498914,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
borrowings,"1,661,151","1,733,662","1,090,000","805,000","160,000","324,400","131,440","88,250","41,825","87,650",561175,"336,175","823,200","1,319,000",390000,"457,245","407,064","763,537",354848,"902,000",2460237.0,"548,357",2890935,"1,119,046","1,626,319","1,634,462","807,283","1,530,510","3,351,624","2,300,105","3,822,805","3,245,041","3,314,630","4,289,701",2799.466,2799.481,-,-,-,-,-,-,-,-,-,45500,45500,45500,67500,91000,23500
deposits,"12,393,371","12,523,137","13,866,182","13,478,331","15,173,604","15,588,452","15,289,515","17,354,534","17,598,821","19,635,955",21420728,22724618,"23,276,388","24,185,687",25044217,"27,963,455","29,609,038","30,918,050",34799653,"35,782,131",36947710.0,"40,034,665",44373501,"47,392,945","50,318,041","52,579,499","55,539,002","52,702,876","54,616,078","58,216,344","60,176,047","61,391,104","65,299,116","64,962,038",65805743.89,70355483.18,72100087.03,75165777.08,77438853.15,88193854.89,97540613.29,104852998.7,126877773.4,140362079.3,143942651.4,140783075.9,144576604.4,152522540.9,154310836.3,159004939.7,160163739.8
income tax liability,"16,813",-,-,-,-,-,-,"6,828","6,523",-,-,-,"44,480","101,340",130310,"130,310","47,290","119,945",196752,-,61339.0,-,861,"4,009","136,411","7,641",-,-,-,-,"37,245",95,-,-,-,-,133511.693,36.436,175415.183,2347.112,74370.764,63766.511,133073.284,223252.316,163198.617,183482.667,130742.796,48672.08,-,-,-
other liabilities,"763,036","613,806","902,411","431,466",770474,"842,590","1,043,009","447,753",732987,670656,662723,"768,571",2697935,733271,1062759,1074874,1022418,1193146,1605881,1243760,2124734.0,1593954,1991486,1619780,3279214,2935274,2041316,"3,021,955",3070828,"4,377,609","2,711,636",2697012,2980885,"2,750,366",1581664.612,1478644.78,1624250.724,1441894.47,1711156.45,1505385.951,1799118.698,2528730.136,2007744.358,2117790.024,2832125.35,2175410.993,2348990.974,3491516.795,2448898.812,2849997.847,2793291.507
total assets,"16,172,328","17,013,656","17,920,838","17,057,443",18390782,"19,061,587","18,798,308","20,354,298",20772445,"22,776,991",25154968,26498354,"29,325,516","29,455,484","29,811,067","32,936,568",34453428,"36,531,823","40,672,291",42198243,45976683.0,"46,835,342","54,257,336",56053088,63082112,"65,130,852","66,967,548","67,257,779","71,372,658","75,470,544","77,691,023","78,688,346",81500550,84230706,86941110.97,90031604.94,94926325.35,97540314.6,104194623.7,110438338,118851351.2,128165426.5,154498475.9,167991453.3,174757848.7,176064599.4,184034069.9,194496996.5,192175143.3,192844814.1,190446577.3
loan and advancements,"11,831,565","12,376,193","12,795,118","12,514,232","12,102,652","12,616,380","13,526,517","14,415,393","15,597,219","16,894,930",18064409,17940835,"19,335,380","20,417,312",21770482,"23,173,657","24,972,046","26,556,077",28740520,"29,200,383",31881904.0,"33,556,523",37843384,"40,567,277","43,730,750","46,782,081","47,794,093","48,071,445","50,057,645","53,316,112","55,817,335","57,952,196","59,883,631",60474435,62690174.39,64491139.84,69048088.64,70716177.12,76449425.23,80703919.73,84385193.42,90047701.38,112687600.5,121818044.6,131567610.4,131081682,135711463,134854928.3,138708508.8,141661298.2,141926951.1
interest income,"423,026","847,948","1,297,654","1,795,233","491,713","945,820","1,422,175","1,980,320","511,520","1,011,219",1589808,"2,211,709","589,361","1,202,136",1800746,"2,455,649","649,026","1,302,293",1991541,"2,767,425",768195.0,"1,612,493",2483878,"3,445,748","988,730","2,041,677","3,355,428","4,917,683","1,606,127","3,244,446","4,964,048","6,938,793","2,163,324","4,296,971",2037238.936,2330836.033,2354356.815,2327462.991,2466354.888,2341816.317,2581210.461,2482048.297,2617797.821,3119680.94,3536625.95,3636515.694,4085619.535,4841422.439,5097497.392,5180657.468,5251608.54
interest expense,"288,221","568,952","876,666","1,236,322","361,342","730,804","1,061,334","1,405,860","277,724","534,163",833344,"1,176,910","361,432","695,125",1025138,"1,382,761","348,401","686,778",1047087,"1,498,682",460482.0,"896,380",1322567,"1,823,706","552,373","1,185,927","2,098,901","5,002,270","1,123,297","2,268,496","3,492,912","4,845,287","1,415,909","2,819,843",1419081.985,1597174.965,1640883.772,1591970.747,1649668.357,1703874.117,1737241.196,1700524.292,1689109.463,2047991.48,2330150.507,2440859.93,2793416.689,3394652.867,3635914.753,3775667.659,3686652.97
net interest income,"134,806","278,996","420,988","558,910",130371,"215,016","360,841","574,460",233796,477056,756464,1034799,227929,507011,775608,1072888,300625,615515,944454,1268743,307713.0,716114,1161311,1622042,436357,855749,1256527,1751407,482830,"913,900",1471136,2093506,747415,"1,477,128",618156.951,733661.069,713473.043,735492.244,816686.531,637942.2,843969.265,781524.005,928688.358,1071689.46,1206475.443,1195655.765,1292202.846,1446769.571,1461582.639,1404989.809,1564955.569
net fee and commission income,"22,755","43,971","62,728","32,533",12580,"39,213","61,733","40,361",20571,33140,45730,53464,19545,32434,46192,54742,25837,41378,45300,63015,15820.0,37105,67121,97670,25715,57431,92990,157316,31878,68709,107596,169537,"141,419",253116,128839.132,151235.884,153074.137,151234.689,124317.857,120759.55,177610.973,180618.475,222369.382,205139.666,305419.493,200401.731,213151.848,183562.718,234771.208,201680.487,225994.866
total operating income,"164,923","338,536","506,670","669,847","159,607","271,741","449,991","709,840","298,627","585,376","913,345",1250895,"303,283","667,254","1,004,992","1,409,528","386,659","789,157","1,192,528","2,235,244",416739.0,"928,554","1,519,447","2,154,987","608,554","1,202,631","1,753,746","2,431,223","700,279","1,418,927","2,112,892","2,989,240","1,032,040","1,885,646",805802.06,1025324.651,951308.748,941846.54,1079662.63,862232.562,1199351.279,1131315.264,1329143.27,1391315.783,1731384.252,1500594.151,1533297.696,1650360.133,1653943.893,1731764.225,1815760.994
staff expenses,"20,837","40,397","58,308","81,689","28,825","51,303","77,035","108,814","39,753","69,215",101127,"144,227","42,299","78,999",118313,"165,209","53,994","108,154",164323,"247,877",70279.0,"145,059",223433,"297,663","107,561","213,739","327,297","411,296","114,353","251,409","364,311","517,684",250704,483712,202241.297,314182.677,251031.244,267444.785,276847.144,143841.04,292465.861,275890.653,336839.63,275829.155,413898.36,446470.016,469611.972,481576.023,478912.913,457301.267,486594.623
operating profit,"92,908","167,429","267,556","305,638",81991,"34,259","69,683","262,575",102411,118645,315487,581105,132030,309123,399176,538499,165883,345145,567410,813254,114434.0,370470,762375,1144348,348342,674468,879780,1256638,425117,823656,1159695,1694740,646260,1100680,439564.948,657836.847,494615.026,482268.607,581059.153,51933.12,744277.32,466019.206,830919.337,208154.426,930965.322,781981.085,489645.529,873900.013,677296.89,533468.741,588345.82
non operating income expense,-,"5,993","6,364","6,730",893,"1,213","10,104","10,470","2,963","3,480",7169,10300,391,"9,284",6611,"8,231","7,514","23,107",29511,"32,663",31643.0,"100,739",121071,"143,464","22,834","20,771","51,876","57,130","6,901","20,771","2,653","2,497",3954,8605,3994.601,17904.139,6886.428,14138.216,18573.043,72143.491,1084.278,107463.152,103241.813,90020.39,52424.058,4857.994,4051.138,54653.307,1712.302,4550.587,2718.091
profit for the period,"59,123","110,359","174,313","198,354","52,745","72,237","100,437","222,974","67,057","100,975","228,585",399608,"103,787","236,461","304,056","561,269","110,343","279,872","457,883","723,890",142780.0,"418,483","728,893","1,101,302","340,651","611,993","869,120","1,208,652","320,215","616,412","988,971","1,405,557",463387,774364,300936.111,446320.178,351051.018,346790.569,408519.156,39293.347,523211.764,383150.146,682537.099,755083.311,688376.381,560159.374,345583.383,653576.049,475033.6,376585.003,401207.642
capital fund to rwa,10.49%,15.98%,16.42,15.31%,16.30%,16.47%,16.33%,15.58%,13.30%,12.56%,12.69,13.33%,10.55%,13.69%,12.97,13.64%,12.49%,12.26%,12.04,13.45%,12.11,12.39%,11.85,13.77%,13.42%,13.37%,13.83%,16.99%,16.11%,15.18%,15.80%,15.64%,15.67%,13.72%,13.54,13.37,12.93,12.96%,14.37%,15.73,14.54,13.84,13.98,14,13.12,13.66,13.73,-,12.56,12.01,12.04
non performing loan to total loan,0.39,0.31,0.451,1.17,3.06,2.89,3.1,2.01,2.4,3.6,2.45,2.02,2.66,2.46,2.39,2.4,2.35,2.01,1.79,1.53,2.35,2.43,1.78,1.31,1.73,1.32,1.55,1.28,1.99,1.94,1.46,1.25,1.23,1.62,1.58,1.19,0.98,0.99%,0.97%,1.46,1.43,2.42,1.83,2.77,1.91,1.87,1.72,-,2.89,2.99,3.98
total loan loss provision to npl,331.84%,481.95%,450.36,165.83%,65.76%,69.18%,75.28%,99.71%,104.00%,66.04%,99.85,109.76%,88.42%,108.57%,100.83,101.62%,101.63%,129.63%,143.24,156.23%,109.93,113.99%,140.75,169.57%,144.21%,152.14%,133.64%,161.43%,135.31%,134.20%,155.64%,174.30%,171.23%,140.09%,144.99,168.98,196.15,193.96%,190.89%,176.16,166.69,100.57,120.03,97.19,122.93,124.01,142.93,-,92.61,97.85,82.26
cost of fund,8.80%,9.78%,10.38,9.60%,9.56%,9.40%,8.62%,7.74%,6.44%,6.21%,6.38,6.72%,6.44%,5.64%,5.32,5.24%,4.58%,4.55%,4.7,5.00%,4.82,4.45%,3.95,4.30%,4.34%,5.20%,7.10%,8.00%,8.02%,8.16%,8.35%,8.45%,8.74%,8.21%,8.54,8.58,8.3,7.94,7.79,7.19,6.79,6.38,5.71,5.85,6.08,7.05,7.82,-,8.92,9.22,8.88
base rate,,,,,,,,,,8.92%,9.38,9.72%,8.99,7.88%,8.22,8.16%,7.59%,7.46%,7.32,7.30%,7.6,7.27%,6.43,6.05%,7.02%,7.78%,10.03%,11.17%,10.72%,11.02%,11.15%,11.78%,11.47%,10.79%,10.58,10.52,10.75,10.35%,9.88%,9.04,8.81,8.25,7.44,7.55,8.11,9.08,9.81,-,11.14,11.39,11.14
net interest spread,3.7,2.64,2.35,3.27,,,,,,5.81%,5.25,4.82%,4.99%,6.59,6.03,4.99,4.82,4.71,4.47,4.13,4.06,4.17,4.39,3.96,3.88,3.49,3.95,3.19,3.62,3.23,3.74,3.84,,,3.64,3.15,4.16,3.69,4.05,4.03,4.4,4.08,3.86,3.59,3.53,3.11,3.71,-,3.8,4.31,4.2
market share price,,,,,164,,,,199,276,274,267,250,453,434,539,453,431,448,489,547.0,597,725,680,580,490,440,403,307,285,260,236,248,218,,,,,,,,,,,,,,,,,
return on equity,17.68%,10.30%,,,,,,,,8.48%,13.36,14.97%,16.72%,18.08%,15.11%,19.08%,15.39%,18.43%,18.99%,19.20%,14.98,20.82%,23.66,22.92%,21.66%,19.47%,17.77%,17.17%,13.94%,12.87%,13.71,13.92%,,,,,,,,,,,,,,,,,,,
return on total assets,1.46,1.3,,,,,,,,0.89,1.21,1.51,1.42,1.62,1.36,1.7,1.28,1.53,1.5,1.72,1.3,1.8,2.03,1.99,2.28,2.05,1.9,1.28,1.85,1.75,1.84,1.94,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,89.67%,87.39%,83.91,82.38%,72.08%,71.70%,,,79.79%,78.28%,76.91,72.05%,75.72%,75.46%,77.63,74.98%,76.61%,78.77%,75.75,74.74%,78.53,76.92%,77.95,77.74%,77.40%,79.40%,67.19%,77.34%,76.55%,77.60%,78.38%,77.87%,79.62%,78.86%,78.48,76.79,78.41,77.58%,78.78%,70.76,73.5,72.91,78.13,77.42,87.39,89.69,90.69,-,86.86,86.94,86.86
