Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,936,859,761","4,658,553,979","10,288,201,568","4,777,854,961","9,382,581,466","7,342,927,500","8,925,023,377","7,683,790,637","10,012,699,337","9,043,453,269","10,443,424,130","8,084,824,555","10,519,534,182","11,432,465,170","11,004,855,393",4.1,"14,579,665,361",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,470,855,747","4,883,535,225","4,355,082,568","5,680,644,546","5,266,652,111","12,407,815,815","11,056,035,098","5,678,224,009","4,887,652,395","7,535,702,797","5,643,818,878","5,502,352,242","4,762,326,655","7,133,564,450","6,575,832,142",4.2,"11,864,096,049",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,540,600","33,496,036","13,888,800","474,329,363","75,543,132","31,874,478","21,144,000","168,935,856","52,935,353","58,187,019","535,173","320,215","25,734,890","11,658,957",4.19,"57,364,258",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,286,402","12,806,402","23,221,117","9,227,896","14,543,843","14,901,772","28,129,059","6,033,139","12,311,966","20,433,088","30,764,844","3,089,253","13,980,017",4.5,"13,759,797",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,775,356,550","92,820,907,421","97,706,801,612","97,720,453,410","105,820,079,916","101,653,351,477","99,350,741,327","108,984,754,066","121,553,073,839","125,996,175,893","138,048,895,858","150,657,147,042","150,399,154,279","147,954,698,868","152,553,974,592",4.7,"241,676,372,388",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,478,465,132","16,466,029,116","16,661,694,321","17,090,442,266","13,242,696,424","18,260,416,700","23,874,174,439","25,959,159,783","22,435,624,148","20,479,032,752","19,416,029,530","28,996,716,231","37,451,194,624","31,964,845,228","23,602,159,567",4.8,"40,280,117,183",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,072,848","203,757,077",,"67,446,102",,"373,834,702","205,679,359","360,548,673","346,133,359","417,531,014","226,525,845","411,096,079","616,104,893","442,223,752","274,101,047",4.9,"1,201,864,041",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
