Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,979,258,613","3,084,971,678","3,146,490,296","3,030,662,471","3,076,757,231","2,867,639,182","2,775,235,002","2,368,442,048","2,515,028,900","2,725,758,074","2,950,864,750","3,535,167,328","4,714,544,729","5,501,644,878","5,676,937,291","5,651,742,308",4,,,,
Interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,719,260,589","1,796,059,933",4.30,4.30,4.30,"1,945,741,303","1,831,626,557",4.30,4.30,"1,642,616,701","1,833,816,518",4.30,"3,262,460,227","3,732,211,626","3,862,527,716","3,802,747,963",4.30,,,,
Net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,259,998,024","1,288,911,745","1,322,932,103","1,261,376,956","1,268,910,520","921,897,879","943,608,445","824,740,955","956,256,767","1,083,141,373","1,117,048,232","811,602,770","1,452,084,502","1,769,433,252","1,814,409,575","1,848,994,345","2,879,185,571",,,,
Fee and commission expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,456,690","17,944,222","16,914,604","14,916,363","21,018,828","9,061,072","14,570,078","14,661,088","28,065,146","23,249,897","20,113,314","25,576,591","24,469,017","34,807,579","31,601,693","31,859,230",4,,,,
Net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142,265,895","252,290,914","176,465,435","200,516,575","145,339,742","164,440,439","156,240,728","137,037,122","204,282,591","211,958,863","202,202,778","213,187,249","211,840,567","287,748,468","223,019,117","205,758,814","210,925,758",,,,
"Net interest, fee and commission income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,402,263,919","1,541,202,659",,"1,461,893,531","1,414,250,262","1,086,338,318","1,099,849,173","961,778,077","1,160,539,358","1,295,100,236","1,319,251,010","1,024,790,019","1,663,925,069","2,057,181,720","2,037,428,692","2,054,753,159","3,090,111,329",,,,
Net trading income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177,586,988","147,537,957","196,638,324","142,675,742","169,253,857","257,522,490","170,683,446","136,654,453","154,705,296","205,009,609","159,598,219","161,280,787","137,191,397","135,238,691","112,101,965","100,908,908",4,,,,
Other operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,230,523","93,289,548","17,588,014","62,848,187","17,452,811","47,740,732","8,685,844","15,031,434","54,062,084","1,926,737,172","42,366,437","19,960,153","28,165,209","45,139,179","30,697,935","14,795,973",4,,,,
Total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,598,081,430","1,782,030,164","1,713,623,876","1,667,417,460","1,600,956,930","1,391,601,540","1,279,218,463","1,113,463,964","1,369,306,738","3,426,847,017","1,521,215,666","1,206,030,959","1,829,281,675","2,237,559,590","2,180,228,592","2,170,458,040","3,204,444,127",,,,
Impairment charge/(reversal) for loans and other losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
