,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,320,963","3,194,561","3,504,515","3,644,846","3,340,210","3,652,226","3,846,306","4,185,782","3,261,974","3,779,076","4,375,384","4,813,778","4,002,759","4,633,125","5,274,461",,,"5,202,468","6,085,632",,,"5,190,960,075","5,325,987,259","5,796,006,031","6,116,985,950","6,790,001,798","5,670,966,635","6,080,706,759","5,986,630,811","6,198,834,933","6,588,789,341","6,952,623,632","7,154,346,379","7,544,894,397","6,472,136,450","7,353,753,114",4.27,"13,457,609,698",,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000","1,100,000","1,100,000","1,100,000","1,100,000","1,100,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000",,,"600,000","600,000",,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,"688,450","192,500",,"1,400,033",,,,,,,"1,000,000",,"1,350,053",,"40,000",,,,"40,000",,,,,,,,,,,,,,,,,,,"2,090,265,961",,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,69.51,70.56,70.67,75.99,76.30,79.12,73.51,73.46,71.52,78.81,77.27,78.16,79.22,"92,890,828","92,881,114",,,"96,324,191","99,743,045","102,459,114","106,107,324","108,582,107,094","109,390,482,184","115,354,807,536","112,679,084,979","116,274,482,554","125,096,979,262","128,720,746,522","129,717,593,531","132,208,163,936","140,848,614,773","142,122,886,106","165,391,999,020","165,122,544,756","168,177,158,508","170,398,206,912",4.20,"264,080,419,473",,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,702",,,"92,551",,,,"40,942","10,266",,,"130,293","18,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,476,402","3,451,171","2,815,559","2,931,477","3,297,058","3,057,707","3,610,648","3,609,990","3,569,671","3,987,007","3,382,423","3,290,081","3,251,567","3,297,543","3,210,023",6.491.624,,"3,488,907","3,413,374",,,"2,785,105,278","2,698,182,324","2,909,460,164","3,726,389,021","3,357,343,036","3,644,360,056","3,442,622,983","3,484,216,313","3,707,990,235","3,278,372,724","3,900,373,787","4,578,958,325","4,466,150,377","5,192,330,623","5,632,895,309",4.23,"8,860,198,251",,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,459,875,493","133,295,794,214","144,318,003,556","142,495,930,130","147,752,172,081","156,687,158,866","162,367,082,968","165,830,015,766","172,754,542,509","179,645,362,962","190,827,854,100","209,050,304,985","219,526,002,570","217,380,413,616","213,408,793,849","215,888,088,020","336,926,047,906",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,177,154","1,795,246","2,495,801","590,377","1,256,503","1,933,983","2,670,280","697,250","1,555,402","2,443,438","3,408,443","826,182","1,804,676","2,769,593","3,763,408",,,"2,910,584","9,630,075","2,811,403","5,572,143","2,979,258,613","3,084,971,678","3,146,490,296","3,030,662,471","3,076,757,231","2,867,639,182","2,775,235,002","2,368,442,048","2,515,028,900","2,725,758,074","2,950,864,750","3,535,167,328","4,714,544,729","5,501,644,878","5,676,937,291","5,651,742,308",4,,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,195,824","1,733,624","2,248,798","496,686","970,284","1,450,691","1,956,513","451,865","816,326","1,152,812","1,565,896","507,824","1,060,478","1,923,181","3,173,334",,,"3,960,452","5,403,047","1,498,599","3,078,705","1,719,260,589","1,796,059,933",4.30,4.30,4.30,"1,945,741,303","1,831,626,557",4.30,4.30,"1,642,616,701","1,833,816,518",4.30,"3,262,460,227","3,732,211,626","3,862,527,716","3,802,747,963",4.30,,,,
