Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,"17,243,028","17,747,836","17,459,569","17,623,916",,,"20,178,314",,,"33,271,954",,1.1,"40,065,622",,"43,293,677","58,951,807",,,"65,450,039","68,805,589",,,,,,,,,,"125,558,244",,,"129,574,081",,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,"1,473,350","1,473,350","1,499,148","1,500,000","1,500,000",,,"1,601,452","2,184,812",,"2,250,357",,,,,,"4,106,858",,,,"5,011,600","6,164,268","6,164,268","6,164,268","6,164,200","1,150,550","7,150,550","1,242.00","8,080,342",,"8,888,376","8,888,376","8,888,376","8,888,376","10,310,516",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,"152,121","135,561","195,751","221,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,"400,000","400,000","400,000",1.4,"400,000",,"400,000","400,000","400,000",,"400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000",,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,"339,160","393,330","826,393","497,545","401,789","15,660",,"165,602","87,321","74,880","105,553",1.5,"107,043",,"336,289","167,014","143,661",,"142,511","89,565","103,318","70,086","2,514,674","64,38,028","2,400,000","2,400,000","1,100,000","78,451","363,765","200,000","3,663,471","1,552,487","200,000","2,297,296","3,899,825",,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,"14,943,785",27.62%,28%,,31.47%,27.05%,"18,947,604",,29.54%,"29,365,782",28.59%,"509,274",,31.06%,29.80%,,,28.15%,27.45%,,"63,093,539","63,821,198",,,"79,507,539","84,046,017",,,"38,057","100,415,422",,"31,803","111,896,326","113,742,449",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,"14,570,389","14,689,813","14,083,299","14,341,400","14,670,874",,"16,879,104","18,364,464","26,317,511","27,414,398","28,190,846",,"32,936,269",,"35,497,197","47,901,245","50,962,719",,"54,163,974","56,774,492","59,138,797","61,176,155","61,158,896","63,821,198","70,777,559","75,638,225","80,394,854","85,749,686","98,965,076","102,481,984","97,844,311","102,026,412","105,088,745",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,"461,159","253,972","366,334","364,542","395,616",,"619,342","583,140","616,257","689,444","1,174,936",1.6,"1,175,197",,"1,478,568","1,498,158","1,329,339",,"1,038,641","962,678","1,037,187","1,917,384","2,662,302","1,938,837","5,058,075","5,009,314","3,651,163","3,030,259","2,159,893","2,620,206","2,571,111","1,221,000","1,742,964",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,"4,931","37,667","56,766","67,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,"241,918","764,143","431,878","631,786","673,082",,"820,457","680,524","998,660","1,854,227","2,126,547",2,"2,098,439",,"1,643,404","2,634,782","2,706,929",,"2,521,437","3,008,758","2,515,710","3,056,288","3,293,565","7,501,970","3,819,109","5,096,121","3,996,755","4,317,796","6,572,934","7,446,457","5,580,207","5,828,582","5,831,149","4,286,374",,,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,,,,"17,243,028","17,747,836","17,459,569","17,623,916","17,930,991",,"20,178,314","21,749,340","31,197,078","33,271,954",,2.1,"40,065,622",,"43,293,677","58,951,807","62,313,673",,"65,450,039","68,805,589","71,045,925","74,437,291",,"84,206,499","90,627,981","94,371,656",,"101,609,015","121,652,930","125,558,244",,"124,161,722","129,574,081",,"137,062,107",,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,"1,925,883","1,412,453","1,386,007",,,"1,661,122",,,"3,666,387",,2.2,"5,576,054",,"5,764,999","9,041,168",,,"6,843,944","5,973,267",,,,,,,,,,"10,214,191",,,"9,085,955",,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,"300,000",,"323,300","230,000","230,000",,"323,300","230,000","1,343,468","1,343,468",,2.3,"16,085",,"5,216","357,027","513,391",,"54,058","57,060","181,268","27,186","154,092","57,060",,"27,186","154,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,"2,270,487","2,328,958","2,255,762","2,502,038","2,920,247","2,957,182","3,072,347","3,442,959","4,247,060","4,635,106","4,710,335",2.4,"5,549,925",,"5,715,642","5,636,379","8,663,837",,"8,697,957","9,890,791","10,738,215","11,597,636","14,525,460","15,011,161","18,041,083","16,790,485","18,168,869","17,080,845","10,555,045","22,007,323","19,937,935","18,480,103","17,231","14,358,219",,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,"12,805,039","12,910,088","12,892,359",,,"14,857,508",,,"22,968,612",,,"26,991,614",,"30,116,182","41,284,747",,,"47,563,852","49,939,954",,,,,,,,,,"89,143,312",,,"94,025,520",,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,"2,464,443","2,502,065","510,030","209,599",,,"1,600,423","2,851,822",,"2,762,532","2,560,597",,"2,287,240",,"1,829,727","940,461",,,"2,107,130","2,463,980",,,"3,481,190","3,562,570",,,"3,464,260","3,464,780",,"1,793,300","3,669,570","3,560,422","1,732,420",,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,"510,030","209,599","162,965",,"77,204","65,521","74,530",,,,"107,564",,"109,715","306,246","334,820",,,"564,280","619,680","3,445,130",,"826,880","3,593,480","3,440,890",,14193.650,"3,654,850",,"1,151,790","1,225,048",,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"282,370",,,"316,530",,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,"150,000","165,137","163,737",,"163,737","162,817","163,082","162,852",,,"193,353",,"166,488","166,488","137,390",,,"158,090","296,190","736,450",,"689,640","659,340","541,210",,"495,130","414,700","405,770","386,950","309,547","281,890",,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,"1,655,273",,"1,600,423","1,592,742","2,118,194","1,783,096",,,"1,453,443",,"1,081,322","940,461","1,283,280",,"1,244,870","1,435,640","1,500,940","1,676,550",,"1,662,260","1,701,500","1,524,120",,"1,493,370","1,870,110","1,793,300","1,809,040","1,709,205","1,732,420",,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,"505,028","515,649","468,048","452,870","429,780",,"319,267","283,587","302,271","245,160","235,075",,"315,880",,"573,411","743,945","723,520",,"437,450","825,110","512,140","49,090","564,360","657,890","1,268,410","1,413,190","111,950","1,503,080","2,021,590","1,927,930","2,064,250","1,959,345","1,879,420",,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,"1,015,661","1,050,649","905,513","926,296","937,984",,"947,629","961,532","1,489,116","1,409,439","1,561,801",,"2,226,573",,"2,509,682","4,203,485","4,403,920",,"5,254,370","5,962,990","6,455,680","6,914,480","7,250,160","7,495,410","1,985,340","8,528,590","8,926,400","9,744,110","11,212,840","11,584,690","11,874,630","12,226,754","13,415,210",,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,"1,466,442","51,465","103,393","157,572","1,604,364","57,119","121,031","1,732,740","3,365,810","85,396","2,516,794",3.5,"485,099",,"238,783","47,627","5,038,678",,"294,511","461,032","7,413,690","8,002,917","8,134,528","8,233,974","8,140,654","10,052,044","10,976,942","12,263,865","16,372,924","224,356","16,120,295","16,604,279","189,615",,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,"284,378","275,958","255,939","244,466","231,580",,"226,491","218,817","685,421","695,354","686,813",2.6,"687,732",,"713,761","841,840","822,398",,"910,642","903,197","904,903","945,998","952,510","959,553","947,349","957,451","990,010","987,507","1,060,509","1,104,140","1,162,988","1,171,123","1,363,872",,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,"19,962",,2.7,"221,807",,"98,595","98,595",,,"97,359","123,613",,,,,,,,,,"144,690",,,"91,917",,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,"245,049","411,998","302,027","369,046","245,543",,"360,846","432,351","521,804","1,286,533","1,271,586",3,"1,022,405",,"879,282","1,692,051","1,439,879",,"1,282,227","1,917,707","1,180,999","1,184,962","1,447,150","1,831,427","1,707,349","1,518,133","1,635,672","2,417,127","2,590,755","2,944,588","2,917,541","3,398,345","2,675,930","4,138,366",,,,,,,,,,,,,,,,,,,,,,
