,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
,,,,,,,,,,54813,"54,816",48927,"152,121","135,561","195,751","221,039",289630,"165,067","212,979",280318,592517,"654,193",531249,647359,"930,536","1,084,078","982,736","1,938,936",2230464,1580558,"1,898,970","2,169,513",2366024,1477909,1927117,2202866,2565015,1990622,2483389,3145293,4150592,"2,811,625",3420093,3239979,"4,637,000",5783504,4577364,2739654.72,3215166.232,4073703.728,7585890.368,9241623.979,8518987.48,9416295.931,7918041.389,8107900.321,8407606.172,8944063.662,9610303.764,10309722.03,10693206.96,12194254.44,18807678.42,19627395.22,,,,
debenture and bond,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,"400,000","400,000","400,000",400000,"400,000","400,000","400,000","400,000","400,000",400000,"400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000",400000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
borrowings,,,,,,,,,,723900,"784,600",952610,"339,160","393,330","826,393","497,545","401,789","15,660",-,"165,602","87,321","74,880","105,553",94143,"107,043",189221,"336,289","167,014","143,661",893624,"142,511","89,565","103,318","70,086","2,514,674",2761078,"2,400,000",-,"1,100,000","78,451","363,765","667,600","3,663,471","1,552,487","200,000","2,297,296","3,899,825",1992468.515,2079559.63,4581023.015,3606571.643,3573845.642,3914493.367,903139.365,2116340.9,1959861.05,2086940.861,3008867.487,3055029.843,2604555.138,3513138.132,1323311.971,3941232.435,3995028.968,,,,
deposits,,,,,,,,,,11437018,"13,038,917",13444069,15031548,"14,943,785","14,449,633","14,705,942",15066490,"16,323,954","17,498,446","18,947,604",26933768,"28,103,842","29,365,782",30335172,"34,111,466","35,355,206","36,975,765","49,399,403",52292058,53894763,"55,202,615","57,737,170",60175984,"63,093,539","63,821,198",64689228,74635634,"79,507,539","84,046,017",85749696,101124969,"105,102,190","100,415,422",102827912,"106,831,709","111,896,326","113,742,449",117640262.1,120857969,129966684.4,197889045.7,202681233.9,212949111.6,225340495.1,235457327.6,245803478.4,270114842.7,269462839.8,274285805.6,271657502,280058542.9,282161928.3,406290700.6,412474430.3,,,,
income tax liability,,,,,,,,,,18132,"10,008",29546,"4,931","37,667","56,766","67,604",-,-,44980,73840,-,-,-,-,-,71605,174625,41467,385823,91944,"228,089",343261,427413,131789,324233,439561,591219,176543,374166,618397,875350,"149,062",408927,623441,"924,950",-,-,787027.321,1173675.921,327095.886,971794.012,1401355.126,1328560.105,451481.532,1002787.633,1543593.348,1940186.246,543423.894,1134381.755,1667942.315,2428362.225,533908.034,1366454.407,1842212.14,,,,
other liabilities,,,,,,,,,,286003,"347,788",581803,"241,918","764,143","431,878","631,786","673,082","718,556","820,457","680,524","998,660","1,854,227","2,126,547",1424042,"2,098,439","1,902,834","1,643,404","2,634,782","2,706,929",2345003,"2,521,437","3,008,758","2,515,710","3,056,288","3,293,565","7,501,970","3,819,109","5,096,121","3,996,755","4,317,796","6,572,934","7,446,457","5,580,207","5,828,582","5,831,149","4,286,374",4020981,2388745.72,2522597.332,3423862.812,4984241.059,4973735.968,3819586.904,5050497.196,5913656.185,4823256.951,5349509.073,10534569.1,6604008.105,7008322.264,7278083.898,8333354.146,12958067.3,9989288.893,,,,
total assets,,,,,,,,,,13562178,"15,584,617",16451031,"17,243,028","17,747,836","17,459,569","17,623,916","17,930,991","18,823,237","20,178,314","21,749,340","31,197,078","33,271,954",34779488,35153273,"40,065,622","41,421,082","43,293,677","58,951,807","62,313,673",64261817,"65,450,039","68,805,589","71,045,925","74,437,291",78488505,"84,206,499","90,627,981","94,371,656",100605533,"101,609,015","121,652,930","125,558,244",122873003,"124,161,722","129,574,081",133654036,"137,062,107",147236169.3,151229846,166709096.6,266054868.3,268721512.7,277083719.9,289504536.1,306451618.7,325317478.7,351007610.8,356997805.8,363538020.7,360181933.8,365783857.2,362634893.5,509987053.5,513891721.8,,,,
loan and advancements,,,,,,,,,,9935752,"11,898,069",12247435,12008775,"12,805,039","12,910,088","12,892,359",12779175,"13,442,150","14,857,508",15212014,20764481,"22,968,612",23916581,24907037,"26,991,614","28,595,963","30,116,182","41,284,747",43001398,45534760,"47,563,852","49,939,954",50226650,52101687,54984978,57341984,60841364,67164474,71516372,73135215,81171884,"89,143,312",88557435,89749559,"94,025,520",100848641,104616757,109423294.3,115645552.5,125362497,200421121.6,204723477.3,199166632.4,205940226.5,215864041.5,236574126.8,243549368.6,268500289.7,273285696.9,277203653.5,275387570.7,278531497.3,383191369,381011422.5,,,,
interest income,,,,,,,,,,280354,"593,572",998278,"1,465,260","489,515","976,127","1,458,819","1,857,553","534,914","1,047,078","1,601,449","2,966,892","775,372","1,559,294",2352657,"3,205,206","858,508","1,759,963","2,655,970","3,809,521",1158058,"2,294,772","3,448,960","4,660,495","1,174,693","2,402,287","3,626,918","4,988,277","1,423,185","3,007,510","5,050,508","7,452,050","2,692,313","5,500,777","8,327,831","11,567,657","3,237,242","6,564,734",3442264.534,3821454.367,3986852.344,4917097.929,6107934.199,5968589.807,5973663.412,5385727.732,5310557.54,5493464.946,6410905.855,7156715.136,8026790.88,9455950.478,9857704.082,10336308.51,14690683.22,,,,
interest expense,,,,,,,,,,184385,"409,166",667437,"962,010","312,920","622,418","941,831","1,182,000","369,224","743,191","1,139,225","2,037,418","492,802","927,965",1355985,"1,826,785","504,568","970,192","1,425,601","2,052,545",596092,"1,140,766","1,718,055","2,371,095","587,949","1,077,645","1,553,323","2,082,373","596,239","1,317,745","2,373,427","3,810,308","1,985,569","3,740,695","5,671,540","7,663,697","2,010,157","4,128,232",2085637.792,2277265.923,2356736.202,2859152.929,3578593.02,3704977.155,3298810.405,3136461.703,3054899.169,3252950.727,3913000.868,4565955.555,5220494.367,6015286.455,6517653.263,6871793.31,9292080.29,,,,
net interest income,,,,,,,,,,95969,"184,406",330841,"503,250","176,595","353,709","516,988","675,553","165,690","303,887",462224,"929,474","282,570",631329,996672,"1,378,421","353,940","789,771","1,230,369","1,756,976",561966,"1,154,006","1,730,905","2,289,400","586,744",1324642,2073595,"2,905,904","826,946",1689765,2677081,"3,641,742","706,744",1760082,2656291,"3,903,960",1227085,"2,436,502",1356626.742,1544188.444,1630116.142,2057945,2529341.179,2263612.652,2674853.007,2249266.029,2255658.371,2240514.219,2497904.987,2590759.581,2806296.513,3440664.023,3340050.819,3464515.203,5398602.926,,,,
