,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,652,318","4,127,075","4,695,325","5,138,446","3,907,705","4,569,252","9,884,244","10,620,532","8,400,063","9,299,557","10,092,513","11,966,239","9,118,381","9,965,124","10,978,222",,,,"10,556,402","10,955,360","10,837,039","10,092,409","11,566,687","11,405,356","12,005,183","12,154,530","12,950,115","14,270,157","14,234,453","14,122,145","14,380,301","14,709,216","15,131,758",,,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,800,000","1,800,000","1,800,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,250,000",,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"407,821","318,804","288,750","263,116","274,548","783,549","280,636","250,480","1,049,775","255,409","241,089","241,324","242,967","1,438,272","2,692,048",,,"1,582,673",,,,,,,,,,,,"3,547,500","3,648,000","3,825,000","2,752,500.00",,,,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69%,3.60%,3.67%,3.63%,3.49%,3.16%,2.65%,2.76%,2.89%,3.53%,,5.84%,6.08%,6.21%,,,,"142,067,853","141,994,242","149,336,508","151,256,195","149,942,120","156,752,753","166,338,554","184,734,271","166,334,696","165,948,007","174,525,590","170,750,893","173,657,405","179,885,038","184,778,724","192,297,694",,,,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,099","5,409","6,884","3,432","78,292","1,464","5,084",,"240,237","60,599","10,661",,"228,033","27,476","42,034","268,726",,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,726,464","3,341,738","2,995,511","7,198,391","3,730,600","3,253,746","21,863,231","3,142,442","12,727,171","6,984,095","7,628,691","6,313,019","8,963,955","5,555,415","6,649,588",,,,"6,178,172","3,815,754","3,818,978","4,396,906","4,057,034","3,708,087","4,257,211","5,258,344","5,571,651","6,542,356","7,707,340","4,693,471","5,186,343","8,816,791","6,087,665",,,,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,426,147","94,289,697","95,709,057","109,555,249","111,784,656","114,568,594","153,458,044","131,423,493","145,419,887","143,460,113","148,045,341","154,787,342","161,782,594","158,956,970","162,604,781",,,,"179,300,411","186,976,580","187,910,090","189,137,864","196,786,340","204,323,462","224,868,971","212,828,615","218,330,978","230,772,920","235,540,000","233,680,410","239,140,389","247,790,339","254,241,935",,,,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"705,518","1,441,322","2,207,176","2,986,268","655,089","1,674,773","2,714,987","3,958,288","1,132,149","2,378,215",3.2,"4,944,459","1,341,894","2,715,929","4,155,245",,,"7,644,899","3,808,827","3,567,899","3,905,128","3,869,054","3,835,868","3,657,292","4,008,855","3,331,000","3,192,133","3,265,259","3,361,287","3,662,742","4,393,615","5,501,768","5,890,289",,,,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"668,168","1,336,255","2,021,713","2,807,166","787,713","1,519,910","2,178,861","2,850,423","767,713","1,665,341","2,857,502","4,441,059","1,881,278","3,704,187","5,602,743",,,"4,292,444","2,198,463","2,306,325","2,357,499","2,312,801","2,343,053","2,408,582","2,354,610","1,960,239","1,856,561","1,946,683","2,063,497","2,507,572","2,878,024","3,434,253","3,735,577",,,,,,
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"705,518","1,441,322","2,207,176","2,986,268","655,089","1,674,773","2,714,987","3,958,288","1,132,149","2,378,215",3.2,"4,944,459","1,341,894","2,715,929","4,155,245",,,"3,352,455","1,610,364","1,261,574","1,547,629","1,556,253","1,492,815","1,248,709","1,654,246","1,370,760","1,335,572","1,318,577","1,297,790","1,155,171","1,515,592","2,067,515","2,154,713",,,,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228,933","341,109","255,660","317,368","343,998","353,157","243,971","269,306","347,875","412,319","388,238","337,772","319,504","1,496,220","369,001",,,,,,
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"977,506","2,006,809","3,087,717","4,205,394","985,817","2,324,680","3,806,098","5,486,787","1,605,019","3,335,508",.3.33.43.5,"6,885,567","1,818,380","3,745,786",.3.33.43.5,,,"4,452,795","2,098,357","1,943,010","2,137,161","2,119,389","2,111,195","1,805,960","2,148,953","1,866,993","2,316,251","2,374,514","2,070,474","1,765,374","2,016,391","3,690,204","2,755,007",,,,,,
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,322","223,905","337,228","492,081","124,072","250,115","378,570","589,760","151,293","305,239","457,330","701,960","201,090","403,389","611,716","937,625",,,"345,481","432,229","394,356","393,474","395,210","293,554","352,275","426,838","479,821","525,372","449,442","420,580","442,353","694,890","517,213",,,,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"858,047","573,300","1,167,773","1,196,178","1,206,320","104,148","921,407","1,428,340","1,851,647","1,193,399","1,310,926","1,125,530","1,235,915","3,135,300","1,650,467",,,,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"488,412","965,427","1,531,420","1,974,541","429,777","1,091,323","1,862,552","2,598,840","770,146","1,640,294","2,377,699","3,296,980","911,396","1,856,639","2,868,649","3,624,838",,,"620,529","919,857","813,446","840,199","859,023","103,056","644,943","946,379","1,320,810","942,515","919,456","738,212","885,797","1,645,992","1,189,806",,,,,,
capital fund to rwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00%,11.92%,11.88%,11.99%,11.31%,11.69%,16.12%,16.19%,13.93%,14.28%,13.78%,14.47%,12.78%,13.07%,13.25%,13.34%,13.02,11.9,11.97,13.65,13.17,13.37,12.59,13.23,12.63,13.98,14.78,14.64,14.52,14.5,14.79,15.99,15.44,,,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03%,1.21,2.04,3.04,2.78,2.84,2.9,2.67,2.91,2.8,2.75,2.32,2.46,2.27,20.6,2.2,1.47,1.57,,,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69%,3.60%,3.67%,3.63%,3.49%,3.16%,2.65%,2.76%,2.89%,3.53%,,5.84%,6.08%,6.21%,,,,6.59,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49%,6.07%,6.16%,6.54%,5.83%,5.45%,4.80%,5.08%,5.22%,5.69%,6.89%,8.36%,8.91%,9.00%,9.12%,9.02%,9.03,8.96,8.54,8.33,8.48,8.53,8.53,7.51,7.34,6.56,5.95,5.74,6.09,7.21,8.06,8.54,9.18,,,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.0,,,,373.0,431.0,414.0,485.0,466.0,460.0,460.0,460.0,460.0,265.0,265.0,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.20%,21.70%,21.57%,19.93%,16.77%,20.00%,14.49%,14.54%,18.01%,18.22%,,15.55%,18.46%,17.95%,,16.13%,16.18,16.11,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.43,2.27,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.01%,77.25,76.43,76.19,72.97,75.62,75.39,75.35,72.93,73.68,74.07,79.05,75.12,95.37,95.69,92.43,85.14,86.12,,,,,,
