Particulars,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079
reserves,"3,652,318","4,127,075","4,695,325","5,138,446","3,907,705","4,569,252","9,884,244","10,620,532","8,400,063","9,299,557","10,092,513","11,966,239","9,118,381","9,965,124","10,978,222","11,733,474",15794148,12075064,"10,556,402","10,955,360","10,837,039","10,092,409","11,566,687","11,405,356","12,005,183","12,154,530","12,950,115","14,270,157","14,234,453","14,122,145","14,380,301","14,709,216","15,131,758"
debenture and bond,"1,800,000","1,800,000","1,800,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,550,000","1,250,000",1250000,1250000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
borrowings,"407,821","318,804","288,750","263,116","274,548","783,549","280,636","250,480","1,049,775","255,409","241,089","241,324","242,967","1,438,272","2,692,048","762,666",1370062,"1,582,673",-,-,-,-,-,-,-,-,-,-,-,"3,547,500","3,648,000","3,825,000","2,752,500.00"
deposits,"74,938,731","79,925,467","81,165,151","90,630,660","95,897,811","98,067,810","112,632,377","108,604,530","112,746,030","116,603,841","119,796,795","125,476,380","131,052,822","129,695,747","130,032,857","139,984,528",141163966,"142,067,853","141,994,242","149,336,508","151,256,195","149,942,120","156,752,753","166,338,554","184,734,271","166,334,696","165,948,007","174,525,590","170,750,893","173,657,405","179,885,038","184,778,724","192,297,694"
income tax liability,"132,099","5,409","6,884","3,432","78,292","1,464","5,084",-,"240,237","60,599","10,661",-,"228,033","27,476","42,034","268,726",-,-,"827,303","852,192","809,344","865,739","886,570","965,958","1,044,056","1,300,863","1,316,158","1,799,337","1,514,089","1,520,073","1,357,808","1,132,627",1051109
other liabilities,"3,726,464","3,341,738","2,995,511","7,198,391","3,730,600","3,253,746","21,863,231","3,142,442","12,727,171","6,984,095","7,628,691","6,313,019","8,963,955","5,555,415","6,649,588","8,600,009",5583249,6073006,"6,178,172","3,815,754","3,818,978","4,396,906","4,057,034","3,708,087","4,257,211","5,258,344","5,571,651","6,542,356","7,707,340","4,693,471","5,186,343","8,816,791","6,087,665"
total assets,"89,426,147","94,289,697","95,709,057","109,555,249","111,784,656","114,568,594","153,458,044","131,423,493","145,419,887","143,460,113","148,045,341","154,787,342","161,782,594","158,956,970","162,604,781","172,806,051",175807025,175671843,"179,300,411","186,976,580","187,910,090","189,137,864","196,786,340","204,323,462","224,868,971","212,828,615","218,330,978","230,772,920","235,540,000","233,680,410","239,140,389","247,790,339","254,241,935"
loan and advancements,"59,818,119","63,744,668","66,149,034","67,690,199","74,110,818","77,482,671","84,374,373","87,009,792","94,445,281","96,709,906","101,946,234","106,683,877","107,968,136","113,671,155","118,860,752","122,388,438",124608346,127416902,128156576,127520390,134592088,137200273,143162811,140377575,144228357,142859119,160982035,161986657,168835827,173827886,173461996,165129087,175657349
interest income,"1,373,686","2,777,577","4,228,889","5,793,434","1,442,802","3,194,683","4,893,848","6,808,711","1,899,862","4,043,556","6,424,193","9,385,518","3,223,172","6,420,116","9,757,988","13,487,574","3,751,680","7,644,899","3,808,827","3,567,899","3,905,128","3,869,054","3,835,868","3,657,291","4,008,856","3,330,999","3,192,133","3,265,260","3,361,287","3,662,743","4,393,616","5,501,768","5,890,290"
interest expense,"668,168","1,336,255","2,021,713","2,807,166","787,713","1,519,910","2,178,861","2,850,423","767,713","1,665,341","2,857,502","4,441,059","1,881,278","3,704,187","5,602,743","7,719,205",2156785,"4,292,444","2,198,463","2,306,325","2,357,499","2,312,801","2,343,053","2,408,582","2,354,610","1,960,239","1,856,561","1,946,683","2,063,497","2,507,572","2,878,024","3,434,253","3,735,577"
net interest income,"705,518","1,441,322","2,207,176","2,986,268","655,089","1,674,773","2,714,987","3,958,288","1,132,149","2,378,215","3,566,691","4,944,459","1,341,894","2,715,929","4,155,245","5,768,369",1594895,"3,352,455","1,610,364","1,261,574","1,547,629","1,556,253","1,492,815","1,248,709","1,654,246","1,370,760","1,335,572","1,318,577","1,297,790","1,155,171","1,515,592","2,067,515","2,154,713"
net fee and commission income,"129,130","239,478","388,449","514,080","135,193","278,076","494,496","640,741","199,524","439,982","695,769","909,419","236,428","537,699","765,496","983,918",255340,572957,"228,933","341,109","255,660","317,368","343,998","353,157","243,971","269,306","347,875","412,319","388,238","337,772","319,504","1,496,220","369,001"
