Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,588,197,210","8,823,890,014","10,892,690,469","8,190,452,097","7,025,294,532","9,261,488,744","10,675,574,491","11,716,214,021","7,700,644,421","7,590,686,653","7,537,892,422","7,205,931,859","12,316,170,973","17,614,124,823","14,088,171,096","20,587,480,119","16,640,282,478",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,174,429,835","3,580,514,349","2,052,973,732","4,236,160,520","3,841,434,829","5,914,624,916","4,195,574,505","6,197,835,818","4,489,076,329","8,486,453,288","6,583,491,426","6,469,821,271","5,966,846,120","5,473,992,720","7,322,470,670","11,012,266,600","11,238,914,339",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"776,437,164","384,382,797","354,500,180","602,645,759","2,073,145,784","852,447,642","2,435,559,555","221,480,796","3,836,558,583","4,840,700,494","6,189,685,409","4,310,977,725","3,161,477,121","1,945,942,959","76,599,320","2,763,052,550","174,803,840",,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,474,304,545","5,631,401,207","5,670,066,158","7,369,687,548","7,926,126,162","8,155,013,932","10,576,912,309","9,667,770,689","42,722,602",,"167,217,357","152,433,555","28,699,797",,"188,838",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,598,801,776","73,120,310,169","77,248,479,883","80,925,265,576","89,705,014,570","111,092,705,896","110,325,268,111","114,738,986,815","129,041,585,789","137,998,572,212","152,376,169,775","155,962,076,519","155,933,556,065","153,369,812,601","155,820,723,891","275,761,355,553","275,855,911,801",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,746,683,895","9,301,568,177","9,293,757,685","9,903,125,002","11,688,522,669","12,938,179,956","18,958,442,891","18,996,039,398","20,089,290,046","22,799,302,119","20,194,079,627","20,636,850,966","21,002,270,307","23,188,421,712","25,230,942,481","39,923,186,581","45,622,746,692",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,609,853","16,114,389",,"50,518,788",,"328,364,358","76,267,491","9,241,383","22,162,135","317,426,017","69,279,716","307,438,581","297,084,102","345,164,953","102,375,010","399,637,528","935,341,633",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,445,600","68,240,600","73,599,392","81,698,424","73,599,392","243,668,476","270,629,956","314,440,546","350,106,658","420,825,354","369,233,513","427,487,181","482,632,728","514,550,183","579,836,855","587,594,038","580,585,940",,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134,171,003","88,422,015","25,528,354","25,528,354","25,528,354","60,348,333","97,800,444","73,354,698","99,105,416","99,105,416","199,211,755","212,517,557","225,435,756","144,491,994","144,491,994","1,135,157,165","1,098,715,008",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"478,709,222","661,726,420","727,800,422","787,036,767","901,718,213","1,279,907,280","1,372,077,849","1,300,589,343","1,248,191,506","1,284,667,941","1,255,103,688","1,246,738,549","1,219,667,893","1,194,671,653","1,185,663,447","2,616,889,093","2,614,621,076",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,884,008","97,393,607","99,893,259","99,411,331","94,896,418","123,105,625","139,845,955","218,477,906","209,037,632","198,985,021","188,992,066","179,470,950","170,993,838","163,212,113","152,690,261","341,966,166","382,065,206",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,804,087","77,930,975","75,449,758","83,195,758","140,674,090","8,648,401",,,,,,,,,,,,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,071,169,495","889,934,146","499,750,509","641,126,177","460,464,052","468,733,806","468,113,117","815,177,257","717,367,859","927,442,087","1,752,012,602","742,148,552","1,188,507,855","1,330,826,564","4,225,620,384","6,558,059,097","4,773,536,235",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,590,817,724","100,289,643,743","110,103,984,663","114,847,349,024","124,415,905,407","153,916,672,227","162,031,072,219","168,123,087,679","183,906,017,087","199,752,350,726","201,720,186,990","203,656,636,016","207,681,515,088","211,131,474,491","214,566,486,181","371,182,706,534","369,838,666,601",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,074,390,819","12,146,455,539","10,605,095,659","13,583,340,297","14,636,876,106","7,451,925,496","14,030,069,758","9,525,228,745","15,551,906,465","11,267,538,599","11,563,918,282","8,232,327,224","5,665,952,600","6,042,498,463","5,761,481,523","5,306,295,767","7,947,112,452",,,,
