,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,"662,588","757,975","800,532","635,167","696,001","885,658","905,506","982,658","941,520",,"1,112,426","1,127,739","1,258,353","1,169,283","567,761","716,598","786,272","887,658","974,325","1,139,907","1,003,133","1,388,260","1,501,686","1,643,566","1,143,499",,"2,740,780","2,590,947","2,812,200",,"3,954,897","4,332,841","2,163,705,930","2,149,711,011","2,241,780,679","2,244,887,963","3,050,049,312","3,823,882,514","3,595,456,281","3,503,963,068","3,805,164,192","3,890,352,246","3,942,438,078","4,271,992,994","4,678,323,122","4,617,917,392","5,036,566,462","12,066,549,811","10,486,558,036",,,,
debenture and bond,,,,,,,,,,,,,,,,"400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,"748,985","660,925","520,557","78,126","26,945","5,403",,,,,,,"288,000","201,952","122,570","160,387","2,456","328,000",,"350,000","292,910",,"184,200","1,107,335","1,076,648",,"352,655","323,776","1,467,594",,"2,524,741","1,140,405",,,,,,,,,,,,,,,,,,,,,
deposits,,,,,,,,,,,,,,,,"16,636,573",81.22%,82.02%,77.64%,75.91%,75.63%,78.93%,77.07%,77.95%,"469,915,900",76.45%,74.79%,77.10%,77.37%,75.62%,77.65%,79.63%,74.66%,74.13%,75.35%,76.95%,74.31%,75.77%,77.37%,74.01%,,77.59%,76.82%,78.69%,,79.91%,78.07%,"68,854,311,398","73,201,353,705","78,302,898,866","80,675,255,880","85,506,709,997","116,547,033,196","117,026,017,965","122,728,828,089","127,696,585,854","148,694,070,806","155,182,644,214","159,821,637,177","165,403,677,578","176,767,665,556","173,976,522,976","299,691,753,456","303,286,788,283",,,,
income tax liability,,,,,,,,,,,,,,,,,,"1,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,"383,974","311,084","239,920","276,355","785,732","735,106","965,630","994,161","1,068,730",,"1,060,511","1,205,081","1,341,941","1,154,490","1,306,348","1,181,786","1,344,964","1,117,472","1,153,332","1,148,436","1,116,931","1,003,823","1,370,777","1,536,520","1,192,845",,"2,301,740","1,824,693","2,385,387",,"1,164,902","920,715","1,054,735,336","1,585,598,313","1,012,278,039","1,284,419,464","2,109,018,435","2,114,966,127","1,473,417,749","1,923,028,127","1,830,950,659","2,702,994,416","2,268,822,498","2,654,928,669","2,656,555,260","2,174,199,641","4,209,802,498","8,952,067,672","6,602,897,136",,,,
total assets,,,,,,,,,,,,,,,,"20,317,119","20,601,262","21,454,176","23,084,539","24,178,104","25,615,166","26,417,638","27,403,974","27,937,617",,"29,676,201","31,338,482","31,916,218","31,932,433","34,068,956","34,375,221","35,789,691","38,186,723","39,297,809","39,601,255","39,933,760","43,041,775","46,112,797","46,932,977","45,714,495",,"66,013,600","68,389,870","74,476,420",,"87,305,831","88,867,223","92,590,817,724","100,289,643,743","110,103,984,663","114,847,349,024","124,415,905,407","153,916,672,227","162,031,072,219","168,123,087,679","183,906,017,087","199,752,350,726","201,720,186,990","203,656,636,016","207,681,515,088","211,131,474,491","214,566,486,181","371,182,706,534","369,838,666,601",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,,,"456,470","684,917","166,836","334,840","546,937","819,079","211,802","431,489","693,616",,"157,634","351,795","587,127","835,450","179,779","434,110","670,690","897,989","177,914","464,706","750,480","1,175,433","262,524","555,043","813,786",,"356,747","821,671","1,341,692",,"27,545","3,948",,,"2,638,781,580","2,573,502,549","2,710,886,991","2,685,956,378","3,327,685,069","3,065,698,210",,,,"4,148,084,416","4,954,961,350","5,700,131,836","5,935,386,698","6,884,176,645","10,311,551,082",,,,
interest expense,,,,,,,,,,,,,,,,"1,159,497","1,566,552","390,412","795,060","1,193,633","1,622,492","392,036","743,917","1,094,530",,"425,549","815,550","1,192,733","1,575,312","365,292","714,103","1,072,107","1,507,365","429,247","806,914","1,146,949","1,517,056","412,377","886,024","1,520,680",,"1,059,856","2,110,517","3,345,250",,"1,419,599","2,891,607","1,589,714,008","1,694,248,122","1,714,743,951","1,663,982,564","1,775,951,286","1,803,499,357","2,010,173,303","1,869,409,522","1,786,366,341","2,007,253,008","2,458,175,205","2,803,666,306","3,143,574,215","3,732,388,715","3,951,477,921","4,599,377,586","7,055,107,490",,,,
