Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Average Yield,,,,,,,,,,,,,11.85%,11.80%,11.63%,12.01%,11.19%,11.82%,11.36%,11.37%,10.17%,10.80%,10.63%,10.13%,8.82%,9.82%,10.00%,9.69%,8.28%,8.33%,8.03%,8.10%,,8.06%,7.50%,7.37%,10.14%,8.12%,8.89%,10.31%,10.14%,10.40%,10.37%,10.58%,11.18%,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,10.12%,,9.65%,9.47%,8.89%,9.88%,9.32%,9.41%,7.90%,8.07%,7.96%,7.67%,,7.64%,6.99%,6.65%,10.33%,6.73%,7.58%,9.88%,10.33%,10.66%,10.88%,11.35%,11.48%,11.28%,10.36%,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,"100,000","100,000",,,"27,980",,0,,"27,980","27,980",,,,,,,,,,,,,,,,"100,000","96,047","1,200,000","257,875","638,171","638,171","1,230,117","666,917","2,005,480","3,711,186",,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79%,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,13.21%,13.89%,13.25%,13.23%,11.76%,11.61%,11.17%,11.71%,12.27%,11.30%,12.00%,12.91%,11.99%,10.74%,10.92%,11.37%,10.87%,10.86%,10.39%,10.76%,,10.84%,11.36%,10.41%,14.19%,10.88%,10.89%,11.04%,14.19%,13.37%,13.46%,12.97%,12.54%,12.36%,11.66%,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,"2,627,252",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,139,824",,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,9.15%,8.83%,8.88%,9.17%,8.69%,9.00%,8.92%,8.77%,6.62%,6.70%,5.85%,5.97%,5.05%,6.43%,6.25%,5.92%,4.56%,4.83%,4.71%,4.48%,,4.67%,4.01%,3.94%,7.40%,4.27%,5.25%,6.76%,7.40%,7.46%,7.42%,7.73%,7.95%,7.64%,7.68%,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
