,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,,,"593,429",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,526,270","4,112,239","4,446,137","2,219,387","2,211,507","2,307,929","2,372,143","2,463,960","2,561,921","3,437,619","3,788,505","4,205,889","4,483,579","4,408,910","4,787,065","2,737,632","4,514,550","4,703,798","5,208,849","3,979,273",,,,
debenture and bond,,,,,,,,,,,,,,,,,,"350,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"400,000",,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,"100,000","100,000",,,"27,980",,0,,"27,980","27,980",,,,,,,,,,,,,,,,"100,000","96,047","1,200,000","257,875","638,171","638,171","1,230,117","666,917","2,005,480","3,711,186",,,,,"1,222,837","3,618,808","111,300","124,800","7,542","43,227","60,600","2,357,844","2,562,697","2,841,533","284,778","150,337","1,032,395",,,,
deposits,,,,,,,,,,,,,"18,299,628","16,515,020","17,701,423",,"22,831,843","18,806,560","19,736,755",,"25,960,598","22,644,999","23,716,967",,"30,584,876","26,593,445","28,190,101",,"39,991,815","31,483,017","34,332,432",,,"41,156,443","41,107,485",,"59,320,404","51,584,728","55,554,818",,"59,320,404","58,645,840","60,279,392","63,268,385","67,735,866",78.04%,"75,894,566","79,433,956","75,838,098","83,591,270","89,812,250","98,875,146","102,379,262","102,868,392","106,228,493","108,655,514","116,663,925","120,095,057","133,108,496","137,677,993","139,692,615","142,649,384","148,217,239","152,539,764",,,,
income tax liability,,,,,,,,,,,,,"2,802","2,802",,,,,0,,,,,,,,,"1,6",,,"844,739",1.7,,,"1,018,139",1.7,,,"988,034",1.7,"3,635","2,087,899",,,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,"817,350","767,299",,,"542,686","786,191","618,224","714,875","714,427","777,881",,"769,147","186,327","786,799",,"457,352","974,024",,,"956,605",,,,"1,182,922","1,270,363",,,,"1,270,363",,"1,666,491","1,700,482.35","1,850,887",,,"131,041.02","300,397.98","727,851.46","53,002.81","700,535.71","1,377,778.50","935,269.41","637,145.04","402,345.48","449,694.74","1,269,854.50","3,283,086.30","4,151,879.16","5,419,295.57","1,777,113.57","50,506.72","1,139,288.32",,,,
total assets,,,,,,,,,,,,,"21,757,378","19,645,592","20,827,709","20,670,345",,"22,149,701","22,995,670","23,099,676","30,176,073","26,330,308","28,154,046","28,305,829","34,713,739","30,904,877","32,430,323","33,720,475","45,801,710","36,338,801","39,329,846","41,881,033",,"47,541,496","47,199,037","50,104,539","70,903,814","59,514,285","63,608,810","68,055,656","70,903,814",,"73,091,867","76,989,802","81,401,606",1.41%,"93,915,037","95,806,749","104,517,041","110,971,258","119,399,659","127,820,011","132,435,947","134,585,200","141,011,227","150,269,167","156,383,895","161,787,467","174,221,973","174,933,860","177,657,625","183,656,237","183,022,456","184,031,922",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,"2,233,333","531,348","1,077,068","1,633,685","2,289,360","585,854","331,071","1,699,956","2,376,735","588,400","1,084,841","1,672,887","2,489,315","492,344","1,150,798","1,774,175","2,577,674","571,467","1,180,484","1,805,990",,"734,894","1,478,759","2,197,812","4,682,811","889,521","1,878,038","3,129,433","4,682,811","1,608,874","3,223,479",,294,"740,029","4,207,903","2,316,661","2,779,083","2,607,513","2,652,217","2,740,961","2,705,466","2,564,653","2,374,260","2,391,119","2,530,502","2,760,220","3,075,224","3,670,098","4,638,826","4,840,944","4,697,017","4,933,352",,,,
interest expense,,,,,,,,,,,,,"1,503,851","343,575","714,617","1,097,530","1,645,718","426,463",,"1,226,151","1,451,868","388,670","725,032","1,063,889","1,667,027","432,914","851,002","1,250,010","1,618,131","379,019","751,610","1,147,992",,"474,804","903,143","1,299,882","3,028,184","509,431","1,101,522","1,956,218","3,028,184","1,125,502","2,223,608",,"4,731,489","1,358,724","2,753,572","1,497,143","1,765,767","1,651,844","1,681,253","1,782,911","1,830,761","1,690,100","1,509,599","1,419,583","1,514,161","1,732,909","2,223,371","2,596,540","2,981,657","3,220,120","3,342,589","3,429,306",,,,
