Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,676879,339752,491076,579650,"775,951","593,429",596610,669843,1063988,863347,938414,884725,1256027,1080552,1164474,1260170,1244231,888360,1064806,1368898,1740005,1663282,1634183,1771117,2182759,3356181,3626789,4329849,2331620,2138382,1886146,2169151,"2,526,270","4,112,239","4,446,137","2,219,387","2,211,507","2,307,929","2,372,143","2,463,960","2,561,921","3,437,619","3,788,505","4,205,889","4,483,579","4,408,910","4,787,065","2,737,632","4,514,550","4,703,798","5,208,849","3,979,273",,,,
debenture and bond,,,,,,,,,,,,,350000,350000,350000,350000,"350,000","350,000",350000,350000,750000,350000,624500,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,750000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,"400,000",400000,400000,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,"100,000","100,000",-,-,"27,980",-,-,-,"27,980","27,980",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"96,047","1,200,000","257,875","638,171","638,171","1,230,117","666,917","2,005,480","3,711,186",-,-,-,-,"1,222,837","3,618,808","111,300","124,800","7,542","43,227","60,600","2,357,844","2,562,697","2,841,533","284,778","150,337","1,032,395",,,,
deposits,,,,,,,,,,,,,"18,299,628","16,515,020","17,701,423",17569702,"22,831,843","18,806,560","19,736,755",19670877,"25,960,598","22,644,999","23,716,967",24207876,"30,584,876","26,593,445","28,190,101",29558872,30592046,"31,483,017","34,332,432",36467661,"39,991,815","41,156,443","41,107,485",43711271,"59,320,404","51,584,728","55,554,818",57801175,"59,320,404","58,645,840","60,279,392","63,268,385","67,735,866","69,072,579","75,894,566","79,433,956","75,838,098","83,591,270","89,812,250","98,875,146","102,379,262","102,868,392","106,228,493","108,655,514","116,663,925","120,095,057","133,108,496","137,677,993","139,692,615","142,649,384","148,217,239","152,539,764",,,,
income tax liability,,,,,,,,,,,,,"2,802","2,802",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,635","2,087,899",-,-,-,-,-,"105,238",124886,265867,129214,262540,"210,793","357,918",601083,770386,"900,073",762900,771517,485607,291750,220413,288911,164715,,,,
other liabilities,,,,,,,,,,,,,"817,350","767,299",671690,557471,"542,686","786,191","618,224","714,875","714,427","777,881",1180085,"769,147","186,327","786,799",631667,"457,352",186327,,"844,739","956,605","974,024",932582,"1,018,139","1,182,922",1270363,1134146,"988,034",1165603,"1,270,363",1329135,"1,666,491","1,700,482.35","1,850,887","923,536",1241481,"131,041.02","300,397.98","727,851.46","53,002.81","700,535.71","1,377,778.50","935,269.41","637,145.04","402,345.48","449,694.74","1,269,854.50","3,283,086.30","4,151,879.16","5,419,295.57","1,777,113.57","50,506.72","1,139,288.32",,,,
total assets,,,,,,,,,,,,,"21,757,378","19,645,592","20,827,709","20,670,345",26112374,"22,149,701","22,995,670","23,099,676","30,176,073","26,330,308","28,154,046","28,305,829","34,713,739","30,904,877","32,430,323","33,720,475",34713739,"36,338,801","39,329,846","41,881,033","45,801,710","47,541,496","47,199,037","50,104,539","70,903,814","59,514,285","63,608,810","68,055,656","70,903,814",71371181,"73,091,867","76,989,802","81,401,606","84,735,501","93,915,037","95,806,749","104,517,041","110,971,258","119,399,659","127,820,011","132,435,947","134,585,200","141,011,227","150,269,167","156,383,895","161,787,467","174,221,973","174,933,860","177,657,625","183,656,237","183,022,456","184,031,922",,,,
loan and advancements,,,,,,,,,,,,,15389472,15221047,15579591,15657320,16701214,15796916,16324836,16573358,20101909,18178774,18221769,19150871,23176540,22464801,21907110,22982189,23096491,26446436,28984349,29977351,31746821,33811308,33413527,36680375,52733336,44042709,46710109,50217636,53688975,54948284,55022716,58699279,61996941,64627036,70571251,74424930,"78,790,764",82643255,90000702,96282478,"94,170,446",92559546,98979932,109986076,113107046,122365988,134856296,138182533,138555865,140491703,138856257,140447472,,,,
interest income,,,,,,,,,,,,,"2,233,333","531,348","1,077,068","1,633,685","2,289,360","585,854","1,158,098","1,699,956","2,376,735","588,400","1,084,841","1,672,887","2,489,315","492,344","1,150,798","1,774,175",2489315,"571,467","1,180,484","1,805,990","2,577,674","734,894","1,478,759","2,197,812","4,682,811","889,521","1,878,038","3,129,433","4,682,811","1,608,874","3,223,479",4950044,7012748,"740,029","4,207,903","2,316,661","2,779,083","2,607,513","2,652,217","2,740,961","2,705,466","2,564,653","2,374,260","2,391,119","2,530,502","2,760,220","3,075,224","3,670,098","4,638,826","4,840,944","4,697,017","4,933,352",,,,
interest expense,,,,,,,,,,,,,"1,503,851","343,575","714,617","1,097,530","1,645,718","426,463",827027,"1,226,151","1,451,868","388,670","725,032","1,063,889","1,667,027","432,914","851,002","1,250,010",1667027,"379,019","751,610","1,147,992","1,618,131","474,804","903,143","1,299,882","3,028,184","509,431","1,101,522","1,956,218","3,028,184","1,125,502","2,223,608",3400488,"4,731,489","1,358,724","2,753,572","1,497,143","1,765,767","1,651,844","1,681,253","1,782,911","1,830,761","1,690,100","1,509,599","1,419,583","1,514,161","1,732,909","2,223,371","2,596,540","2,981,657","3,220,120","3,342,589","3,429,306",,,,
net interest income,,,,,,,,,,,,,"729,482","187,773","362,451","536,155","643,642","159,391","331,071","473,805","924,867","199,730","359,809","608,998","822,288","59,430","299,796","524,165",822288,"192,448","428,874","657,998","959,543","260,090","575,616","897,930",1654627,"380,090","776,516","1,173,215","1,654,627","483,372","999,871",1549556,"2,281,259","-618,695","1,454,331","819,518","1,013,316","955,669","970,964","958,050","874,705","874,553","864,661","971,536","1,016,341","1,027,311","851,853","1,073,558","1,657,169","1,620,824","1,354,428","1,504,046",,,,
net fee and commission income,,,,,,,,,,,,,67796,14076,31541,52123,150843,34661,55138,72105,141578,40320,65971,93805,203844,69157,100673,138478,194606,63521,114726,160448,226316,64906,113295,173102,270939,54294,113922,187801,293318,68321,149879,210542,303573,140300,2007003,"187,917","287,510","200,399","256,684","196,794","170,439","227,039","260,714","300,802","282,753","313,769","292,314","295,180","262,415","267,958","242,613","253,146",,,,
total operating income,,,,,,,,,,,,,"929,920","235,640","461,434","680,983","957,801",235019,"475,059","690,903","1,266,829","288,909","514,440","843,470","1,240,978","184,041","506,652","823,994",1240978,"314,641","677,274","1,007,981","1,447,266","392,983","824,441","1,279,414","2,346,815","534,386","1,082,521","1,645,134","2,346,815","658,040","1,390,145","2,145,614","3,177,600","1,010,219","2,007,003","1,142,955","1,400,922","1,297,569","1,344,088","1,233,291","1,175,924","1,319,493","1,336,017","1,514,504","1,507,987","1,684,452","1,382,682","1,314,605","2,006,606","1,982,643","1,763,196","1,815,756",,,,
staff expenses,,,,,,,,,,,,,"157,662","39,648","76,191","114,271","178,285","47,190","88,353","128,686","207,373","58,408","103,143","142,451","239,997","51,826","113,740","160,514",239997,"54,240","128,730","202,964","272,858","76,826","154,059","232,168","413,382","84,265","182,658","290,475","413,382","120,313","248,781","384,899","578,859",205738,460752,"287,451","407,510","342,556","358,607","320,956","375,882","367,312","402,519","407,507","420,355","472,443","431,883","410,653","803,347","506,941","526,183","474,398",,,,
operating profit,,,,,,,,,,,,,589341,154636,296483,437025,556646,143119,270388,384913,682613,132088,236084,408277,670507,7913,206031,347057,734841,67847,246214,338767,642381,158675,404429,615981,1358596,189608,489502,736204,1559051,184851,690592,1109414,1680903,471455,1078322,"490,200","895,493","640,367","764,715","308,562","566,668","512,949","788,067","793,138","433,477","852,450","440,676","213,007","1,054,783","716,558","783,226","438,570",,,,
non operating income expense,,,,,,,,,,,,,874,271,637,654,"5,834",10,"2,656","3,398","12,972",0,0,"8,769","26,253",243,"6,141","6,189",26253,"14,387","16,459","22,672","23,888",107,"17,991","18,032","160,872","23,863","86,486","95,351","160,872","96,556","126,144","154,827","164,289",38574,"44,334",-2945,728,-15439,-20333,-4757,"9,620",10002,2033,3650,1303,359,-26,37,-26784,8890,-5211,-230699,,,,
profit for the period,,,,,,,,,,,,,"377,586","100,458","191,782","280,357","356,172",93089,"277,876","250,064","450,205",87178,"162,245","277,964","471,851","5,190","145,822","233,566",471851,"52,330","177,182","240,033","411,968","101,043","303,254","440,187","1,002,477","135,845","406,393","569,100",1101074,"170,988","519,270","802,633",1166344,303017,723791,288621,"575,298",437450,544241,211532,"385,794",357834,566918,560755,300347,608342,321909,96273,762684,506632,570361,121409,,,,
capital fund to rwa,,,,,,,,,,,,,13.21%,13.89%,13.25%,13.23%,11.76%,11.61%,11.17%,11.71%,12.27%,11.30%,12.00%,12.91%,11.99%,10.74%,10.92%,11.37%,11.99,10.86%,10.39%,10.76%,10.87%,10.84%,11.36%,10.41%,14.19%,10.88%,10.89%,11.04%,14.19%,13.37%,13.46%,12.97%,12.54%,12.36%,11.66%,11.64%,11.38%,11.93%,13.13%,12.67%,12.45%,13.16%,12.74%,11.67%,11.81%,12.82%,12.14%,12.44%,12.68%,12.69%,12.89%,13.07%,,,,
non performing loan to total loan,,,,,,,,,,,,,0.90%,0.87%,0.82%,0.96%,0.62%,1.01%,1.26%,1.73%,1.26%,1.21%,1.30%,1.41%,1.15%,2.04%,2.14%,2.21%,1.15,1.69%,1.18%,1.33%,1.30%,0.91%,1.14%,1.28%,0.93%,1.68%,1.31%,1.79%,0.93%,1.78%,1.29%,1.16%,1.29%,1.5,1.11%,1.21,1.12,1.05,0.92,1.76,1.09,1.03,0.82,0.84,1.32,0.67,0.97,1.2,1.01,1.86,1.76,2.14,,,,
