Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,"19,440,258","20,760,100","20,896,346","21,337,370","22,126,392","21,777,703","21,290,317",,"19,688,418","20,537,469","21,093,115","25,132,517",,,"28,601,973","30,867,958","32,936,307","35,359,425","38,650,386","41,287,852","42,375,788","45,257,097","47,311,687","49,333,182","51,757,678",,,"60,042,834","66,643,907","67,583,586","68,735,591","69,591,181","72,057,311","78,935,609",,"85,389,009","94,135,270",,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,"1,479,131","1,479,131","1,479,131","1,479,270","1,627,197","1,627,197","1,627,197",,"1,627,197","1,627,197","1,627,197","2,478,795",,,"2,478,795","2,478,795","2,478,795","2,478,795","2,478,795","2,478,795","2,776,250","2,776,250","2,776,250","2,951,083","3,141,684",,,"3,864,540","4,666,430","4,666,430","6,598,700","6,598,700","8,039,619","8,055,693",,"8,055,693","8,055,693",,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,"238,455","325,025","316,813","348,974","155,725","159,178","156,692",,"178,977","156,296","161,926","168,196",,,"323,298","317,327","384,730","638,099","639,284","768,595","649,750","999,920","1,271,399","1,072,894","1,241,059",,,"1,511,453","920,723","2,423,893","1,758,407","2,516,724","1,228,127","1,449,914",,"2,188,718","2,692,869",,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,"1,039,430","2,812,708","1,590,000","150,000","493,763","673,400","743,369","1,251,242","449,088","433,104","34,442","3,112",,,"168,279","61,017","33,435","2,502",,,,,,689,,,,"1,234,291","1,553,816","341,816","633,978","160,703","168,327","1,699,305",,"637,802","1,930,519",,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,"16,420,185","15,347,019",84.17%,73.60%,74.74%,79.82%,82.42%,81.11%,75.35%,72.05%,68.46%,66.63%,,,73.07%,72.37%,74.87,"31,114,276",74.75%,73.29%,74.79%,78.66%,78.43%,"44,205,637",75.92%,,,76.26%,76.08%,79.59%,77.89%,76.58%,79.53%,79.57%,,76.13%,78.92%,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,"15,911,547","14,962,311","16,461,000","18,089,410","18,614,795","17,669,150","17,198,119",,"16,275,275","17,016,658","17,900,581","21,289,312",,,"24,332,745","26,752,773","28,536,067","30,470,226","33,138,019","35,968,911","36,170,375","37,979,744","39,846,571","42,563,890","43,031,700",,,"50,544,903","57,411,737","57,229,942","57,214,493","57,214,540","58,905,355","64,876,006",,"72,101,885",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,"508,638","384,708","147,624","446,801","268,816","452,448","412,519",,"321,388","330,678","243,261","255,968",,,"408,190","385,102","361,449","644,050","672,976","1,163,181","1,200,866","1,632,123","1,682,472","1,641,748","1,669,325",,,"1,746,974","725,313","1,010,278","833,613","1,414,537","1,395,943","922,368",,"372,834",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,"9,408","6,864",,,,,,,"0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,"253,650","789,354","901,777","822,916","966,096","1,196,329","1,152,422",,"836,493","973,538","1,125,707","937,136",,,"890,666","872,944","1,141,831","1,125,754","1,721,312","908,370","1,578,547","1,869,061","1,734,997","1,102,878","2,673,910",,,"1,140,673","1,365,888","1,911,226","1,696,400","1,685,977","2,319,941","1,932,323",,"2,032,076","3,471,326",,,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,"19,440,258",0.50,"20,896,346","21,337,370","22,126,392",0.02%,"21,290,317",,"19,688,418","20,537,469","21,093,115","25,132,517",,,0.34%,0.48%,,"35,359,425",1.10%,1.09%,1.80%,1.52%,1.24%,"49,333,182",1.34%,,,1.49%,1.48%,1.70%,1.95%,1.87%,1.56%,1.20%,,1.42%,"94,135,270",,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,"1,835,640","2,286,602","1,963,121","2,459,717","2,470,571","2,323,133","2,168,034",,"2,850,428","3,079,236","3,451,868","5,440,360",,,"3,642,676","5,044,181","5,110,688","5,401,613","6,306,175","6,546,046","5,890,952","5,299,919","6,430,169","8,387,445","7,119,391",,,"7,997,353","8,684,705","7,226,897","8,344,260","9,676,312","8,353,999","7,082,059",,"7,805,425",,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,"480,000","70,000","243,000","661,564","301,575","500,990","676,141",,"46,800","0,000",,"0,000",,,"650,018",,,,"24,800",,,,"0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,"1,938,049","1,859,101","2,108,404","2,096,792","2,749,765","1,813,078","1,438,452","1,409,556","1,282,391","1,832,119","1,989,116","1,705,425",,,"2,485,618","2,418,647","2,397,090","2,654,579","2,195,203","3,461,204","3,972,226","3,098,215","3,337,201","4,479,041","4,523,504",,,"6,007,962","6,129,654","6,384,757","5,098,598","6,132,981","7,199,994","9,233,075",,"10,702,913",,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,"14,086,798","15,386,502","15,349,808","14,972,534","15,465,117","15,857,339","15,618,282",,"13,830,498","13,773,921","13,631,491","16,105,660",,,"20,069,529","21,648,499","23,492,657","25,270,092","27,535,064","29,541,409","30,448,980","33,649,350","35,098,975","34,819,452","36,967,816",,,"44,234,232","49,874,341","51,853,541","53,058,958","51,866,770","54,421,881","60,265,569",,"64,365,665",,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,"799,395","780,724",,,,,,"1,943,304",,,"2,691,329","2,300,212","1,060,810","982,250","2,355,307","1,034,199","1,042,135","2,481,469","2,178,469","1,207,938","1,293,135",,,"1,370,815","1,971,908","3,421,025","2,191,635","2,165,198","3,845,579","2,374,744",,"2,821,492",,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,"799,395","780,724",,,,,,,,,,,,,,,,,,,"301,030",,,,,"701,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,"480,873","501,389","535,269",,,,,"562,971",,,,,"628,750","631,506",,"517,426","454,585",,,"285,622","49,176",,,"119,954","144,783",,"216,748","261,467",,"353,289",,"429,460",,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,"138,422",,"129,560","130,135","139,154","132,218",,,"496,119","493,553","506,640","622,432","577,469","495,261","501,202","489,381","481,577","687,520","688,324",,,"368,708","297,402","368,681","362,177","354,001","618,550","607,030",,"501,161",,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,,,,"1,943,304",,,,,"1,060,810","982,250",,"1,034,199","1,042,135",,,"1,207,938","1,293,135",,,"1,370,815","1,971,908",,"2,191,635","2,165,198",,"2,374,744",,"2,821,492",,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,"65,918","68,267","54,347","54,913","32,770","30,570",,"31,940","24,972","23,992","128,662",,,"97,240","108,527","134,880","147,389","139,645","263,862","177,616","199,426","178,541","124,519","126,166",,,"65,751","31,801","34,476","36,420","121,132","229,608","384,338",,"228,728",,,,,,,,,,,,,,,,,,,,,,,
