,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,"238,455","325,025","316,813","348,974","155,725","159,178","156,692",,"178,977","156,296","161,926","168,196",,,"323,298","317,327","384,730","638,099","639,284","768,595","649,750","999,920","1,271,399","1,072,894","1,241,059","1,441,269","2,133,673","1,511,453","920,723","2,423,893","1,758,407","2,516,724","1,228,127","1,449,914",,"2,188,718","2,692,869",2272465.0,"1,458,024,901","1,451,536,365","2,067,505,108","2,054,968,631","2,799,993,374","2,157,906,657","2,390,891,099","2,462,148,399","2,579,606,493","2,559,593,379","2,892,638,831","2,863,190,630","3,200,380,123","3,305,726,566","3,533,981,132","4,142,590,832","4,495,893,394",,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,"1,039,430","2,812,708","1,590,000","150,000","493,763","673,400","743,369","1,251,242","449,088","433,104","34,442","3,112",,,"168,279","61,017","33,435","2,502",,,,,,689,,,,"1,234,291","1,553,816","341,816","633,978","160,703","168,327","1,699,305",,"637,802","1,930,519",,,,,,"1,220,500,000","1,214,216,233","29,000,000","32,000,000","1,500,000","10,500,000","11,592,414","9,008,909","24,749,452","83,937,335","40,985,070","24,658,041","2,052,432,822",,,,
deposits,,,,,,,,,,"16,420,185","15,347,019",84.17%,73.60%,74.74%,79.82%,82.42%,81.11%,75.35%,72.05%,68.46%,66.63%,,,73.07%,72.37%,74.87,"31,114,276",74.75%,73.29%,74.79%,78.66%,78.43%,"44,205,637",75.92%,"44,542,813","48,438,647",76.26%,76.08%,79.59%,77.89%,76.58%,79.53%,79.57%,,76.13%,78.92%,85176247.0,"80,963,151,872","84,991,104,699","91,063,536,211","97,316,686,366","99,654,683,595","103,900,036,875","111,688,703,936","118,051,723,449","125,307,438,740","131,449,765,974","130,542,831,029","137,397,426,324","140,982,622,948","144,927,851,207","144,807,170,069","150,468,769,789","150,836,803,422",,,,
income tax liability,,,,,,,,,,"9,408","6,864",,,,,,,"0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,"253,650","789,354","901,777","822,916","966,096","1,196,329","1,152,422",,"836,493","973,538","1,125,707","937,136",,,"890,666","872,944","1,141,831","1,125,754","1,721,312","908,370","1,578,547","1,869,061","1,734,997","1,102,878","2,673,910",,"2,757,835","1,140,673","1,365,888","1,911,226","1,696,400","1,685,977","2,319,941","1,932,323",,"2,032,076","3,471,326",,"2,129,974,110","8,762,274,786","1,536,701,791","1,510,276,058","2,424,949,991","2,002,032,317","2,089,811,965","1,996,734,298","2,022,064,173","2,375,457,183","2,303,394,560","2,781,714,901","2,781,221,885","3,302,169,841","2,881,474,636","3,735,012,441","3,550,577,778",,,,
total assets,,,,,,,,,,"19,440,258",0.50,"20,896,346","21,337,370","22,126,392",0.02%,"21,290,317",,"19,688,418","20,537,469","21,093,115","25,132,517",,,0.34%,0.48%,,"35,359,425",1.10%,1.09%,1.80%,1.52%,1.24%,"49,333,182",1.34%,"52,528,504","56,661,655",1.49%,1.48%,1.70%,1.95%,1.87%,1.56%,1.20%,,1.42%,"94,135,270",98855476.0,"103,369,273,234","112,457,175,341","114,307,925,627","117,931,736,970","121,786,219,204","124,357,732,130","132,374,746,121","142,085,526,451","150,436,199,759","158,180,114,937","170,910,048,612","174,063,687,667","178,291,189,508","178,726,882,958","182,929,882,202","185,049,852,574","185,903,587,299",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,"125,222","264,954","392,685","546,442","109,404","225,323","374,858",,"104,061","151,101","205,274","442,615",,,"661,509","934,356","210,487","489,940","778,022","1,116,792","343,302","669,384","1,011,838","1,337,045","379,904","1,665,914","2,525,891","1,857,373","535,271","1,121,089","1,751,611","2,325,174","612,136","1,066,486",,"2,644,511","842,583",4814065.0,"2,611,470,931","2,742,178,326","2,792,942,168","2,888,712,278","2,942,235,783","2,729,290,398","2,727,059,212","2,690,271,590","2,800,175,101","2,927,581,364","3,230,520,597","3,372,818,985","4,110,796,645","4,644,254,928","4,811,887,601","4,811,624,293","4,860,880,429",,,,
interest expense,,,,,,,,,,"213,037","468,325","776,198","1,144,808","385,931","773,878","1,149,935",,"379,238","757,378","1,129,388","1,498,999",,,"1,082,334","1,485,592","447,657","860,794","1,274,770","1,720,367","421,957","828,060","1,263,055","1,753,136","444,802","844,766","1,215,269","1,637,980","488,171","1,076,766","1,829,887","2,791,035","1,103,632","2,305,079",,"5,026,556","104,060",3117466.0,"1,702,012,807","1,794,908,661","1,835,803,619","1,849,822,341","1,885,689,058","1,901,582,212","1,767,022,170","1,652,762,779","1,620,704,841","1,763,571,995","1,957,980,617","2,389,111,880","2,753,082,915","3,166,032,393","3,336,921,972","3,485,466,943","3,518,203,031",,,,
