,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,329,754","2,730,452","2,757,255","2,591,791","2,147,425","1,543,601","949,041","384,716","1,534,512","2,263,504",,"3,510,758","4,759,372","5,047,550","5,976,684","24,072,518","19,606,058","19,650,014","15,611,054,836","13,345,332,857","13,254,879,913","13,521,116,419","14,176,228,387","12,985,435,806","13,696,645,705","15,593,407,583","16,840,596,347","15,148,358,564","17,225,601,418","17,469,662,634","17,552,091,721","17,816,719,878","18,784,993,262","19,983,670,703","20,679,800,140",,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,031",,"12,495","16,162","30,772","3,410,668","109,500","43,163",,"109,500,000","840,500,000","551,350,000","215,500,000","950,000,000","50,000,000.00","906,280,000","1,000,000,000","736,440,000","1,000,000,000",,,"2,215,500,000","7,304,175,000","6,646,425,000","6,486,120,000","7,042,775,000",,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.40%,61.87%,68.75%,65.38%,65.05%,64.97%,68.08%,66.16%,66.16%,75.89%,,70.79%,69.84%,75.30%,76.48%,69.63%,71.09%,71.47%,"105,632,627,079","117,200,788,938","114,798,221,298","117,122,878,927","122,700,366,557","142,114,284,983","145,469,372,750","148,994,868,819","151,600,836,805","162,743,229,012","173,098,590,239","182,840,958,513","187,373,810,612","196,063,952,128","196,581,958,969","212,837,603,439","229,334,965,905",,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,483,302","6,515,672","10,336,487","4,506,401","4,499,742","6,222,837","13,907,438","12,109,183","17,687,569","12,387,216",,"7,195,552","15,543,886","8,003,828","5,889,668","6,548,293",,"11,534,463","8,207,672,769","13,437,844,866","6,109,198,024","5,336,264,504","6,220,923,114","5,906,052,426","6,082,396,002","6,399,240,529","4,139,301,069","3,286,751,102","3,113,259,797","4,529,556,921","5,432,893,242","5,040,139,639","5,059,754,121","5,446,464,348","5,263,030,226",,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,443,256","79,521,488","82,740,974","86,386,830","86,359,835","91,365,061","102,054,600","108,368,920","111,945,331","106,284,193",,"112,705,481","121,082,821","113,023,503","114,132,958","78,004,405","79,049,145","146,673,911","147,263,447,917","165,911,379,179","156,211,362,678","163,820,359,837","169,339,976,791","190,426,555,654","195,037,783,579","207,307,933,437","211,410,851,040","222,617,304,101","232,529,441,039","241,174,513,481","245,267,401,686","259,502,396,331","252,456,185,921","262,762,914,518","278,768,136,175",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,081,114","2,308,101","3,557,628","5,060,439","1,130,223","2,650,233","4,154,818","6,349,743","1,566,952","3,309,407",,"7,562,262","2,036,715","4,248,797","6,606,328","5,932,908","1,244,998","3,167,249","2,573,422,905","2,793,628,795","2,883,732,347","2,857,982,503","2,930,975,406","2,854,280,686","2,940,631,287","2,802,630,797","3,051,059,794","3,133,038,729","3,345,704,150","3,640,384,189","4,325,192,676","5,232,501,951","5,385,108,829","5,842,628,677","6,660,287,896",,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"484,625","921,489","1,354,653","1,743,980","431,033","839,870","1,247,122","1,658,478","392,573","763,093",,"1,728,360","642,689","1,308,468","2,013,840","2,831,226","907,689","1,835,350","1,015,416,455","1,339,752,406","1,555,470,003","1,441,165,137","1,457,808,414","1,453,579,445","1,459,038,702","1,312,824,594","1,308,390,468","1,386,470,734","1,686,686,783","2,274,471,166","2,619,069,814","3,078,793,881","3,477,912,894","3,900,950,151","4,018,037,311",,,,
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,932,908","1,244,998","3,167,249","1,558,006,450","1,453,876,389","1,328,262,343","1,416,817,365","1,473,166,992","1,400,701,241","1,481,592,585","1,489,806,204","1,742,669,326","1,746,567,995","1,659,017,366","1,365,913,023","1,706,122,862","2,153,708,070","1,907,195,935","1,941,678,526","2,642,250,585",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141,954,845","256,232,016","160,233,911","203,949,057","141,084,384","201,193,080","181,907,633","175,086,609","235,656,200","295,605,026","272,700,116","214,085,399","192,341,871","203,446,890","220,197,220","181,659,302","226,936,364",,,,
