,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,329,754","2,730,452","2,757,255","2,591,791","2,147,425","1,543,601","949,041","384,716","1,534,512","2,263,504",2764765,"3,510,758","4,759,372","5,047,550","5,976,684","24,072,518","19,606,058","19,650,014",15611054.84,13345332.86,13254879.91,13521116.42,14176228.39,12985435.81,13696645.71,15593407.58,16840596.35,15148358.56,17225601.42,17469662.63,17552091.72,17816719.88,18784993.26,19983670.7,20679800.14,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,"300,031",428225,"12,495","16,162","30,772","3,410,668","109,500","43,163",-,109500,840500,551350,215500,950000,50000,906280,1000000,736440,1000000,-,-,2215500,7304175,6646425,6486120,7042775,,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,824,706","69,271,267","68,696,741",78007218,"77,542,517","80,220,823","82,631,201",89410019,"86,223,772","84,833,964",83954700,93944014,"92,720,739","91,898,690","90,813,275",99831378,"93,431,456","105,678,286",105632627.1,117200788.9,114798221.3,117122878.9,122700366.6,142114285,145469372.8,148994868.8,151600836.8,162743229,173098590.2,182840958.5,187373810.6,196063952.1,196581959,212837603.4,229334965.9,,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3132310.79,3705208.378,3393030.566,3601639.585,3407995.036,3782498.389,3988926.032,4467938.606,5144229.478,4431395.739,4476712.154,4324720.735,4083129.792,4259747.017,4086766.472,4075026.767,4004168.965,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,483,302","6,515,672","10,336,487","4,506,401","4,499,742","6,222,837","13,907,438","12,109,183","17,687,569","12,387,216",11547307,"7,195,552","15,543,886","8,003,828","5,889,668","6,548,293","15,358,129","11,534,463",8207672.769,13437844.87,6109198.024,5336264.504,6220923.114,5906052.426,6082396.002,6399240.529,4139301.069,3286751.102,3113259.797,4529556.921,5432893.242,5040139.639,5059754.121,5446464.348,5263030.226,,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,443,256","79,521,488","82,740,974","86,386,830","86,359,835","91,365,061","102,054,600","108,368,920","111,945,331","106,284,193",106152556,"112,705,481","121,082,821","113,023,503","114,132,958","138,604,351","138,246,998","146,673,911",147263447.9,165911379.2,156211362.7,163820359.8,169339976.8,190426555.7,195037783.6,207307933.4,211410851,222617304.1,232529441,241174513.5,245267401.7,259502396.3,252456185.9,262762914.5,278768136.2,,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,137,910","45,001,497","49,584,194","53,374,544","53,095,999","55,131,915","59,820,475","63,527,264","66,031,270","70,815,546",74209486,74372887,"73,695,712","78,710,279","79,705,932","79,632,495","79,049,145","85,798,472",91338638.5,95717344.73,96945929.31,102556224.9,105839813.9,107811538.7,112399234.6,120076187.1,133090259.4,141094609.3,154874549.1,169911308.4,175424996.5,233757200.6,173542135.2,176308305,179491222.8,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,081,114","2,308,101","3,557,628","5,060,439","1,130,223","2,650,233","4,154,818","6,349,743","1,566,952","3,309,407",5263772,"7,562,262","2,036,715","4,248,797","6,606,328","9,260,586","1,244,998","3,167,249",2573422.905,2793628.795,2883732.347,2857982.503,2930975.406,2854280.686,2940631.287,2802630.797,3051059.794,3133038.729,3345704.15,3640384.189,4325192.676,5232501.951,5385108.829,5842628.677,6660287.896,,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"484,625","921,489","1,354,653","1,743,980","431,033","839,870","1,247,122","1,658,478","392,573","763,093",1190346,"1,728,360","642,689","1,308,468","2,013,840","2,831,226","907,689","1,835,350",1015416.455,1339752.406,1555470.003,1441165.137,1457808.414,1453579.445,1459038.702,1312824.594,1308390.468,1386470.734,1686686.783,2274471.166,2619069.814,3078793.881,3477912.894,3900950.151,4018037.311,,,,
