,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,575,362","2,789,506",,,,,,,,,,,,,,,,"4,057,596,128","3,882,669,504","4,532,948,146",,"6,098,827,203","5,891,675,303","6,762,681,603","6,965,917,080","7,522,200,598","7,451,172,524","8,475,793,904","9,033,120,691","10,014,484,575","10,008,774,512","11,280,717,719","13,161,879,500","14,458,293,743",,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","500,000","500,000","500,000",,,,,"500,000","500,000","500,000",,"500,000",,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,"184,897","196,100","196,800",,,"2,450,000",,,,,"1,400,000","2,200,000","1,850,000","2,400,000","1,550,000",,,"4,416,130",,12500,10149433.0,,"10,149,433","1,289,592,202",,,,,,,,,,,,,,,,,,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,"39,908,774","37,855,785","38,441,092","40,569,954","44,982,855","46,884,946","48,092,210","49,235,425","53,477,184","53,848,168","58,318,343","64,146,038","69,487,997","72,478,708","79,071,616","78,994,431",,"103,647,682",,133703712,175764356.0,,"175,764,356","154,519,008,494","177,368,823,075","178,927,637,856",,"187,505,935,858","201,350,720,884","232,242,107,898","268,718,602,199","277,504,706,823","289,293,739,732","280,705,644,416","297,752,715,212","299,110,673,649","292,756,561,319","307,709,846,201","308,613,448,922","317,280,569,336",,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,532","79,910","73,541","23,208",0,"97,068","30,404",,,"185,800",,399483,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,"1,586,173","2,216,796","2,292,676","887,932","792,622","1,241,260","1,165,027","1,197,460","991,073","1,231,086","1,405,960","1,257,456","1,180,586","1,218,598","1,191,679","1,465,779",,"1,325,869",,3701160,,,,,,"2,406,275,955",,"2,626,692,148","7,071,166,733","5,006,997,066","5,958,290,758","6,503,372,499","5,777,781,152","6,412,507,417","4,792,985,783","5,108,065,301","7,468,232,689","6,226,921,292","7,765,355,439","7,019,447,002",,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,"46,536,111","45,624,131","46,522,703","46,473,372","51,478,358","56,103,500","54,990,884","56,380,675","60,544,295","61,392,139","67,698,690","74,385,018","80,467,817","84,701,623","90,811,305","90,383,469",,"120,468,658",,152371504,14234254.0,,"213,611,661","230,108,527,166","220,181,542,637","227,005,143,634",,"237,259,892,043","256,850,893,017","293,034,013,155","327,687,607,691","355,182,218,344","361,961,849,719","397,141,745,447","368,126,643,775","370,682,440,800","380,973,673,314","381,155,876,926","379,269,317,169","384,275,926,730",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,"4,205,190","999,763","2,004,802","2,957,913","3,995,005","972,242","815,028","1,222,529","3,917,792","1,025,608","2,073,755","3,163,693","4,421,136","560,074","1,153,847","1,847,886",,"599,385",,9104388,9656182.0,,"9,656,182",,,"5,319,195,443",,"5,357,679,873","5,646,942,771","5,376,821,894","5,683,925,493","7,051,638,561",,,,"9,269,599,475","10,530,466,940",,,,,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,"2,435,916","598,901","1,148,077","1,648,682","2,196,783","564,454","1,123,473","1,679,044","2,340,288","652,456","1,232,626","1,786,999","2,444,176","706,292","1,542,056","2,818,096",,"1,909,469",,6433992,6048565.0,,"6,048,565","3,231,359,288","3,298,879,751","3,353,944,024",,"3,450,657,916","3,312,680,141","3,214,196,994","3,490,945,418","3,866,560,788","4,349,689,490","4,799,127,620","5,690,320,737","5,909,253,309","6,617,619,629","6,960,791,677","6,977,331,156","6,866,512,809",,,,
