,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,"2,544,713","3,043,898","3,280,583","2,703,935","2,891,330","2,369,010","2,575,362","2,789,506","2,907,222","3,074,690","2,305,830","2,563,300",2873859,"2,187,598","2,647,956","3,065,267","3,491,800","2,362,061",2656444,8031117,3234188,5096951,4411258,4057596.128,3882669.504,4532948.146,5083416.832,6098827.203,5891675.303,6762681.603,6965917.08,7522200.598,7451172.524,8475793.904,9033120.691,10014484.58,10008774.51,11280717.72,13161879.5,14458293.74,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,"500,000","500,000","500,000","500,000","500,000",500000,500000,500000,500000,"500,000","500,000","500,000","500,000","500,000",3500000,3500000,3500000,5423932,5319818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,"184,897","196,100","196,800",-,-,"2,450,000",-,-,-,-,"1,400,000","2,200,000","1,850,000","2,400,000","1,550,000",-,"500,000","4,416,130",2159263,12500,742269,1250579,"10,149,433",1289592.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,"39,908,774","37,855,785","38,441,092","40,569,954","44,982,855","46,884,946","48,092,210","49,235,425","53,477,184","53,848,168","58,318,343","64,146,038","69,487,997","72,478,708","79,071,616","78,994,431","86,679,130","103,647,682",120231730,133703712,151199986,168159153,"175,764,356",154519008.5,177368823.1,178927637.9,179384920.7,187505935.9,201350720.9,232242107.9,268718602.2,277504706.8,289293739.7,280705644.4,297752715.2,299110673.6,292756561.3,307709846.2,308613448.9,317280569.3,,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,"10,532","79,910","73,541","23,208",-,"97,068","30,404",-,-,"185,800",245168,399483,9998,-,-,978664.385,458776.755,1064297.894,763019.78,991747.504,1638305.154,814562.814,535898.224,342661.76,336889.823,683623.511,557548.649,563836.146,267772.251,934773.495,720302.969,328856.165,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,"1,586,173","2,216,796","2,292,676","887,932","792,622","1,241,260","1,165,027","1,197,460","991,073","1,231,086","1,405,960","1,257,456","1,180,586","1,218,598","1,191,679","1,465,779","1,357,690","1,325,869",3133240,3701160,5203555,7938809,9132568,16631808.57,2103741.38,2406275.955,2562693.033,2626692.148,7071166.733,5006997.066,5958290.758,6503372.499,5777781.152,6412507.417,4792985.783,5108065.301,7468232.689,6226921.292,7765355.439,7019447.002,,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,"46,536,111","45,624,131","46,522,703","46,473,372","51,478,358","56,103,500","54,990,884","56,380,675","60,544,295","61,392,139","67,698,690","74,385,018","80,467,817","84,701,623","90,811,305","90,383,469","99,221,217","120,468,658",139956962,152371504,171921113,195900532,"213,611,661",230108527.2,220181542.6,227005143.6,227418995.7,237259892,256850893,293034013.2,327687607.7,355182218.3,361961849.7,397141745.4,368126643.8,370682440.8,380973673.3,381155876.9,379269317.2,384275926.7,,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,"31,559,547","31,803,134","31,838,530","33,292,198","36,311,344","37,464,735","39,405,371","41,763,516","42,166,475","44,244,089","46,271,552","52,498,344",58457110,"61,014,317","66,422,745","67,254,521","71,583,360","86,741,927",102222495,109031406,120666391,139264589,149303944,151026106.9,152482469.4,165853080.7,167708609,180239365,178216032.3,207165192.4,237482168.5,271463653.2,275147984.1,295465322.1,292797009.8,294070383.3,285140292.9,291087840,284574060.8,292934212.7,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,"4,205,190","999,763","2,004,802","2,957,913","3,995,005","972,242","815,028","1,222,529","3,917,792","1,025,608","2,073,755","3,163,693","4,421,136","560,074","1,153,847","1,847,886","6,905,855","599,385",5559338,9104388,13261944,4814449,"9,656,182",5040440.924,5124766.984,5319195.443,5200737.652,5357679.873,5646942.771,5376821.894,5683925.493,7051638.561,7400029.941,7946364.898,8601469.331,9269599.475,10530466.94,10666651.49,10145149.85,10022647.65,,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,"2,435,916","598,901","1,148,077","1,648,682","2,196,783","564,454","1,123,473","1,679,044","2,340,288","652,456","1,232,626","1,786,999","2,444,176","706,292","1,542,056","2,818,096","4,357,559","1,909,469",4008135,6433992,9335099,2951662,"6,048,565",3231359.288,3298879.751,3353944.024,3281268.343,3450657.916,3312680.141,3214196.994,3490945.418,3866560.788,4349689.49,4799127.62,5690320.737,5909253.309,6617619.629,6960791.677,6977331.156,6866512.809,,,,
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,"1,769,274","400,862","856,725","1,309,231","1,798,222","407,788","-308,445","-456,515","1,577,504","373,152","841,129","1,376,694","1,976,960","-146,218","-388,209","-970,210","2,548,296","-1,310,084",1551203,2670396,3926845,1862787,"3,607,617",1809081.636,1825887.233,1965251.419,1919469.309,1907021.957,2334262.63,2162624.9,2192980.075,3185077.773,3050340.451,3147237.278,2911148.594,3360346.166,3912847.311,3705859.811,3167818.689,3156134.844,,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,"170,726","46,030","99,462","88,494","112,242","27,622","60,878","93,768","131,624","33,305","70,874","118,631",143687,"31,192","75,923","105,655","147,740","52,152",110197,170529,203591,380684,799159,663496.982,630913.119,707488.701,656024.175,596913.158,633468.783,447558.575,550645.998,625841.631,441411.057,648799.885,500119.817,528898.05,839824.836,673720.602,533243.149,914318.348,,,,
total operating income,,,,,,,,,,,,,,,,,,,,,,,,,"2,187,747","478,938","1,049,801","1,614,158","2,237,875","528,820","1,063,639","1,612,274","2,102,243","512,730","1,120,238","1,836,226","2,632,471","745,281","1,562,342","2,489,894","3,455,133","901,844",2084901,3483469,5118636,2354279,"4,611,139",2585490.483,2565790.725,2781857.782,2659834.045,2941483.801,2980344.519,2752500.825,2885498.152,3913031.099,3659225.187,4073510.856,3518985.607,3990479.669,4778087.917,4567430.052,3813799.826,4148763.117,,,,
staff expenses,,,,,,,,,,,,,,,,,,,,,,,,,"356,442","92,055","167,753","244,346","373,887","111,186","204,559","306,309","421,778","125,493","232,585","366,502","543,319","197,449","375,877","585,558","851,727","223,201",479322,921880,1413710,696311,1226348,612946.82,736422.279,730369.841,634070.136,721744.141,989312.869,766565.013,723551.249,1114652.552,1221578.908,1119227.746,1067741.748,1199063.406,1752412.264,1382981.266,1131858.426,1277828.073,,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,"937,075","227,782","523,475","851,093","1,157,227","220,798","478,375","761,803","893,102","182,644","615,997","926,546",1349353,"326,155","763,750","1,321,846","1,698,620","356,434",763949,1212878,1570707,1061607,2137050,1111190.751,1425793.723,1525493.47,1566310.061,733174.31,988112.264,1571253.38,1684702.027,1775060.572,731617.179,1948571.001,2059919.599,1919919.57,1496761.067,2658901.118,2334949.169,1239961.846,,,,
