,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,,"410,399","255,683","200,777",,,,,,"634,979",,,"745,552",,"1,231,563","716,255",,"976,833","1,110,021","2,085,017","2,431,693","2,536,484",,"4,634,512","4,070,986","4,437,572","4,769,307","9,341,777","9,162,112","8,848,972",,"9,379,327","2,451,341","3,547,043","4,738,877","5,280,661","6,365,740","5,873,676","5,460,741","5,191,165","4,549,537","5,474,935","5,443,141","5,334,258","5,517,827","6,587,714","7,006,381","7,731,022","8,095,154",,,,
debenture and bond,,,,,,,,,,,,,,,,,,"13,460,620",,,,,,,,,,,,,,,"30,000","500,000","598,368",,"500,000",,"500,000",,,"500,000","500,000","500,000","500,000",,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,"13,460,620","10,000",,,,,,"100,000",,,"100,000",,,,,"70,000","438,000",,"73,013","2,148,503",,"1,140,337","2,474,370","2,351,489","4,057,788","1,879,502","2,400,977",,,"6,795,532","2,937,060","3,758,194","355,867","615,885","322,729","274,129","389,009","35,796","2,804,148","4,862,876","1,982,847","632,470","2,646,293","5,790,718","3,067,191","2,219,552","1,543,983",,,,
deposits,,,,,,,,,,,,,,,,,,,"14,129,405",,,,,,"21,949,115",,,"23,954,389",,"25,554,185","28,988,050",,"35,361,443","36,461,852","50,368,320","57,560,043","64,941,496",,"67,725,304","70,657,334","72,315,155","72,001,150","80,954,914","85,761,770","529,062",,"88,773,299","94,766,302","99,210,426","123,504,238","127,916,039","130,329,335","133,248,271","142,193,605","144,361,328","157,299,463","166,165,008","175,453,447","183,817,071","187,234,974","186,883,072","182,190,322","193,730,976","198,957,049",,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,"117,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,,,,"871,407",,,,,,"316,378",,,,,,"404,409",,"3,404,642","784,143","23,991,218","1,045,157","779,702",,"6,507,410","13,211,936","1,868,688","1,928,181","34,387,637","3,406,483","257,872",,"4,519,412","4,840,359","2,185,565","3,082,705","2,313,532","3,595,581","3,388,690","2,980,577","2,902,418","3,517,226","3,934,459","3,957,051","4,148,274","4,741,729","6,598,545","5,718,204","6,354,844","5,816,990",,,,
total assets,,,,,,,,,,,,,,,,,"16,129,553","16,349,165","17,115,744",,,,,,"29,134,741",,,"28,377,332",,"30,217,350","32,570,030",,,"41,280,455","82,035,745","66,527,488","75,682,182",,"86,438,067","97,510,838","88,093,203","89,901,790","98,716,405","104,648,608","107,827,487",,"118,838,276","138,754,159","139,615,339","172,142,811","177,864,705","180,019,938","183,277,942","192,100,723","205,398,067","227,951,214","236,360,107","240,742,615","249,842,300","252,293,762","261,346,541","265,093,498","274,726,323","279,784,079",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,,,,,"418,068","820,306",,,,,,"1,837,998",,,"1,484,660",,"533,591","1,074,672",,"2,329,232","640,285","1,709,331","2,908,094","4,178,700",,"2,695,212","4,392,378","6,504,000","678,036","4,252,557","6,564,997","357,484",,"2,115,532","2,901,096","3,179,634","3,377,895","3,924,126","4,005,522","3,692,634","3,651,656","3,551,065","3,691,424","3,811,825","4,135,640","4,451,531","5,305,719","6,272,331","6,549,455","6,848,428","7,027,842",,,,
interest expense,,,,,,,,,,,,,,,,,,"319,313","319,319",,,,,,"1,075,648",,,"902,911",,"319,313","552,325",,"1,341,441","393,035","1,757,050","1,460,704","2,072,152",,"1,353,707","2,387,634","3,576,452","1,372,525","7,665,981","443,005,376","1,380,035",,"1,791,507,405","1,735,396","1,923,038","2,075,836","2,313,278","2,355,137","2,404,390","2,191,480","1,910,249","2,108,707","2,297,990","2,569,813","3,021,594","3,470,879","4,023,750","4,373,563","4,523,748","4,696,073",,,,
net interest income,,,,,,,,,,,,,,,,,,3.13.2,3.13.2,,,,,,3.13.2,,,3.13.2,,3.13.2,3.13.2,,3.13.2,3.13.2,3.13.2,3.13.2,3.13.2,,3.13.2,3.13.2,3.13.2,"678,036",3.13.2,3.13.2,"357,484",,"2,115,532","1,165,700","1,256,596","1,302,059","1,610,847","1,650,385","1,288,244","1,460,176","1,640,816","1,582,717","1,513,836","1,565,827","1,429,937","1,834,840","2,248,581","2,175,892","2,324,680","2,331,769",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"222,247","317,946","252,317","315,963","222,647","149,012","381,623","311,605","412,792","197,642","598,694","390,056","472,437","233,452","542,120","389,611","392,592",,,,
total operating income,,,,,,,,,,,,,,,,,"581,669","573,580","280,563",,,,,,"946,131",,,"808,437",,"350,695","707,734",,"1,364,242","355,928","1,061,39","1,879,766","2,755,686",,"1,797,864","2,711,351","3,758,885","997,125","2,120,006","3,212,241","442,598",,"2,915,983","1,554,734","1,696,494","1,733,301","2,087,434","2,052,702","1,594,818","1,979,131","2,129,999","2,136,132","1,986,738","2,496,024","2,053,095","2,413,263","2,539,551","2,894,594","2,841,476","2,822,034",,,,
staff expenses,,,,,,,,,,,,,,,,,"358,896","27,291","49,993",,,,,,"132,048",,,,,"61,388",,,"208,564","63,020","208,534","325,422","539,459",,"323,656","476,303","617,000","227,686","436,558","662,142",,,,"368,192","463,993","474,074","518,150","466,674","447,607","556,714","627,300","597,161","549,777","796,653","643,076","699,803","735,521","752,631","762,532","778,457",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"846,561","996,822","400,494","1,246,083","411,206","612,583","1,125,490","1,318,567","1,448,895","373,164","1,568,695","1,035,047","1,456,368","1,517,557","1,336,235","1,479,957","1,151,381",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,"240,440","43,055",,,,,,,"366,609",,,"312,468",,"146,277","280,909",,"532,781","127,343","444,538","810,181","1,212,000",,"751,359","1,232,738","1,636,559","472,760","1,010,207","1,477,606",,,,"583,334","705,180","855,028","875,813","280,087","428,399","786,473","929,077","994,120","323,805","1,113,585","733,326","1,010,513","1,099,051","937,322","1,040,709","815,569",,,,
capital fund to rwa,,,,,,,,,,,,,,,,,18.39,16.82,15.38,,,,,,12.68,,,11.06,,10.91,10.91,,11.20,11.09,12.20,11.37,11.08,,13.73,13.57,13.82,13.79%,13.03,12.88,15.78%,,15.32%,15.27%,15.18%,15.66%,15.89%,14.32%,14.62%,14.33%,13.73%,13.36%,15.14%,14.54%,14.15%,14.17%,13.85%,13.71%,12.87%,12.83%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,135.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,,,,,9.90,,9.37,,,,,,,,,,,4.34,4.26,,4.55,4.31,4.31,4.12,4.01,,4.09,4.69,5.17,7.22%,7.14,7.47,7.52%,,7.40%,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,,9.55,,,8.33,,,7.44,,1.07,7.01,7.649,6.47,6.68,,7.54,8.95,10.12,10.21%,10.35,10.92,10.70%,,10.11%,9.95%,9.86%,10.33%,10.12%,9.99%,8.95%,7.85%,7.40%,7.19%,7.33%,7.96%,8.58%,8.96%,,,,,,,,
net interest spread,,,,,,,,,,,,,,,,,2.49,2.37,3.34,,,,,,4.21,,,4.05,,4.65,4.65,,4.19,3.52,4.22,4.38,4.44,,3.73,3.85,3.91,3.28%,3.75,3.42,3.54%,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,12.97,6.60,4.58,,,,,,15.86,,,15.36,,18.25,18.17,,17.66,15.45,17.72,19.29,17.20,,17.73,18.14,16.59,16.80%,18.61,17.13,16.11%,,12.66%,13.30%,13.96%,15.54%,15.72%,12.46%,11.21%,13.49%,14.51%,15.15%,12.51%,17.50%,14.41%,14.59%,14.86%,13.31%,14.18%,13.17%,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,73.35,,,,,,,,,,,,77.74,,,,,,,,,,,74.90,,,,77.72%,,,,,,,,,,,,,,,,,,,,,,,
