,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,"426,016.43","2,245,746.00",,,"413,142.84","580,754.16","600,390.18","412,337.85","638,526.67","730,312.43","851,834.77","687,179.46","874,895.41",,"1,166,271.99","838,998.12","1,030,336.93","1,278,153.00","1,502,944.01","1,096,743.76","1,337,035.56","1,755,758.43","2,006,816.57","2,437,366.33","1,910,438.78","3,126,014.60","3,459,058.34","2,116,952.68","2,660,399.22","3,292,953.55",,,"2,333,806,383",,"3,209,062,858","3,196,731,253","5,450,805,019","4,795,693,610","5,466,544,058","4,947,637,361",,"5,064,437,456",,,,,,,,,,,
debenture and bond,,,,,,,,,,,,,,,,"1,395,320.00","534,747.75",,,,,,"131,400.04",,,,,,,,,,,"41,402,732.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,"17,869,530.44","213,120.00","141,920.00","541,600.00","541,600.00","22,050.00","152,210.95","24,395,708.97","87,200.00","220,348.78",,,,,,,,,"41,323,794.04",,,"9,000.00",,,,,"1,946,440.76","2,016,433.06",,"1,269,890.14","1,602,223","1,466,751",,,,,,,,,,,,,,,,,,,,,
deposits,,,,,,,,,,,,,,,,"17,269,101.02","18,938,902.91","20,186,573.41","21,154,505.01","21,134,649.60","23,990,951.63","23,206,986.33","23,947,759.12","25,669,944.06","28,814,138.28","26,257,981.14","26,946,730.43",,,"34,332,436.25",,"38,159,616.05","41,014,582.91","78,938.14","42,306,181.93","46,278,908.56","48,353,057.96","52,418,088.84","55,006,021.38","56,107,652.69","65,865,251.32","68,597,356.08","71,060,891.26","74,200,724.56","81,312,968.94","76,336,823","76,727,057","68,657,820,251",,"78,594,931,551","80,353,534,960","114,733,185,413","119,441,613,623","124,508,448,654","130,995,217,721",,"154,149,965,445",,,,,,,,,,,
income tax liability,,,,,,,,,,,,,,,,"111,978.83","11,072.11","24,554.86","30,134.75","73,336.10","147,478.67","38,498.17","204,000.64","166,287.58","205,624.34","53,031.94","132,919.98","181,588.96",,"69,273.02","155,187.05","237,189.40","343,396.28",,"201,095.17","304,077.37","483,530.03","107,596.34","239,878.97","378,411.75","682,543.78","146,464.50","305,582.15",,"801,629.52",,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,"153,825.83",,"614,140.75",,"313,033.63","525,582.82","322,619.83","69,350.87",,"236,420.58","644,704.52","681,700.91","546,863.13",,"458,918.04","505,088.81","645,116.07","511,345.60",,"513,458.88","405,382.79","391,735.37","470,396.24","354,091.25","1,825,260.86","2,064,405.41","788,057.79","799,224.77",,"1,057,350.24","1,805,705","1,144,331","1,145,237,568",,"1,486,569,699","1,277,058,891","1,688,823,077","1,760,627,693","1,364,080,305","1,620,993,635",,"1,584,870,159",,,,,,,,,,,
total assets,,,,,,,,,,,,,,,,,"22,088,270.45","23,511,202.31","24,663,130.46",,"27,512,564.28","26,566,451.46",,"29,260,692.91","32,547,249.69","30,147,957.66",,"34,396,515.41",,"38,665,599.10","41,568,312.22","43,212,311.21","46,287,530.56","47,098,459.79",,"52,030,666.54","54,698,344.05","58,708,160.25",,"66,014,324.09","78,063,647.29","81,262,809.65",,,"95,768,091.25","91,754,091","91,592,646","91,378,678,004",,"106,883,380,166","109,656,188,935","149,450,348,347","152,219,666,442","155,684,796,771","162,283,937,408",,"190,550,902,385",,,,,,,,,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,,,"1,770,493.47","2,472,847.04","642,213.40",1324791.31,"1,990,041.84","2,769,165.34","643,073.18","1,344,721.24","2,025,635.51","2,786,218.40","660,558.27","1,394,482.34","2,067,518.43",,"757,325.25","1,513,721.17","2,261,275.83","3,251,873.38","836,080.92","1,698,128.69","2,555,106.98","3,556,635.23","948,680.50","2,049,552.26","3,418,037.69","5,208,608.68","1,862,369.91","3,847,259.04","5,987,446.06","8,455,885.02","2,480,531","4,819,231","2,389,804,253",,,"2,768,747,462","3,130,683,670","3,591,183,965","3,540,385,697","3,320,221,937","3,411,628,058","3,740,498,752","3,895,155,564","4,246,272,396","4,984,320,231","5,391,175,792","5,713,242,784","5,584,831,287","5,943,054,611",,,,
interest expense,,,,,,,,,,,,,,,,"1,297,053.96","1,366,045.94","508,187.64","1,010,917.16","1,519,921.57","2,057,204.86","454,603.88","856,799.30","1,265,468.03","1,744,271.20","483,368.37","906,527.95","1,335,073.07",,"426,715.85","861,785.12","1,311,176.41","1,854,852.16","528,753.19","1,004,250.64","1,439,639.18","1,968,130.40","568,429.47","1,241,394.41","2,102,491.46","3,304,226.37","1,410,775.21","2,804,743.66","4,293,059.33","5,893,775.41","1,510,242","3,047,028","1,560,477,127",,,"1,664,642,534","1,954,436,038","2,314,230,862","1,989,549,064","1,956,007,836","1,920,257,591","2,194,808,941","2,493,268,804","2,883,933,316","3,113,409,154","3,546,875,421","3,827,914,747","3,933,109,372","4,007,531,393",,,,
