Particulars,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079
reserves,"426,016.43","2,245,746.00",298267.29,312339.4,"413,142.84","580,754.16","600,390.18","412,337.85","638,526.67","730,312.43","851,834.77","687,179.46","874,895.41",1083556.5,"1,166,271.99","838,998.12","1,030,336.93","1,278,153.00","1,502,944.01","1,096,743.76","1,337,035.56","1,755,758.43","2,006,816.57","2,437,366.33","1,910,438.78","3,126,014.60","3,459,058.34","2,116,952.68","2,660,399.22","3,292,953.55",3976041,4221208,2333806.383,2609448.248,3209062.858,3196731.253,5450805.019,4795693.61,5466544.058,4947637.361,5063710.291,5064437.456,5761269.167,5952291.602,6491889.458,6506955.386,7712419.041,8359026.209,8896729.577
debenture and bond,-,"534,747.75",-,-,-,-,600390.18,"131,400.04",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
borrowings,"1,395,320.00","213,120.00","141,920.00","541,600.00","541,600.00","22,050.00","152,210.95","24,395,708.97","87,200.00","220,348.78",-,-,-,-,-,-,-,-,"41,402,732.18",-,-,"9,000.00",-,-,-,-,"1,946,440.76","2,016,433.06",760834.11,"1,269,890.14","1,602,223","1,466,751",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1302500,1310000
deposits,"17,869,530.44","18,938,902.91","20,186,573.41","21,154,505.01","21,134,649.60","23,990,951.63","23,206,986.33","23,947,759.12","25,669,944.06","28,814,138.28","26,257,981.14","26,946,730.43",30514468.11,34063198.54,"34,332,436.25",36928985.2,"38,159,616.05","41,014,582.91","78,938.14","42,306,181.93","46,278,908.56","48,353,057.96","52,418,088.84","55,006,021.38","56,107,652.69","65,865,251.32","68,597,356.08","71,060,891.26","74,200,724.56","81,312,968.94","76,336,823","76,727,057",68657820.25,77040074.37,78594931.55,80353534.96,114733185.4,119441613.6,124508448.7,130995217.7,140520318.9,154149965.4,159229251.1,158930952.5,156027918.1,160203350.8,158983689.2,164464758.3,166391725.1
income tax liability,"111,978.83","11,072.11","24,554.86","30,134.75","73,336.10","147,478.67","38,498.17","69,350.87","166,287.58","205,624.34","53,031.94","132,919.98","181,588.96",271017.31,"69,273.02","155,187.05","237,189.40","343,396.28",94542,"201,095.17","304,077.37","483,530.03","107,596.34","239,878.97","378,411.75","682,543.78","146,464.50","305,582.15",530827.29,"801,629.52",-,-,-,-,-,-,335766.043,-,-,17531.253,38070.651,49368.548,151675.323,-,-,-,101810.117,-,-
other liabilities,"153,825.83",144681.67,"614,140.75",378405.2,"313,033.63","525,582.82","322,619.83","204,000.64",358329.32,"236,420.58","644,704.52","681,700.91","546,863.13",457928.54,"458,918.04","505,088.81","645,116.07","511,345.60",958188.83,"513,458.88","405,382.79","391,735.37","470,396.24","354,091.25","1,825,260.86","2,064,405.41","788,057.79","799,224.77",710527.79,"1,057,350.24","1,805,705","1,144,331",1145237.568,1319704.544,1486569.699,1277058.891,1688823.077,1760627.693,1364080.305,1620993.635,1840200.843,1584870.159,2023037.916,1452491.795,839054.357,2180045.807,2303934.887,2976883.515,3247792.873
total assets,22202417.53,"22,088,270.45","23,511,202.31","24,663,130.46",24721508.21,"27,512,564.28","26,566,451.46",27553203.61,"29,260,692.91","32,547,249.69","30,147,957.66",31022976.59,"34,396,515.41",38514400.69,"38,665,599.10","41,568,312.22","43,212,311.21","46,287,530.56","47,098,459.79",47822742,"52,030,666.54","54,698,344.05","58,708,160.25",62977708.12,"66,014,324.09","78,063,647.29","81,262,809.65",84332382.79,86896611.84,"95,768,091.25","91,754,091","91,592,646",91378678,102426299,106883380.2,109656188.9,149450348.3,152219666.4,155684796.8,162283937.4,173815268.9,190550902.4,196985480.1,201867671.9,201902625,209735912,207037276.6,212167287,213654363.8
loan and advancements,"17,162,980.41","16,870,756.15","17,343,198.70","18,501,455.18","18,821,506.47","19,036,777.82","20,208,418.07","20,392,829.31","21,391,528.11","21,215,604.15","21,879,678.83","23,323,935.85","25,388,069.16",27231857.12,"28,317,816.70","30,202,196.89","31,137,627.49","32,701,293.87","32,826,351.08","34,118,584.02","37,071,069.77","40,289,291.87","42,341,117.14","46,052,452.56","48,611,482.70","57,710,189.80","59,031,390.73","62,601,268.57","66,535,632.54","69,709,602.17",72332717,72604017,72868686.82,75531238.91,82174381.1,84181670.81,115739626.7,114577174.7,117958272.5,124305943.7,133884117.1,141474367.7,149906352,176395028.7,161615003.1,154839715.3,154734040.7,156551081.3,158765536.8
interest income,"1,770,493.47","2,472,847.04","642,213.40",1324791.31,"1,990,041.84","2,769,165.34","643,073.18","1,344,721.24","2,025,635.51","2,786,218.40","660,558.27","1,394,482.34","2,067,518.43",2871084.16,"757,325.25","1,513,721.17","2,261,275.83","3,251,873.38","836,080.92","1,698,128.69","2,555,106.98","3,556,635.23","948,680.50","2,049,552.26","3,418,037.69","5,208,608.68","1,862,369.91","3,847,259.04","5,987,446.06","8,455,885.02","2,480,531","4,819,231",2389804.253,2624810.767,2719806.129,2768747.462,3130683.67,3591183.965,3540385.697,3320221.937,3411628.058,3740498.752,3895155.564,4246272.396,4984320.231,5391175.792,5713242.784,5584831.287,5943054.611
interest expense,"1,297,053.96","1,366,045.94","508,187.64","1,010,917.16","1,519,921.57","2,057,204.86","454,603.88","856,799.30","1,265,468.03","1,744,271.20","483,368.37","906,527.95","1,335,073.07",1811203.22,"426,715.85","861,785.12","1,311,176.41","1,854,852.16","528,753.19","1,004,250.64","1,439,639.18","1,968,130.40","568,429.47","1,241,394.41","2,102,491.46","3,304,226.37","1,410,775.21","2,804,743.66","4,293,059.33","5,893,775.41","1,510,242","3,047,028",1560477.127,1628516.069,1659301.021,1664642.534,1954436.038,2314230.862,1989549.064,1956007.836,1920257.591,2194808.941,2493268.804,2883933.316,3113409.154,3546875.421,3827914.747,3933109.372,4007531.393
net interest income,"473,439.51",692383.72,"134,025.76",313874.05,"470,120.27","711,960.49","188,469.30","487,921.94",760167.48,"1,041,947.20","177,189.90","487,954.39","732,445.36",1059880.94,"330,609.40","651,936.05","950,099.42","1,397,021.22","307,327.73","693,878.05",1115467.8,"1,588,504.83","380,251.03","808,157.85",1315546.23,"1,904,382.31","451,594.70","1,042,515.38","1,694,386.73","2,562,109.61","970,289","1,772,203",829327.127,996294.698,1060505.108,1104104.928,1176247.632,1276953.103,1550836.633,1364214.101,1491370.467,1545689.811,1401886.76,1362339.079,1870911.076,1844300.371,1885328.037,1651721.915,1935523.218
net fee and commission income,37982.33,46310.33,12812.21,28251.77,36965.81,54490.27,32281.71,45108.27,60986.11,80114.64,9915.55,26074.8,45274.7,71656.47,25055.21,51718.87,83726.65,147394.64,32901.98,63095.24,98697.38,200687.24,56186.89,115682.15,216196.48,362005.41,130958.97,243634.12,375155.67,475753,322705,456393,130897.829,124513.264,437847.505,146680.858,97642.736,150718.36,593294.709,206041.086,236369.668,264026.542,381825.927,243653.371,222822.525,164791.879,369955.273,189550.553,233930.037
total operating income,"595,654.17",854597.33,"174,808.57","406,454.27","602,659.13","902,911.99","267,131.63","610,411.03","939,781.86","1,256,711.72","228,235.08","630,206.91","968,879.40",1412375.94,"403,229.05","816,884.06","1,231,361.40","1,832,956.40","423,106.16","896,030.81","1,443,659.49","2,220,782.91","529,032.81","1,152,245.99","1,854,502.91","2,807,926.54","760,017.28","1,552,309.88","2,516,832.03","3,730,225.11","1,354,404","2,368,795",1040655.314,1211787.955,1571854.954,1323122.359,1374735.263,1512342.403,2251953.395,1681154.191,1904727.365,2024336.368,1967566.963,1695522.772,2203276.828,2092070.425,2350025.526,1930930.579,2270353.065
staff expenses,"52,704.48","75,923.72","22,846.51",43471.2,"64,389.34","90,820.48","20,773.98","48,346.77","73,989.74","111,019.81","31,758.08","58,999.83","87,344.88",134279.02,"44,776.55","82,783.50","122,928.48","171,702.20","47,335.83","85,984.90","128,857.41","204,356.56","67,236.45","124,417.24","185,959.56","281,130.48","99,349.01","179,166.75",267037.97,"388,407.60",189579,355245,222951.714,308124.445,256685.942,232955.36,289963.481,300672.36,359898.84,400379.565,424522.899,404234.388,457046.018,362978.006,450706.326,434224.317,506649.701,422062.752,472352.103
operating profit,407008.05,576479.15,90034.29,102888.38,261293.32,518821.56,54593.1,166926.95,522459.28,666694.16,92056.7,363626.43,547771.49,862420.21,206220.51,506723.69,700865.43,1099224.48,314278.15,585932.5,864683.25,1505242.07,256184.03,734169.3,1253692.61,2012463.58,433847.56,944629.94,1747947.08,2695002,831216,1511912,684817.024,1073892.395,944497.604,911230.609,1042579.522,373897.614,1447651.712,1145419.424,1440885.249,665259.305,1409011.959,1000735.377,1490138.17,1337071.34,1252341.981,1110023.278,1161578.436
non operating income expense,"3,581.00",4973.41,-,-,-,-,-,"87,359.58",-,-,-,-,-,-,-,-,-,"55,786.35","32,375.86","151,416.06",-,"10,068.83",-,-,-,"127,966.85","127,966.85","47,233.20",66719.98,"94,461.86",-,"2,556",-,-,-1972.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
profit for the period,261283.94,310015.27,"57,294.68","70,314.40",171117.55,"338,566.48","89,829.05",161818.7,"388,004.35","479,790.11","123,741.20",310146.61,"423,707.57",632373.72,"161,637.03","362,103.12","553,441.93","801,258.00","1,854,852.16",-,"709,513.87","1,128,236.74","251,058.14",559717.58,"882,960.75","1,482,858.96","341,750.31",715128,1258574.54,"1,892,038.67",581929,1060897,487008.162,817429.186,659767.817,641019.567,729887.775,262127.417,1017634.91,795694.899,1004346.581,437101.031,977934.629,700655.317,1043430.251,959211.826,874170.399,777874.355,815512.18
capital fund to rwa,16.01,16.48,14.04,14.02,14.04,14.85,13.16,12.7,12.91,13.82,12.23,12.15,12.27,12.4,12.24,12.11,12.31,12.35,12.35,12.48,12.19,11.73,11.36,13.57,12.82,13.36,12.9,12.76,12.51,12.54,12.17,12.68,12.13,12.78,12.75,13.23,12.98,13.4,14.08,14.24,14.07,15.1,14.56,12.97,13.2,13.33,13.11,12.49,12.46
non performing loan to total loan,0.36,0.48,0.77,1.12,1.25,0.47,3.29,3.51,2.92,2.23,2.27,2.21,2.01,1.5,2.62,2.46,2.85,1.75,1.72,1.46,1.59,1.23,1.32,1.36,1.37,0.78,1.37,1.43,1.06,0.66,1.41,1.58,1.58,0.92,1.14,1.45,0.97,1.54,1.37,1.08,0.86,1.45,0.62,0.78,0.94,1.4,1.8,2.81,3.06
total loan loss provision to npl,314.96,262.52,178.01,170.97,149.33,303.85,70.57,85.82,82.79,109.66,99.21,101.28,117.73,145.37,98.77,102.84,87.65,131.68,144.01,161.88,138.11,159.42,144.24,135.07,137.57,206.99,128.32,128.34,158.24,222.4,126.14,131.28,132.43,175.36,159.92,136.7,170.75,140.42,169.38,197.64,218.65,157.05,338.55,259.05,219.74,158.39,137.64,115.01,112.8
cost of fund,9.55,9.77,10.56,10.1,9.75,9.61,7.59,7.08,6.92,6.99,6.87,6.31,6.02,5.89,4.81,4.68,4.62,4.68,4.76,4.52,4.23,4.33,4.23,4.48,4.98,8.15,8.22,8.16,8.53,8.04,7.8,8.29,7.29,7.9,7.67,7.65,8.03,4.14,6.26,6.05,5.5,5.74,6.62,7.29,7.89,8.31,8.9,9.25,9.09
base rate,,,,,,,,10.19,10.01,10.08,9.66,9.26,9.05,8.91,7.85,7.69,7.61,7.62,7.45,7.2,6.93,6.97,6.93,7.3,7.96,10.64,10.95,10.76,11.1,10.47,10.39,10.17,10.2,10.03,9.67,9.45,9.85,8.62,8.12,7.85,7.14,7.21,8.27,8.98,9.68,9.99,10.91,11.34,11.01
net interest spread,3.11,3.23,3.12,2.95,3.09,3.55,3.48,2.99,3.18,3.3,2.83,2.93,2.84,2.94,3.45,3.5,3.17,3.43,2.59,2.93,3.11,3.34,2.85,2.79,2.9,3.45,3.53,3.49,4.28,4.23,,,3.71,4.32,5.18,4.33,4.64,4.22,4.4,4.27,4.38,4.09,3.08,3.46,4.1,4.37,4.31,4.33,4.19
market share price,211,222,200,189,,237,224,314,332,324,327,508,463,583,512,449,447,455,599,490,570,746,658,510,479,421,444,304,295,287,332,328,,,,,,,,,,,,,,,,,
return on equity,16.55,17.13,9.11,5.58,8.87,12.74,12.83,12.12,18.59,16.96,15.81,19.97,17.48,14.63,17.18,18.81,18.7,19.94,19.59,20.55,20.18,23.04,17.98,17.52,17.96,19.96,14.21,14.35,16.1,17.18,,,,,,,,,,,,,15.68,13.14,13.64,13.36,12.29,11.9,11.5
return on total assets,1.64,1.75,1.01,0.6,0.97,1.37,1.34,1.18,1.83,1.61,1.58,1.96,1.69,1.78,1.68,1.81,1.81,1.79,1.9,2,1.93,2.25,1.77,1.91,1.96,2.24,1.72,1.73,1.96,2.18,,,,,,,,,,,,,1.99,1.66,1.8,1.76,1.69,1.56,1.54
credit to deposit ratio,87.05,79.67,78.37,78.3,79.37,72.51,79.8,78.75,77.95,69.1,76.31,79.19,77.43,73.84,76.39,75.96,75.63,73.95,73.28,74.39,74.04,77.13,75.12,76.3,72.67,76.8,75.7,77.5,77.64,75.22,79.8,78.55,78.43,77,77.86,77.86,76.55,74.54,80.03,81.37,82.31,79.6,90.25,94.83,99.62,87.2,88.47,88.89,89.13
