Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,779,833","9,621,341","12,676,564,936","8,244,491,405","12,324,269,166","12,716,324,828",,"15,112,506,161","11,339,990,804","11,600,288,736","11,416,959,267","8,428,279,768","3,433,784,175","3,605,339,862","8,380,974,235","10,160,643,412","7,034,968,638","4,756,944,260","8,802,772,274",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,436,442,589","9,306,841,418","4,034,890,185","3,891,685,701",,"7,580,527,039","12,045,073,482","3,216,123,127","4,068,150,641","3,272,981,241","3,247,926,425","3,848,523,891","3,202,717,214","4,519,929,769","4,964,364,850","4,596,235,648","5,728,484,506",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,211,900,000","6,402,219",,"12,933,000",,"11,000,000","2,830,292,017","6,014,496,262","4,719,039,338","41,500,000","36,500,000",,,,"5,990,890,106","5,577,552,404","9,068,799,554",,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,484,740",,,"20,610,248",,,"119,365,877","20,179,685","43,597,967",,,,"72,863,940","638,435","29,756,002",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,541,153","24,770,530","37,565,241","49,642,660",,"57,585,020","59,352,372","70,266,837","87,864,257","110,766,816","96,740,612","106,096,833","87,111,806","85,384,429","71,922,733","88,978,850","84,719,688",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,963,654,931","4,258,389,233","4,675,120,408","4,675,120,408",,"4,819,693,163","5,116,916,796","5,469,595,231","6,924,961,677","4,586,766,483","5,540,797,199","5,418,383,264","5,397,223,927","5,245,228,328","5,093,098,738","4,994,446,393","5,199,610,682",,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,794,388,300","84,300,581,899","90,972,152,792","94,233,181,153",,"89,615,499,851","86,943,284,423","88,525,072,331","95,924,123,741","96,830,602,623","105,080,539,898","108,713,752,852","108,475,189,411","105,272,526,893","112,194,489,431","120,897,281,837","120,239,795,155",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,941,994,950","9,269,822,145","9,195,868,421","9,179,268,494",,"12,322,760,076","16,421,665,523","16,816,575,032","11,000,803,436","21,246,986,872","20,950,296,205","23,053,020,884","23,564,604,703","23,573,364,281","23,802,243,376","24,472,969,676","25,353,432,071",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"263,558,157","258,963,949","52,398,841","284,482,868",,"296,024,503","215,058,785","330,613,263","372,960,565","412,297,250","250,134,229","396,946,612","441,176,010","404,794,260","136,346,208","363,881,630","447,037,421",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"851,272,468","946,520,258","900,419,559","955,557,060",,"917,705,204","886,601,809","885,577,835","867,203,207","877,005,675","891,825,585","952,708,780","998,428,398","1,056,817,263","1,142,508,601","1,171,277,201","1,292,922,106",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,163","10,059","10,297,830","4,432,958","4,407,927","4,806,909",,"3,668,181","3,592,163","8,112,613","8,031,921","6,173,141","6,085,296","6,089,400","9,853,272","7,644,961","7,591,687","7,538,466","7,485,246",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242,747,896","313,904,567","315,070,276","314,810,199",,"325,901,402","320,107,966","300,189,842","336,651,283","390,118,584","371,341,633","371,341,633","299,595,254","326,223,769","365,913,933","363,803,342","368,307,398",,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,398,538","1,680,567","307,805,862","1,084,011,276","267,353,625","296,227,136",,"1,149,283,783","440,565,711","899,023,471","418,717,158","1,368,758,785","2,079,031,783","410,763,561","358,493,900","2,210,797,788","1,526,847,451","1,275,887,721","965,798,179",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113,029,104","117,037,408","119,812,004,476","118,142,021,771","122,779,516,441","126,691,761,065",,"132,212,154,383","136,731,828,549","134,259,083,697","136,145,466,490","137,572,237,238","141,985,003,042","146,926,878,358","151,236,003,755","152,897,264,151","162,331,185,752","168,566,797,428","177,559,164,280",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,085,901,398","761,421,088","243,893,186","603,791,630",,,"200,000,000","2,393,318,000","4,665,513,428","4,265,513,428","5,215,956,316","8,225,744,764","12,453,996,556","1,303,496,556","2,801,199,740","349,500,000","349,500,000",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,886,806,455","97,673,629,509","99,503,824,931","104,441,032,383",,"110,236,300,516","112,151,849,578","103,069,947,918","100,986,166,987","106,053,881,963","108,552,189,549","112,644,558,570","114,335,299,116","119,451,954,677","127,158,417,817","133,700,519,747","140,080,788,481",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,510,080","2,662,550",,,,,,,,,,,,,,"3,853,806,893","4,009,572,177","3,997,150,384","7,994,300,456",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,692","27,502",,,,,,,,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,611,801,520","2,361,702,652","2,369,360,577","2,632,309,064",,"2,271,950,728","2,156,888,372","3,036,027,682","2,280,200,664","2,648,498,613","3,293,324,801","2,650,325,475","2,549,425,269","3,985,378,998","4,174,210,795","4,735,575,711","3,837,460,197",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",,"3,028,341,567","3,028,427,698","3,028,516,011","3,028,606,560","3,028,699,402","3,028,794,594","3,028,892,197","2,628,992,271","2,629,094,880","5,026,086,483","5,026,383,811","4,626,688,792",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,301,271,065","103,940,805,751","108,202,563,434","112,424,283,077",,"117,423,101,937","121,708,427,071","119,171,174,611","120,767,947,184","122,110,448,091","126,096,173,360","130,788,024,459","134,418,113,212","135,691,132,003","144,592,350,952","151,009,768,088","159,385,810,076",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,449,250,523","8,449,250,523","8,449,250,523","8,449,250,523",,"8,956,205,554","8,956,205,554","8,956,205,554","9,493,577,887","9,493,577,887","9,493,577,887","9,493,577,887","9,825,853,113","9,825,853,113","9,825,853,113","9,825,853,113","10,120,628,706",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,489,819,616","1,919,311,360","2,258,612,380","1,701,128,462",,"1,445,072,441","1,472,701,748","1,284,115,111","1,062,949,416","959,402,513","1,003,871,130","1,060,510,328","1,463,721,385","1,529,154,234","1,713,041,388","1,296,730,729","1,253,584,559",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,571,663,272","3,832,654,137","3,869,090,104","4,117,099,003",,"4,387,774,452","4,594,494,176","4,847,588,421","4,820,992,003","5,008,808,748","5,391,380,666","5,584,765,684","5,528,316,046","5,851,124,801","6,199,940,299","6,434,445,497","6,799,140,938",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,510,733,411","14,201,216,020","14,576,953,007","14,267,477,988",,"14,789,052,446","15,023,401,477","15,087,909,086","15,377,519,305","15,461,789,147","15,888,829,682","16,138,853,899","16,817,890,543","17,206,132,148","17,738,834,800","17,557,029,339","18,173,354,203",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119,812,004,476","118,142,021,771","122,779,516,441","126,691,761,065",,"132,212,154,383","136,731,828,549","134,259,083,697","136,145,466,490","137,572,237,238","141,985,003,042","146,926,878,358","151,236,003,755","152,897,264,151","162,331,185,752","168,566,797,428","177,559,164,280",,,,
