,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,"924,913","1,040,176","793,653","888,421","891,429",,"955,844","1,103,455","1,199,440","981,028","1,047,069","1,203,692","1,370,300","1,223,576","1,391,129","1,617,711","1,371,549","1,607,795","1,823,465","2,071,736","2,327,943","2,284,798",,"2,631,312","2,933,382","3,255,238","2,712,480","3,094,174","3,448,585","3,852,966","3,114,233","3,525,065",,,,"4,744,607",,,"3,571,663,272","3,832,654,137","3,869,090,104","4,117,099,003",,"4,387,774,452","4,594,494,176","4,847,588,421","4,820,992,003","5,008,808,748","5,391,380,666","5,584,765,684","5,528,316,046","5,851,124,801","6,199,940,299","6,434,445,497","6,799,140,938",,,,
debenture and bond,,,,,,,,,,"200,000",,"200,000","200,000","200,000",,"200,000","200,000","200,000","200,000","600,000","600,000","600,000","600,000","1,000,000","800,000","800,000","800,000","800,000","1,000,000","1,000,000","1,000,000",,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000",,,,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,"1,421,099","2,668,659","1,518,054","108,174",,"130,426","370,965",,,,,,"1,750,027",,"4,375",,,"28,313","7,552",,"702,778",,"30,017",,"403,038","3,168,855","2,500,400","4,184,700","5,807,200","8,584,160","4,843,350","5,309,655",,,,"2,709,590",,,,,,,,,,,,,,,,,,,,,,,
deposits,,,,,,,,,,"29,442,188","28,882,481","31,355,709","34,896,424","38,744,164","39,801,807","40,492,187","42,415,443","46,117,245",65.47%,68.72%,73.09%,80.05%,76.57%,79.89%,75.18%,74.67%,76.64%,76.40%,75.23%,78.17%,79.84%,77.97%,"51,628,222",74.82%,"58,359,796","63,416,783",76.57%,79.51%,79.32%,"85,372,230",75.00%,,,,"84,025,321",,,"99,886,806,455","97,673,629,509","99,503,824,931","104,441,032,383",,"110,236,300,516","112,151,849,578","103,069,947,918","100,986,166,987","106,053,881,963","108,552,189,549","112,644,558,570","114,335,299,116","119,451,954,677","127,158,417,817","133,700,519,747","140,080,788,481",,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,,,"622,951","918,032",,,,,,,,,,,,,,,,"1,136,041",,,,,"1,571,888",,,,,"1,797,033",,,"2,611,801,520","2,361,702,652","2,369,360,577","2,632,309,064",,"2,271,950,728","2,156,888,372","3,036,027,682","2,280,200,664","2,648,498,613","3,293,324,801","2,650,325,475","2,549,425,269","3,985,378,998","4,174,210,795","4,735,575,711","3,837,460,197",,,,
total assets,,,,,,,,,,2.7,2.7,2.7,2.7,2.7,,2.7,2.7,"50,008,939","54,955,592","56,515,445","58,051,122","58,369,726","58,971,475","59,604,517","64,793,964","62,627,815","62,482,222","58,460,976","61,082,973","62,811,705","64,513,255",,"59,277,291","62,664,052","69,977,989","75,062,180","78,435,387","84,294,612","96,878,227","100,881,557","99,752,371",,,,"102,323,788","113,029,104","117,037,408","119,812,004,476","118,142,021,771","122,779,516,441","126,691,761,065",,"132,212,154,383","136,731,828,549","134,259,083,697","136,145,466,490","137,572,237,238","141,985,003,042","146,926,878,358","151,236,003,755","152,897,264,151","162,331,185,752","168,566,797,428","177,559,164,280",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,"473,296","976,422","1,577,045","2,269,779","665,555","1,390,689",3.13.2,3.13.2,3.13.2,"470,169","695,160","996,716","367,082","769,410","1,186,424","1,623,535","398,640","833,434","1,276,356","1,745,044","468,643","967,063",,"2,047,484","566,970","1,141,457","1,739,284","2,416,532","693,415","1,452,790","2,199,169","2,922,288",,,,"4,079,378","2,630,642","5,362,495","2,807,899,853","3,149,612,350","2,857,806,361","2,858,600,980",,"3,079,202,100","2,456,530,795","2,078,055,613","2,094,722,849","2,373,434,073","2,414,227,498",,,,,,,,,,
interest expense,,,,,,,,,,"299,832","618,175","994,788","1,452,701","473,959","985,497","1,512,381","2,096,038","614,002","1,278,747","1,993,419","2,770,799","674,050","1,280,110","1,863,342","2,486,979","620,858","1,198,181","1,730,581","2,231,604","487,196","931,311",,"1,773,842","400,031","776,328","1,149,165","1,564,730","460,349","996,409","1,835,601","2,989,082",,,,"4,911,242","1,565,155","3,163,516","1,634,237,600","1,754,090,598","1,816,635,882","1,787,694,219",,"1,963,980,994","1,852,773,761","1,491,673,776","1,312,643,239","1,460,465,749","1,564,902,094",,,,,,,,,,
net interest income,,,,,,,,,,,,,,,,3.13.2,3.13.2,3.13.2,"470,169","695,160","996,716","367,082","769,410","1,186,424","1,623,535","398,640","833,434","1,276,356","1,745,044","468,643","967,063",,"2,047,484","566,970","1,141,457","1,739,284","2,416,532","693,415","1,452,790","2,199,169","2,922,288",,,,"4,079,378","1,065,487","2,198,979","1,173,662,253","1,395,521,752","1,041,170,479","1,070,906,761",,"1,115,221,105","603,757,034","586,381,838","782,079,610","912,968,324","849,325,404",,,,,,,,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228,263","438,437","222,623,809","228,032,412","220,996,017","231,342,181",,"162,313,816","204,555,374","224,781,372","315,762,988","269,174,783","318,404,924",,,,,,,,,,
