Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.40%,12.60%,14.27%,12.87%,11.89%,13.00%,14.03%,13.85%,13.39%,13.51%,13.05%,12.89%,12.82%,13.15%,12.51%,12.33%,12.03%,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36%,0.75%,1.28%,1.55%,2.24%,1.56%,1.32%,1.91%,0.88%,1.16%,0.54%,0.37%,1.12%,1.03%,2.15%,2.87%,3.95%,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.14%,207.02%,139.07%,115.97%,94.64%,122.10%,152.28%,111.89%,200.19%,167.98%,344.50%,478.17%,174.77%,189.00%,112.73%,93.96%,79.39%,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54%,7.54%,7.33%,7.27%,7.23%,6.59%,6.12%,5.40%,5.09%,4.98%,5.55%,6.59%,7.31%,7.55%,8.35%,8.70%,8.36%,,,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.91%,76.85%,77.36%,78.41%,78.77%,72.85%,73.49%,76.81%,78.01%,77.42%,87.75%,88.60%,89.75%,87.21%,88.10%,83.30%,80.41%,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37%,10.57%,10.02%,10.04%,9.98%,9.03%,8.10%,7.38%,6.99%,7.16%,7.57%,8.58%,9.53%,9.45%,10.43%,10.91%,10.45%,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15%,4.07%,4.43%,5.17%,5.00%,4.33%,4.38%,4.20%,3.90%,3.70%,3.47%,2.68%,3.74%,4.37%,3.92%,4.22%,4.18%,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.27%,20.38%,13.45%,14.02%,8.69%,18.68%,12.08%,10.49%,25.88%,17.15%,17.92%,12.32%,9.78%,20.46%,8.79%,12.34%,5.99%,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
