Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,"15,259,251",,"18,060,979","18,503,217","20,966,456","22,786,717","22,772,378","22,386,597","24,742,444","25,027,186","24,410,615","24,522,385","26,077,989","26,709,689","29,579,199","29,150,454","30,819,121","31,385,889","33,670,547","34,785,114","36,928,824","38,003,649","41,022,909","42,035,545","44,912,070","48,068,357","50,655,110","53,950,598","55,467,234","60,474,607","91,176,838","81,884,441","86,881,198","87,640,869","74,421,344",,"100,514,119","106,428,526",,"119,179,968","127,876,645",,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,"952,200",,"952,200","1,087,204","1,087,204","1,230,034","1,310,436","1,561,048","1,561,048","1,561,048","1,571,130","1,618,264","1,618,264","1,619,244","1,619,244","1,619,244","1,619,244","1,619,244","1,619,244","1,619,244","1,813,554","1,813,554","1,813,554","2,031,180","2,031,180","2,031,180","2,031,180","2,437,416","2,437,416","2,437,416","6,628,879","3,375,119","5,235,008","5,250,859","3,022,881",,"7,056,515","8,012,171",,"8,464,385","8,887,605",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,"225,932",,"331,759","395,248","455,211","347,686","421,957","500,335","432,864","532,621","611,440","597,320","463,331","518,180","700,386","719,557","813,746","844,340","1,054,516","1,155,814","930,663","1,049,024","1,480,114","1,118,871","1,302,547","1,524,141","1,732,962","1,494,341","1,811,431","2,112,387","3,406,452","3,620,428","2,515,712","2,935,986","3,230,142",,"4,271,892","3,790,210",,"5,783,190","5,329,873",,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,"227,770",,"227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","547,770","627,770","627,770","627,770","692,770","931,290","931,290","931,290","931,290","931,290","931,290","1,331,290","1,431,290","1,431,290","1,431,290","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520",,"1,203,520","1,203,520",,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,"1,289,026",,"327,600","650,000","1,450,000","1,145,000","345,000","784,550","1,714,550","1,505,000","45,000","45,000","70,000","45,000","45,000","108,900","103,900","180,000","787,466","285,347","161,500","67,000","106,415","35,000","12,000","60,000","65,000","1,867,000","189,350","250,000","505,714","660,000","600,000","504,014","910,000",,"445,752","859,894",,,"1,774,541",,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,"12,114,999",,"15,984,934","15,805,888","17,504,532",85.53%,"20,196,940","18,907,602","20,374,807","20,471,779",9.47%,10.12%,9.82%,9.51%,9.18%,7.02%,6.67%,6.47%,6.40%,5.91%,5.72%,5.53%,5.37%,4.69%,4.69%,4.60%,4.61%,4.24%,4.10%,3.91%,5.43%,3.85%,4.15%,4.81%,3.83%,,7.39%,7.59%,,7.24%,78.77%,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,"12,007,285",,"15,500,128","15,009,375","16,631,108","18,406,511","19,094,083","17,922,051","19,256,202","19,528,753","20,629,128","20,533,061","22,121,983","22,409,829","24,658,826","24,559,445","25,984,232","26,521,234","27,665,641","28,450,732","30,561,447","31,609,347","34,582,265","35,691,707","37,932,678","40,808,546","43,469,681","44,187,353","47,729,183","52,513,088","75,851,323","69,174,904","73,287,912","74,203,360","64,091,370",,"84,933,172","89,488,576",,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,"107,714",,"484,806","796,513","873,425","1,024,259","1,102,857","985,551","1,118,605","943,026","946,526","896,435","1,088,642","1,081,426","1,289,680","727,927","711,756","702,263","727,182","707,634","848,025","861,437","831,743","771,275","980,091","1,025,863","1,271,051","883,291","866,264","823,691","488,162","823,452","1,011,859","503,900","842,988",,"386,565","356,202",,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,"47,051",,"4,904","32,114","3,982",,"9,394","38,984","3,793","24,522","26,590","29,141",,,"27,471","5,548","5,548",,"13,648","13,648",,,"37,997","42,855","42,855",,,"67,800","24,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,"402,273",,"231,812","304,992",,"405,457","260,880","366,308","427,612","704,447","353,031","575,393","487,999","488,240","610,823","734,330","911,081","779,695","871,561","1,588,062","1,633,165","1,623,512","1,239,532","1,360,527","1,267,275","1,130,588","653,946","1,529,494","1,150,827","1,077,684","2,945,744","2,968,201","2,955,649","2,901,285","1,120,443",,"2,098,624","2,579,476",,"3,821,143","2,548,291",,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,"15,259,251",,"18,060,979","18,503,217","20,966,456","22,786,717","22,772,378","22,386,597","24,742,444","25,027,186","24,410,615","24,522,385","26,077,989","26,709,689","29,579,199","29,150,454","30,819,121","31,385,889","33,670,547","34,785,114","36,928,824","38,003,649","41,022,909","42,035,545","44,912,070","48,068,357","50,655,110","53,950,598","55,467,234","60,474,607","91,176,838","81,884,441","86,881,198","87,640,869","74,421,344",,"100,514,119","106,428,526",,"119,179,968","127,876,645",,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,"1,167,220",,"1,777,889","835,185","1,553,600","1,775,316","2,377,373","1,197,402","1,827,472","1,689,788","1,905,685","2,824,133","3,159,636","1,881,972","4,291,891","2,413,287","2,258,327","2,533,179","3,485,776","3,999,543","5,066,391","5,585,422","7,257,046","4,196,157","3,246,412","5,857,463","5,257,789","4,935,145","4,601,233","5,136,205","10,229,598","8,033,541","8,030,220","9,123,381","6,274,807",,"7,604,770","6,496,144",,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,"484,840","141,193","402,500","1,115,880","699,042","757,750","1,699,667","1,860,875","1,025,181","384,870","597,040","393,940","647,480","287,414","1,340,451","620,019","1,375,253","1,369,750","828,760","1,160,000","1,150,000","830,000","1,873,800","1,665,000","1,130,000","350,000","30,000","750,710","521,300","1,290,220","3,682,325","995,000","950,700",,"2,010,000","1,450,435",,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,"1,636,312",,"2,176,428","2,167,543","2,018,258","2,391,837","2,452,726","2,857,107","2,918,824","2,655,476","2,395,509","2,460,180","2,270,714","3,768,589","3,393,868","4,429,889","4,394,983","4,848,885","4,472,839","4,079,138","4,503,589","4,103,322","3,328,158","6,062,645","5,713,225","3,790,063","6,491,682","8,766,784","8,743,708","8,435,020","11,435,219","10,354,108","10,299,322","8,590,366","9,822,607",,10.63%,10.88%,,"23,327","46,685",,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,"12,132,521",,"13,330,802","14,785,391","16,426,877","16,840,029","16,653,852","16,688,826","17,596,273","17,980,301","18,392,702","18,096,619","19,117,508","19,774,361","20,217,585","20,876,580","21,571,502","22,210,921","23,110,604","23,483,922","24,720,103","25,318,985","27,330,868","29,019,105","31,999,682","34,973,562","36,296,594","38,122,472","40,300,618","44,664,858","66,063,478","58,937,945","62,659,288","66,260,371","55,305,183",,"75,695,473","79,880,802",,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,"3,507,414","3,303,599","3,309,035","3,339,281","1,461,773","1,658,046","1,619,842","1,721,629","1,693,603","1,569,975","1,754,905","1,698,723","1,626,708","1,724,595","1,690,481","1,817,806","1,674,317","1,567,854","1,707,262","1,627,935","1,565,204","1,794,170","1,833,391","1,951,724","2,321,005","2,787,401","6,867,515","3,810,406","6,233,321","6,770,198","3,565,442",,"7,224,480","7,441,154",,,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,"234,694","350,905","405,116","799,564","805,904","802,441","732,395","664,384","629,611","597,247","566,094","526,751","497,494","490,874","501,104","500,318","486,936","493,310","479,175","478,597","496,837","441,594","486,472","453,939","446,938","469,387","491,260",,"475,016","477,418",,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,"1,461,773","1,658,046","1,619,842","1,721,629","1,693,603","1,569,975","1,754,905","1,698,723","1,626,708","1,724,595","1,690,481","1,817,806","1,674,317","1,567,854","1,707,262","1,627,935","1,565,204","1,794,170","1,833,391","1,951,724","2,321,005","2,787,401",,"3,810,406",,,"3,565,442",,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,"441,930","576,692","598,913","537,642","515,580","506,593","454,138","489,060","418,055","382,317","357,428","382,730","361,509","336,968","300,060","257,163","204,131","283,802","262,407","295,382","378,789","447,738","464,032","536,608","592,624","801,931","1,414,587","1,068,346","1,157,690","1,400,291","1,511,102",,"1,921,031","1,836,197",,,,,,,,,,,,,,,,,,,,,,,,
