,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,"225,932","277,366","331,759","395,248","455,211","347,686","421,957","500,335","432,864","532,621","611,440","597,320","463,331","518,180","700,386","719,557","813,746","844,340","1,054,516","1,155,814","930,663","1,049,024","1,480,114","1,118,871","1,302,547","1,524,141","1,732,962","1,494,341","1,811,431","2,112,387","3,406,452","3,620,428","2,515,712","2,935,986","3,230,142",,"4,271,892","3,790,210",4471086.0,"5,783,190","5,329,873","4,092,931,260","4,485,440,235","4,238,588,132","3,930,449,060","4,897,686,088","5,316,694,335","5,743,470,740","7,487,124,283","8,126,971,148","8,112,231,772","8,107,319,372","8,152,911,173","8,110,393,122","7,866,394,278","8,519,889,657","8,905,548,579","9,456,595,462",,,,
debenture and bond,,,,,,,"227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","547,770","627,770","627,770","627,770","692,770","931,290","931,290","931,290","931,290","931,290","931,290","1,331,290","1,431,290","1,431,290","1,431,290","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520",,"1,203,520","1,203,520",1203520.0,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,"1,289,026","2,036,300","327,600","650,000","1,450,000","1,145,000","345,000","784,550","1,714,550","1,505,000","45,000","45,000","70,000","45,000","45,000","108,900","103,900","180,000","787,466","285,347","161,500","67,000","106,415","35,000","12,000","60,000","65,000","1,867,000","189,350","250,000","505,714","660,000","600,000","504,014","910,000",,"445,752","859,894",972289.0,,"1,774,541",,,,,,,,,,,"963,600,000","949,600,000","975,200,000","1,022,800,000","1,022,800,000","1,022,800,000","6,179,450,000",,,,
deposits,,,,,,,"12,114,999","13,605,437","15,984,934","15,805,888","17,504,532",85.53%,"20,196,940","18,907,602","20,374,807","20,471,779",9.47%,10.12%,9.82%,9.51%,9.18%,7.02%,6.67%,6.47%,6.40%,5.91%,5.72%,5.53%,5.37%,4.69%,4.69%,4.60%,4.61%,4.24%,4.10%,3.91%,5.43%,3.85%,4.15%,4.81%,3.83%,,7.39%,7.59%,101414042.0,7.24%,78.77%,"105,221,140,969","114,537,392,939","117,901,449,457","126,020,101,140","129,894,504,620","139,172,356,368","149,250,939,242","157,518,951,016","172,053,126,359","180,438,924,523","183,236,565,251","188,525,694,174","188,871,195,175","191,156,475,501","192,818,491,324","204,731,982,624","212,134,246,223",,,,
income tax liability,,,,,,,"47,051","69,094","4,904","32,114","3,982",,"9,394","38,984","3,793","24,522","26,590","29,141",,,"27,471","5,548","5,548",,"13,648","13,648",,,"37,997","42,855","42,855",,,"67,800","24,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,"402,273",,"231,812","304,992",,"405,457","260,880","366,308","427,612","704,447","353,031","575,393","487,999","488,240","610,823","734,330","911,081","779,695","871,561","1,588,062","1,633,165","1,623,512","1,239,532","1,360,527","1,267,275","1,130,588","653,946","1,529,494","1,150,827","1,077,684","2,945,744","2,968,201","2,955,649","2,901,285","1,120,443",,"2,098,624","2,579,476",,"3,821,143","2,548,291","2,298,259,544","2,411,961,514","2,335,194,630","3,117,519,115","3,421,476,394","3,597,901,132","3,285,862,926","3,476,006,179","4,526,903,396","5,444,130,834","4,492,414,378","3,653,561,981","3,822,539,539","6,151,830,764","5,408,076,854","6,955,363,751","5,883,940,245",,,,
total assets,,,,,,,"15,259,251","17,564,464","18,060,979","18,503,217","20,966,456","22,786,717","22,772,378","22,386,597","24,742,444","25,027,186","24,410,615","24,522,385","26,077,989","26,709,689","29,579,199","29,150,454","30,819,121","31,385,889","33,670,547","34,785,114","36,928,824","38,003,649","41,022,909","42,035,545","44,912,070","48,068,357","50,655,110","53,950,598","55,467,234","60,474,607","91,176,838","81,884,441","86,881,198","87,640,869","74,421,344",,"100,514,119","106,428,526",,"119,179,968","127,876,645","135,787,700,773","144,836,238,443","160,565,355,454","169,479,015,569","179,700,953,697","183,033,448,585","198,489,400,421","211,171,481,466","230,276,144,041","245,534,085,965","242,427,000,908","238,502,778,106","247,760,352,271","264,754,378,244","259,360,764,972","257,641,200,275","274,307,967,423",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,"220,708","882,520","451,691","129,203","280,778","405,045","611,758","182,849","359,508","568,785","764,494","142,175","342,457","531,515",3,"184,464","473,533","776,460","2,898,415","226,839","561,040","880,392","3,056,287","295,642","632,697","1,010,464","3,295,250",4,4,"1,339,864","2,913,165","627,223","1,313,320","1,911,900","4,117,569",,"1,396,759","2,200,522",9934531.0,"1,259,028","2,318,488","3,293,700,921","3,616,657,925","3,822,106,219","3,746,088,265","3,974,221,994","3,937,079,707","3,750,438,093","3,491,140,734","3,704,782,226","4,063,265,978","4,500,349,767","4,492,825,710","5,419,432,900","6,634,242,143","6,870,566,713","6,574,130,483","6,893,030,477",,,,
interest expense,,,,,,,"330,842","550,561","813,619","271,924","578,926","954,965","1,406,540","449,713","902,482","1,385,617","1,925,801","538,207","1,036,712","1,533,711","2,048,914","467,947","883,106","1,298,961","1,742,839","447,647","877,947","1,285,895","1,708,866","431,011","869,788","1,325,959","1,859,407","512,048","989,847","1,450,399","3,973,959","666,508","1,463,138","2,600,591","2,000,902",,"2,960,489","4,664,411",6587819.0,284,"2,099","2,156,162,603","2,334,040,534","2,373,916,445","2,388,317,066","2,548,864,096","2,523,609,033","2,396,121,657","2,294,715,709","2,294,870,789","2,450,272,594","2,743,159,551","3,226,063,238","3,652,574,649","4,343,456,001","4,727,681,262","4,671,434,820","4,822,976,455",,,,
