Particulars,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079
reserves,"225,932","277,366","331,759","395,248","455,211","347,686","421,957","500,335","432,864","532,621","611,440","597,320","463,331","518,180","700,386","719,557","813,746","844,340","1,054,516","1,155,814","930,663","1,049,024","1,480,114","1,118,871","1,302,547","1,524,141","1,732,962","1,494,341","1,811,431","2,112,387","3,230,142","3,620,428","2,515,712","2,935,986","3,406,452","3,786,348","4,271,892","3,790,210",4471086,"5,783,190","5,329,873",4092931.26,4485440.235,4238588.132,3930449.06,4897686.088,5316694.335,5743470.74,7487124.283,8126971.148,8112231.772,8107319.372,8152911.173,8110393.122,7866394.278,8519889.657,8905548.579,9456595.462
debenture and bond,"227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","227,770","547,770","627,770","627,770","627,770","692,770","931,290","931,290","931,290","931,290","931,290","931,290","1,331,290","1,431,290","1,431,290","1,431,290","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520",1203520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
borrowings,"1,289,026","2,036,300","327,600","650,000","1,450,000","1,145,000","345,000","784,550","1,714,550","1,505,000","45,000","45,000","70,000","45,000","45,000","108,900","103,900","180,000","787,466","285,347","161,500","67,000","106,415","35,000","12,000","60,000","65,000","1,867,000","189,350","250,000","910,000","660,000","600,000","504,014","505,714","1,758,700","445,752","859,894",972289,-,"1,774,541",-,-,-,-,-,-,-,-,-,-,963600,949600,975200,1022800,1022800,1022800,6179450
deposits,"12,114,999","13,605,437","15,984,934","15,805,888","17,504,532","19,430,770","20,196,940","18,907,602","20,374,807","20,471,779","21,575,654","21,429,496","23,210,625","23,491,255","25,948,506","25,287,371","26,695,988","27,223,497","28,392,822","29,158,366","31,409,472","32,470,784","35,414,008","36,462,982","38,912,769","41,834,409","44,740,732","45,070,644","48,595,447","53,336,779","64,934,359","69,998,356","74,299,771","74,707,260","76,339,485","77,238,396","85,319,737","89,844,777",101414042,"99,907,730","105,970,257",105221141,114537392.9,117901449.5,126020101.1,129894504.6,139172356.4,149250939.2,157518951,172053126.4,180438924.5,183236565.3,188525694.2,188871195.2,191156475.5,192818491.3,204731982.6,212134246.2
income tax liability,"47,051","69,094","4,904","32,114","3,982",-,"9,394","38,984","3,793","24,522","26,590","29,141",-,-,"27,471","5,548","5,548",-,"13,648","13,648",-,-,"37,997","42,855","42,855",-,-,"67,800","24,984",-,-,-,-,-,-,-,-,-,-,-,-,#VALUE!,81873.344,76405.917,100479.843,85161.048,130430.588,442146.299,766626.535,1095014.653,897542.147,714018.399,784163.724,620208.895,243985.287,131263.036,370241.775,228896.444
other liabilities,"402,273",396297,"231,812","304,992","237,756","405,457","260,880","366,308","427,612","704,447","353,031","575,393","487,999","488,240","610,823","734,330","911,081","779,695","871,561","1,588,062","1,633,165","1,623,512","1,239,532","1,360,527","1,267,275","1,130,588","653,946","1,529,494","1,150,827","1,077,684","1,120,443","2,968,201","2,955,649","2,901,285","2,945,744","2,328,694","2,098,624","2,579,476",2798820,"3,821,143","2,548,291",2298259.544,2411961.514,2335194.63,3117519.115,3421476.394,3597901.132,3285862.926,3476006.179,4526903.396,5444130.834,4492414.378,3653561.981,3822539.539,6151830.764,5408076.854,6955363.751,5883940.245
total assets,"15,259,251","17,564,464","18,060,979","18,503,217","20,966,456","22,786,717","22,772,378","22,386,597","24,742,444","25,027,186","24,410,615","24,522,385","26,077,989","26,709,689","29,579,199","29,150,454","30,819,121","31,385,889","33,670,547","34,785,114","36,928,824","38,003,649","41,022,909","42,035,545","44,912,070","48,068,357","50,655,110","53,950,598","55,467,234","60,474,607","74,421,344","81,884,441","86,881,198","87,640,869","91,176,838","93,220,076","100,514,119","106,428,526",119471262,"119,179,968","127,876,645",135787700.8,144836238.4,160565355.5,169479015.6,179700953.7,183033448.6,198489400.4,211171481.5,230276144,245534086,242427000.9,238502778.1,247760352.3,264754378.2,259360765,257641200.3,274307967.4
loan and advancements,"12,132,521",13471067,"13,330,802","14,785,391","16,426,877","16,840,029","16,653,852","18,907,602","17,596,273","17,980,301","18,392,702","18,096,619","19,117,508","19,774,361","20,217,585","20,876,580","21,571,502","22,210,921","23,110,604","23,483,922","24,720,103","25,318,985","27,330,868","29,019,105","31,999,682","34,973,562","36,296,594","38,122,472","40,300,618","44,664,858","64,934,359","58,937,945","62,659,288","66,260,371","66,063,478","68,896,473","75,695,473","79,880,802",84760515,"90,672,086","97,508,526",104552124,108165228.5,112573658.5,122331674.6,128282572.3,127458667.4,131275614.1,143305052.4,158421167,164578768,179865933.8,183602548.9,183913723.5,185168003.3,186117873.9,183591207.6,187468473.1
interest income,"551,550","882,520","1,265,310","401,127","859,704","1,360,010","2,018,298","632,562","1,261,990","1,954,402","2,690,295","680,382","1,379,169","2,065,226","2,906,266","652,411","1,356,639","2,075,421","2,898,415","674,486","1,438,987","2,166,287","3,056,287","726,653","1,502,485","2,336,423","3,295,250","872,201","1,791,339","2,790,263","4,117,569","1,293,731","2,776,458","4,512,491","6,887,124","1,986,537","4,357,248","6,864,933","9,934,531","1,259,312","2,320,587",3293700.921,3616657.925,3822106.219,3746088.265,3974221.994,3937079.707,3750438.093,3491140.734,3704782.226,4063265.978,4500349.767,4492825.71,5419432.9,6634242.143,6870566.713,6574130.482,6893030.477
interest expense,"330,842","550,561","813,619","271,924","578,926","954,965","1,406,540","449,713","902,482","1,385,617","1,925,801","538,207","1,036,712","1,533,711","2,048,914","467,947","883,106","1,298,961","1,742,839","447,647","877,947","1,285,895","1,708,866","431,011","869,788","1,325,959","1,859,407","512,048","989,847","1,450,399","2,000,902","666,508","1,463,138","2,600,591","3,973,959","1,473,357","2,960,489","4,664,411",6587819,284,"2,099",2156162.603,2334040.534,2373916.445,2388317.066,2548864.096,2523609.033,2396121.657,2294715.709,2294870.789,2450272.594,2743159.551,3226063.238,3652574.649,4343456.001,4727681.262,4671434.82,4822976.455
