,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,433,633,939","2,596,726,528","2,949,338,021","2,938,653,839","3,546,975,944","3,477,445,569","4,072,528,031","3,860,545,499","3,786,198,835","3,628,478,890","4,671,240,143","4,553,298,319","4,755,060,432","5,093,323,294","6,646,607,356","7,078,171,014","7,606,935,924",,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,"39,100",,,,,,,,,,,,,"1,300,000","6,321",,,"80,000","100,000","100,000",,"80,000",,"60,936,564",,"85,703","986,920","523,733","524,620","624,696",,,,,"1,213,500,000","1,202,500,000","30,000,000","32,500,000","1,500,000","10,000,000","11,500,000","5,500,000","26,000,000","2,462,580,000","115,830,000","68,640,000","1,218,480,000",,,,
deposits,,,,,,,,,,,,,,,,,,"15,524,374",,"17,655,939","18,756,490","20,582,722","22,157,741","22,170,577","23,270,617","26,010,545","25,329,557","26,093,309","26,616,403","27,724,468","29,210,859","29,843,111","33,486,669","35,263,661","37,224,577","41,282,795","51,650,280","54,083,006","57,300,456","57,779,907","59,201,928","58,705,000",,"63,309,430","67,986,527","74,128,689","74,831,187","71,915,609,983","75,212,384,159","77,314,600,168","81,561,208,416","86,064,387,254","89,837,680,308","91,326,441,124","92,122,717,897","100,790,520,740","105,556,182,828","128,016,262,184","128,865,055,344","127,942,188,590","131,247,879,310","125,195,265,123","131,311,508,508","131,534,577,367",,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"412,041","89,115",,,"570,495",,,,,,,,,,,,,,,,,,,,,,,
other liabilities,,,,,,,,,,,,,,,,,,"377,175",,"324,931","270,675","529,868","408,665","339,496","395,924","601,467","576,807","574,539","352,906","534,237","386,181","1,131,339","534,356","835,609","821,902","722,064","764,972",,,"2,015,019","2,303,902","5,974,289","2,258,072","2,189,759","2,346,040",,"4,592,328","1,376,004,507","1,441,094,879","1,587,583,322","1,721,479,250","1,666,641,545","2,274,104,336","1,987,093,901","1,979,309,409","2,312,431,024","2,863,977,651","2,453,156,339","2,182,238,297","2,252,126,778","3,047,226,341","3,511,504,756","3,620,967,724","3,255,343,858",,,,
total assets,,,,,,,,,,,,,,,,,,"18,101,339",,"20,240,433","21,383,823","23,335,180","24,898,029","24,973,322","26,274,289","29,215,595","28,670,798","29,516,192","29,860,475","31,266,546","34,113,877","34,314,145","37,591,864","39,687,767","42,298,037","46,712,510","58,971,251","62,456,352","65,945,012","68,234,362",,,,,,,,"91,682,188,481","94,764,894,941","98,485,884,928","103,559,254,892","110,316,575,438","116,858,904,234","120,396,994,856","121,464,694,698","133,194,462,068","137,917,355,063","158,023,735,131","166,698,385,414","160,650,897,992","169,330,156,693","165,650,613,497","165,701,640,196","163,113,714,004",,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest income,,,,,,,,,,,,,,,,,,"169,968",,"362,508","574,635","160,535","395,229","643,876","988,899","222,257","521,539","788,947","1,095,135","235,526","552,624","829,883","1,106,300","280,665","1,446,717","2,198,173","3,095,549","1,059,793","2,253,853","2,253,853","5,323,149","1,687,295","3,575,501","5,417,325","7,573,097","2,202,284","4,520,171","2,319,646,403","2,409,443,848","2,560,759,321","2,419,276,795","2,562,003,157","2,521,211,754","2,383,773,219","2,189,884,585","2,065,618,442","2,339,585,320","2,660,664,503","3,182,234,572","3,760,529,578","4,414,071,725","4,476,356,470","4,577,158,368","4,365,646,803",,,,
interest expense,,,,,,,,,,,,,,,,,,"319,074",,"1,030,725","1,410,696","315,045","619,311","923,908","1,251,304","369,859","703,475","1,015,004","1,328,712","306,461","595,348","909,579","1,296,357","409,073","798,726","1,177,626","1,591,977","544,135","1,150,673",,"3,107,907","1,163,849","2,284,711","3,467,675","4,758,259","1,365,199","2,759,201","1,391,537,990","1,448,407,250","1,451,479,422","1,462,890,393","1,608,335,053","1,630,325,131","1,450,383,755","1,294,082,093","1,303,803,665","1,381,913,940","1,728,454,289","2,267,473,183","2,528,753,080","2,876,572,982","3,030,021,015","3,084,881,061","3,071,231,961",,,,
