,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,,"145,690",169610,"210,513","277,678","188,328","262,497","354,635","455,391","548,626","661,221","716,457","522,510","617,535","721,719","798,507","935,658",548728,794880,1019097,2169414,1096387,1452980,2035151,2337663,1755301,2131425,2489443,3083646,3775586,4135712,2433633.939,2596726.528,2949338.021,2938653.839,3546975.944,3477445.569,4072528.031,3860545.499,3786198.835,3628478.89,4671240.143,4553298.319,4755060.432,5093323.294,6646607.356,7078171.014,7606935.924,,,,
debenture and bond,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
borrowings,,,,,,,,,,,,,,,,,,"39,100",82200,-,-,-,-,-,-,-,-,-,-,-,"1,300,000","6,321",-,-,"80,000","100,000",-,-,"80,000",-,-,-,"85,703","986,920","523,733","524,620","624,696",-,-,-,-,1213500,1202500,30000,32500,1500,10000,11500,5500,26000,2462580,115830,68640,1218480,,,,
deposits,,,,,,,,,,,,,,,,,,"15,524,374",16446028,"17,655,939","18,756,490","20,582,722","22,157,741","22,170,577","23,270,617","26,010,545","25,329,557","26,093,309","26,616,403","27,724,468","29,210,859","29,843,111","33,486,669","35,263,661","37,224,577","41,282,795","51,650,280","54,083,006","57,300,456","57,779,907","60,936,564","60,427,816",63165199,"65,067,969","67,986,527","74,128,689","74,831,187",71915609.98,75212384.16,77314600.17,81561208.42,86064387.25,89837680.31,91326441.12,92122717.9,100790520.7,105556182.8,128016262.2,128865055.3,127942188.6,131247879.3,125195265.1,131311508.5,131534577.4,,,,
income tax liability,,,,,,,,,,,,,,,,,,-,16521,"34,051","63,980","19,261","54,126","93,614","137,358","39,958","88,213","116,887","132,006","40,878","111,911","144,820","191,493",50486,155981,252073,410538,108479,261304,370786,"412,041","89,115",254479,408766,"570,495",-,-,#VALUE!,#VALUE!,106730.804,#VALUE!,#VALUE!,#VALUE!,95959.302,133217.516,160827.952,154562.706,199289.808,167893.97,170071.35,29977.99,8816.279,18055.458,9292.031,,,,
other liabilities,,,,,,,,,,,,,,,,,,"377,175",367443,"324,931","270,675","529,868","408,665","339,496","395,924","601,467","576,807","574,539","352,906","534,237","386,181","1,131,339","534,356","835,609","821,902","722,064","764,972",1867084,1628877,"2,015,019","2,303,902","5,974,289","2,258,072","2,189,759","2,346,040",7111803,"4,592,328",1376004.507,1441094.879,1587583.322,1721479.25,1666641.545,2274104.336,1987093.901,1979309.409,2312431.024,2863977.651,2453156.339,2182238.297,2252126.778,3047226.341,3511504.756,3620967.724,3255343.858,,,,
total assets,,,,,,,,,,,,,,,,,,"18,101,339",19096803,"20,240,433","21,383,823","23,335,180","24,898,029","24,973,322","26,274,289","29,215,595","28,670,798","29,516,192","29,860,475","31,266,546","34,113,877","34,314,145","37,591,864","39,687,767","42,298,037","46,712,510","58,971,251","62,456,352","65,945,012","68,234,362",73145837,76431039,76074691,79326209,84038174,93748512,92387405,91682188.48,94764894.94,98485884.93,103559254.9,110316575.4,116858904.2,120396994.9,121464694.7,133194462.1,137917355.1,158023735.1,166698385.4,160650898,169330156.7,165650613.5,165701640.2,163113714,,,,
loan and advancements,,,,,,,,,,,,,,,,,,"12,445,520",13126762,"14,002,985","14,380,599","16,955,638","17,257,301","17,790,267","17,730,592","20,569,760","20,129,919","20,132,179","20,030,432","21,522,355","23,353,006","24,463,699","26,381,079",28199694,30105626,33774421,42865019,46451497,49223675,50866104,51730919,54491770,56241791,57943765,60545839,66593455,67753770,69857861.08,70028163.11,73815314.04,77086061.04,82860637.63,83435440.71,87440333.03,88989379.46,95704115.82,102400012.1,117935784.8,124520518.5,124830686.4,123128719.6,122202761.9,121492150.3,122072652.6,,,,
interest income,,,,,,,,,,,,,,,,,,"489,042","879,355","1,393,233","1,985,331","475,580","1,014,540","1,567,784","2,240,203","592,116","1,225,014","1,803,951","2,423,847","541,987","1,147,972","1,739,462","2,402,657","689,738","1,446,717","2,198,173","3,095,549","1,059,793","2,253,853","3,620,648","5,323,149","2,089,294","3,575,501","5,417,325","7,573,098","2,202,284","4,520,171",2319646.404,2409443.849,2560759.321,2419276.795,2562003.157,2521211.755,2383773.219,2189884.584,2065618.442,2339585.321,2660664.503,3182234.572,3760529.579,4414071.725,4476356.47,4577158.368,4365646.803,,,,
interest expense,,,,,,,,,,,,,,,,,,"319,074",661173,"1,030,725","1,410,696","315,045","619,311","923,908","1,251,304","369,859","703,475","1,015,004","1,328,712","306,461","595,348","909,579","1,296,357","409,073","798,726","1,177,626","1,591,977","544,135","1,150,673",1993220,"3,107,907","1,163,849","2,284,711","3,467,675","4,758,259","1,365,199","2,759,201",1391537.99,1448407.25,1451479.422,1462890.393,1608335.053,1630325.131,1450383.755,1294082.093,1303803.665,1381913.94,1728454.289,2267473.183,2528753.08,2876572.982,3030021.015,3084881.061,3071231.961,,,,
