Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2073.JPG, Q2 2072.JPG, Q2 2073.JPG, Q2 2075.JPG, Q3 2072.JPG, Q3 2073.JPG, Q4 2072.JPG
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,804,159,376","15,203,449","14,167,153","11,783,588","8,808,222","7,931,269","8,909,833","8,557,645","7,482,150","8,748,411","9,391,739","8,636,150","11,409,241","7,864,962","10,570,947","11,177,541","11,199,175",,,,,,,,,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,246,884,464","6,668,566","5,192,703","6,083,525","8,682,549","20,028,379","14,667,924","16,855,000","12,846,299","15,796,813","10,583,074","13,288,389","9,085,628","13,514,389","8,506,542","14,422,588","16,025,385",,,,,,,,,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,000,000","35,000","35,000","35,000","35,000","769,053",,"265,000","335,000","330,000",,"240,000","12,201","255,296",,,,,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,942,133","4,438,748","4,434,031","5,311,758","5,768,257","5,311,758","5,311,758","6,082,412","5,331,901","3,026,155","2,031,632","1,516,657","2,561,871","23,876","554,632",,,,,,,,,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,112,423","160,985","160,879","156,671","205,804","526,791","740,426","1,291,174","1,486,486","1,399,709","1,005,543","1,136,495","933,424","895,177","697,688","845,070","856,379",,,,,,,,,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,767,263,336","3,931,851","4,095,806","3,781,905","3,574,301","3,897,659","2,939,835","3,706,768","8,093,822","7,384,804","8,455,433","7,456,316","6,929,767","6,613,097","5,876,730","7,691,062","7,210,744",,,,,,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,540,527,911","13,880,318","5,864,146","8,895,238","13,577,110","14,154,937","14,619,176","25,042,240","33,157,134","34,408,658","1,393,141","5,310,489","6,609,932","8,655,117","3,084,083","14,480,691","12,812,498",,,,,,,,,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,091,905,021","14,572,083","14,256,936","14,327,844","16,702,560","20,462,826","21,299,548","38,683,890","33,778,052","33,532,749","33,120,241","37,532,707","44,225,203","49,414,151","36,758,233","51,003,883","50,096,373",,,,,,,,,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,623,700",,"5,225","4,724","3,098","50,220","1,801","25,964","56,477","150,695",,,,,,"315,068","294,058",,,,,,,,,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,500","27,500",,,,,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"449,196,092","439,178","443,046","467,969","444,749","517,584","476,315","474,619","336,160","349,026","300,395","354,559","451,710","459,552","450,152","472,041","454,887",,,,,,,,,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,208,415,197","2,283,153","2,338,976","2,370,458","2,351,813","2,361,146","2,343,519","2,378,282","2,350,817","2,311,189","2,348,367","2,329,455","2,298,114","2,281,899","3,554,969","5,078,679","4,945,919",,,,,,,,,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,500,865","41,384","41,855","39,301","41,070","73,047","191,484","188,963","179,311","170,078","134,301","134,830","146,488","142,729","132,868","110,124","166,574",,,,,,,,,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,967,811","10,968","308,402","340,763","318,157","245,522","392,888","373,898","334,209","309,539","332,860","441,869","331,285","325,783","416,933","724,845","787,847",,,,,,,,,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,868,926",2,,,,,,,,,,"3,121,103","5,449,616",,,"5,734,196",,,"5,737,051,407","4,226,774","7,591,075","6,228,537","5,854,501","6,431,775","4,197,397","4,732,161","6,137,253","5,560,264","6,418,626","3,116,645","3,765,280","3,577,649","4,414,154","7,192,295","7,604,427",,,,,,,,,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,452,687",3,,,,,,,,,,"93,858,363","96,955,836",,,"114,870,697",,,"126,814,953,879","134,080,744","144,270,349","144,835,972","150,779,461","168,341,140","178,097,996","209,065,216","213,759,009","217,330,629","215,890,510","220,078,551","225,324,327","232,830,400","225,070,942","344,471,063","342,766,966",,,,,,,,,,,
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,"93,858,363","96,955,836",,,"104,683,763",,,"1,283,681,325","1,905,688","440,214","59,550","2,486,262","534,225","243,173","53,894","1,112,937","1,570,753","271,808","4,811,187","5,513,811","4,941,263","1,350,086","1,749,627","2,447,106",,,,,,,,,,,
