Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2073.JPG, Q2 2072.JPG, Q2 2073.JPG, Q2 2075.JPG, Q3 2072.JPG, Q3 2073.JPG, Q4 2072.JPG
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27%,1,,,,,,,,,,11.05%,11.02%,,72.48%,12.66%,,,,11.58%,11.03%,11.90%,11.56%,11.59%,11.63%,11.40%,,13.07%,12.92%,12.89%,13.08%,13.16%,12.67%,12.84%,11.63%,,,,,,,,,10.55%,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32%,3.12%,2.95%,,,,,,1.61%,1.23%,1.21%,1.20%,1.68%,1.98%,3.48%,,,,,,,,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.85%,91.25%,,,,,,,,,,94.14%,89.06%,,,92.81%,,,,122.54%,96.54%,103.05%,106.89%,112.60%,114.64%,,,,148.96%,189.84%,199.47%,220.42%,135.74%,153.53%,101.99%,,,,,,,,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23%,3.98%,,,,,,,,,,,,,,,,,6.18%,6.16%,6.15%,6.29%,6.18%,6.06%,4.89%,5.01%,4.96%,4.70%,5.23%,6.16%,6.77%,6.44%,7.58%,8.60%,8.40%,,,,,,,,,366%,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.24%,76.97%,,,,,,,,,,71.10%,75.05%,,,69.00%,,,75.82%,74.25%,77.81%,74.70%,73.74%,66.96%,72.79%,66.43%,74.42%,73.21%,82.64%,81.90%,82.11%,78.35%,84.32%,88.30%,84.80%,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22%,7.79%,,,,,,,,,,10.51%,9.80%,,97%,10.62%,,,9.16%,9.36%,9.24%,9.45%,8.98%,8.32%,7.39%,7.24%,7.06%,6.88%,7.63%,8.68%,9.29%,9.24%,10.51%,11.44%,11.07%,,,,,,703%,,,6.60%,63%,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88%,4.70%,5.15%,4.83%,5.32%,3.57%,4.37%,3.64%,3.50%,3.65%,3.38%,3.27%,3.87%,4.32%,3.98%,4.34%,5.16%,,,,,,,,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19%,15.95%,,,,,,,,,,,11.54%,,,9.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.45,143.54,149.41,156.16,162.22,140.12,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
