Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,"39,028,477",,"38,974,189","41,982,805","42,242,959",,,,"49,147,657","50,320,056",,,,,,,,,,,,,,,,"94,644,424","97,867,615","114,841,637","109,780,409","112,657,152","114,031,664","117,507,740","123,176,848","134,930,717",,,"145,562,639","160,716,612",,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,"1,520,121",,"838,821","1,279,607","1,279,607",,,,"1,391,570","1,391,570",,,,,,,,,,,,,,,,"2,742,604","2,742,604","2,742,604","2,742,604","4,606,427","4,606,427","5,741,095","6,115,235","8,106,863",,,"8,106,863","8,106,863",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,"1,556,878",,"1,686,878",,,,"1,966,602","2,209,004",,,,,,,,,,,,,,,,"4,901,548","5,086,835",,"6,383,001","4,607,236","5,433,543","5,883,759","6,678,253","5,190,410",,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,"300,000",,"1,300,000","500,000","300,000",,,,"300,000","300,000",,,,,,,,,,,,,,,,"1,060,045","468,845","1,060,045","1,060,045","1,068,844","1,068,845","1,068,845","1,068,845","1,068,845",,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,"318,800","404,600","404,600",,,,"482,000",,,,,,,,,,,,,,,,,,,"2,500","5,000","7,500","12,500","12,500","16,676","23,176",,,"745,359","762,497",,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,"33,457,506",,"34,333,197","36,932,310","37,101,355",,,,"43,955,869","45,066,483",,,,,,,,,,,,,,,,"76,045,765","79,818,425","93,735,481","89,155,098","90,436,607","92,811,441","95,094,461","99,371,205","103,299,183",,,"120,339,181","124,177,926",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,"33,457,506",,"33,555,703","35,009,777","36,822,260",,,,"42,903,446","44,132,225",,,,,,,,,,,,,,,,"74,040,764","77,320,877","61,025,542","80,615,270","84,194,931","86,195,606","89,015,404","92,347,331","96,300,730",,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,"33,179",,"777,494","1,922,533","279,095",,,,"1,052,423","934,258",,,,,,,,,,,,,,,,"8,204,801",,"32,709,939","8,541,821","6,312,376","6,615,835","6,079,058","7,023,874","6,998,454",,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,"20,012",,"11,130",,,,"103,570","27,845",,,,,,,,,,,,,,,,"54,402","39,333","39,333","197,403","6,440","13,803","13,803","214,276","70,622",,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,"1,861,766",,"1,484,883","1,587,894","1,382,810",,,,"1,430,046","1,380,843",,,,,,,,,,,,,,,,"9,831,260","8,841,583","11,422,593","10,220,450","11,652,097","10,085,105","9,707,079","9,712,359","17,171,618",,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,"39,028,477",,"38,974,189","41,982,805","42,242,959",,,,"49,147,657","50,320,056",,,,,,,,,,,,,,,,"94,644,424","97,867,615","114,841,637","109,780,409","112,657,152","114,031,664","117,507,740","123,176,848","134,930,717",,,"145,562,639",,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,"5,948,480",,"3,710,824","5,008,308","7,486,960",,,,"17,039,774","6,139,031",,,,,,,,,,,,,,,,"20,486,823","11,793,997","18,198,740","17,965,655","12,470,342","12,366,167","11,964,561","16,350,288","15,138,117",,,"16,003,343","18,539,154",,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,"28,703,719","28,156,400","28,375,987",,,,"32,690,155","36,269,343",,,,,,,,,,,,,,,,"55,040,200","56,494,785","68,911,543","69,530,035","12,610,124","73,550,546","78,284,679","81,859,369","84,736,492",,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,"5,174,329",,,,"2,273,403","2,205,156",,,,,,,,,,,,,,,,"3,146,155","3,205,134","3,460,561","3,675,005","1,130,910","5,079,148","4,966,143","4,036,662","4,467,388",,,,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,,"219,268",,,,,,,,,,,,,,,,"594,701",,"563,131",,"609,316","893,680","873,332","889,929","1,354,695",,,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,,"640,312",,,,,,,,,,,,,,,,"34,209",,"147,268",,"276,392","878,571","857,292","900,986","899,850",,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,"5,076","20,000","280,758",,,,"77,698","74,745",,,,,,,,,,,,,,,,"494,137","1,038,988","1,091,934","85,000","1,360,426","1,236,404","1,284,344","1,222,730","1,293,621",,,,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,"5,332,769","5,172,268","596,343",,,,"4,841,198","4,883,746",,,,,,,,,,,,,,,,"11,435,865","597,781","14,300,991","14,921,557","16,995,472","17,458,032","18,399,385","19,432,000","21,074,219",,,,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,"12,130,392","11,508,255",,,,,"15,486,843","18,258,112",,,,,,,,,,,,,,,,"23,445,233","26,356,567","32,487,623","31,484,573","50,191,670","29,793,137","33,647,188","36,393,726","36,427,056",,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,"2,680,653","6,451,852","6,169,445",,,,,"6,973,632",,,,,,,,,,,,,,,,"1,980,653","8,072,118","8,298,552","8,590,140","9,302,691","9,818,776","9,595,214","9,470,689","9,700,363",,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,"469,698",,"318,860","405,094","491,290",,,,"503,612","578,965",,,,,,,,,,,,,,,,"681,626",,"687,948","734,629","756,221","783,774","728,399","754,481","799,618",,,,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,"690,030",,,,,,,,,,,,,,,,,,,,,,,,"690,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,"779,162",,"745,480","536,188","837,473",,,,"1,365,199","978,524",,,,,,,,,,,,,,,,"2,470,737","2,918,736","3,926,011","3,520,693","3,440,284","3,955,515","5,148,873","4,429,289","2,700,651",,,"4,900,000","2,520,748",,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,"644,189",,"2,112,703","3,102,451","986,192",,,,"1,183,406","2,393,658",,,,,,,,,,,,,,,,"2,426,247","3,540,847","5,057,077","1,401,827","2,828,193","4,577,252","6,748,565","2,205,818","4,478,760",,,"3,068,910","6,206,662",,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,"341,313",,"1,407,199","1,322,190","501,145",,,,"731,930","1,473,702",,,,,,,,,,,,,,,,"978,001","1,375,236","1,828,493","490,930","1,061,560","1,902,289","3,009,549","1,174,877","2,380,718",,,"1,758,285","3,535,580",,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,"302,876",,3.13.2,"1,529,661","484,047",,,,"451,476",3.13.2,,,,,,,,,,,,,,,,3.13.2,3.13.2,"3,228,585","910,897",3.13.2,"2,674,962","3,739,016","1,030,941","2,098,042",,,"1,310,625","2,671,082",,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,"133,124","208,123",,,,,,,,,,,,,,,,,,,,,,,"198,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,"35,418",,"991,435","142,312","21,988",,,,"33,898","75,830",,,,,,,,,,,,,,,,"158,206","340,917","509,798","114,311","259,321","384,330","565,130","125,734","284,788",,,"44,994","184,284",,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,"14,236",,"36,655","47,880","3,481",,,,"34,296","59,901",,,,,,,,,,,,,,,,"55,073","84,226","112,976","21,533","14,217","65,862","94,026","28,399","55,762",,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,"407,026",,"1,867,718","1,921,376","563,307",,,,"565,525","1,163,863",,,,,,,,,,,,,,,,"1,780,782","2,788,844","4,137,295","1,125,294","2,237,976","3,374,597","4,744,352","1,274,666","2,610,739",,,"1,602,716","3,330,021",,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,"55,551",,"159,602","776,364","50,103",,,,"88,282","160,895",,,,,,,,,,,,,,,,"319,548","465,180","699,662","186,157","334,980","484,546","881,422","242,441","429,945",,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,"292,011",,,"352,511","63,824",,,,"74,687","204,849",,,,,,,,,,,,,,,,"255,299","373,700","603,529","119,886","210,621","443,462","680,913","140,567","324,695",,,"100,070","372,070",,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,"291,721",,"1,015,270","1,367,982","340,290",,,,"402,556","798,119",,,,,,,,,,,,,,,,"1,205,935","1,949,962","2,834,105","819,251","1,583,363","2,446,589","3,182,017","891,658","1,856,098",,,,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,"74,400",,"53,787","1,272,090","123,190",,,,"19,401","34,869",,,,,,,,,,,,,,,,"31,964","69,414","168,134","49,773","96,570","91,533","122,449","60,701","80,294",,,,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,"1,543",,"9,749","83,553","1,543",,,,"1,257","2,080",,,,,,,,,,,,,,,,"1,581","53,003","12,026","2,021","4,662","7,452","10,936","1,761","4,399",,,,,,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,"233,032",,"28,827",,"5,005",,,,"56,337",677,,,,,,,,,,,,,,,,"52,608",,"92,751","35,306","35,306","35,306","43,324","2,455","11,834",,,,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,"233,032",,,"1,306,790","326,030",,,,"384,412","765,330",,,,,,,,,,,,,,,,"1,230,756","1,946,586","2,783,441","806,805",,"2,397,815","3,113,828","835,173","1,792,037",,,,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,"7,122",,"1,190",,,,,197,,,,,,,,,,,,,,,,,"7,122","4,279","4,279",,395,"4,279",,481,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,397,815","3,113,828",,"1,791,557",,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,"153,111",,"90,267","118,700","29,621",,,,"34,947","69,575",,,,,,,,,,,,,,,,"111,887","176,926","253,429","73,346","120,704","217,983","283,075","75,925","162,869",,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,"270,801",,"88,864",,,,"104,840","208,726",,,,,,,,,,,,,,,,"365,094","560,212",,"220,038","416,389","653,949","849,055","227,774","488,606",,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,"175,617",,"631,869","831,766","207,348",,,,"244,626","487,028",,,,,,,,,,,,,,,,"753,775","1,209,052","1,730,242","513,421","971,575","1,525,882","1,981,698","531,474","1,140,081",,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,10.37,,11.50,10.77,10.96,,,,10.37,10.30,,,,,,,,,,,,,,,,14.49,13.95,12.79,13.22,13.25,13.88,14.85,15.46,15.68,,,13.28,12.57,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,0.42,,0.38,0.16,,,,,0.37,0.37,,,,,,,,,,,,,,,,0.67,0.63,0.38,0.36,0.70,0.67,0.51,0.26,0.25,,,0.207,0.19,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,100.00,,100.00,100.00,100.00,,,,100.00,100.00,,,,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100,100.00,493.84,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,8.71,,,,,,17.36,11.96,,,,,,,,,,,,,,,,7.32,7.01,7.13,7.14,7.68,8.92,9.30,9.68,9.97,,,,10.61,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,3.62,4.75,4.10,,,,6.91,7.10,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,6.23,,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,3.10,4.78,4.23,,,,4.90,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,79.36,71.34,12.11,,,,70.62,76.02,,,,,,,,,,,,,,,,72.15,76.43,76.24,76.97,76.60,70.89,76.94,76.91,75.84,,,77.32,76.23,,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,109.96,,101.46,100.16,76.82,,,,79.45,79.09,,,,,,,,,,,,,,,,57.48,61.47,65.97,77.13,42.93,,,,,,,31.56,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,2390,,1449,1630,1075,,,,945,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,21.74,,14.28,16.27,13.99,,,,11.89,9.20,,,,,,,,,,,,,,,,39.86,45.58,51.31,47.53,46.82,46.28,30.90,35.29,31.93,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,10.25,,,,9.43,,,,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets,,,,,,,,,,1.80,,1.96,12.09,2.09,,,,2.04,2.01,,,,,,,,,,,,,,,,1.56,1.64,1.64,1.84,1.72,1.79,1.72,1.78,1.82,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,26.00,33.52,32.41,,,,33.13,32.98,,,,,,,,,,,,,,,,22.27,23.81,25.56,24.18,,24.12,23.50,17.51,18.88,,,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,341.40,,317.35,332.00,256.25,,,,259.68,279.36,,,,,,,,,,,,,,,,286.90,304.26,323.81,339.73,207.79,220.04,229.99,210.65,164.66,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,2.03,2.24,2.32,2.79,4.18,4.82,4.85,5.01,,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72,4.86,,5.48,7.03,7.68,7.91,7.84,,,8.80,8.22,,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.23,624.03,,,,,,,,,,,,,,,,,,,,,
