Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,"17,243,028","17,747,836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,"1,473,350","1,473,350",,,"1,500,000",,,"1,601,452","2,184,812",,"2,250,357",,,,,,"4,106,858",,,,"5,011,600","6,164,268","6,164,268","6,164,268","6,164,200","1,150,550","7,150,550","1,242.00","8,080,342",,"8,888,376","8,888,376",,"8,888,376","10,310,516",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,"152,121","135,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,"400,000",,"400,000",,,,,,"400,000",,,,"400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000",,"400,000","400,000",,"400,000",,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,"339,160","393,330",,,"401,789",,,"165,602","87,321",,"105,553",,,,,,"143,661",,,,"103,318","70,086","2,514,674","64,38,028","2,400,000","2,400,000","1,100,000","78,451","363,765",,"3,663,471","1,552,487",,"2,297,296","3,899,825",,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,"14,943,785",,,,,,"18,947,604",,,"29,365,782",,,,,,,,,,,"63,093,539","63,821,198",,,"79,507,539","84,046,017",,,,"100,415,422",,,"111,896,326","113,742,449",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,"14,570,389","14,689,813",,,"14,670,874",,,"18,364,464","26,317,511",,"28,190,846",,,,,,"50,962,719",,,,"59,138,797","61,176,155","61,158,896","63,821,198","70,777,559","75,638,225","80,394,854","85,749,686","98,965,076",,"97,844,311","102,026,412",,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,"461,159","253,972",,,"395,616",,,"583,140","616,257",,"1,174,936",,,,,,"1,329,339",,,,"1,037,187","1,917,384","2,662,302","1,938,837","5,058,075","5,009,314","3,651,163","3,030,259","2,159,893",,"2,571,111","1,221,000",,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,"4,931","37,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,"241,918","764,143",,,"673,082",,,"680,524","998,660",,"2,126,547",,,,,,"2,706,929",,,,"2,515,710","3,056,288","3,293,565","7,501,970","3,819,109","5,096,121","3,996,755","4,317,796","6,572,934",,"5,580,207","5,828,582",,"4,286,374",,,,,,,,,,,,,,,,,,,,,,
